"","date","HHR"
"1","2019-05-09",15.75
"2","2019-05-10",16.75
"3","2019-05-13",15.54
"4","2019-05-14",16
"5","2019-05-15",15.85
"6","2019-05-16",15.6
"7","2019-05-17",15.8
"8","2019-05-20",15.93
"9","2019-05-21",16.450001
"10","2019-05-22",16.540001
"11","2019-05-23",16.200001
"12","2019-05-24",16.32
"13","2019-05-28",16.5
"14","2019-05-29",16.6
"15","2019-05-30",16.66
"16","2019-05-31",17.26
"17","2019-06-03",17.139999
"18","2019-06-04",17.559999
"19","2019-06-05",16.6
"20","2019-06-06",16.75
"21","2019-06-07",16.309999
"22","2019-06-10",15.5
"23","2019-06-11",15.33
"24","2019-06-12",16.440001
"25","2019-06-13",16.68
"26","2019-06-14",16.93
"27","2019-06-17",17.17
"28","2019-06-18",17.040001
"29","2019-06-19",16.889999
"30","2019-06-20",17.139999
"31","2019-06-21",16.66
"32","2019-06-24",16
"33","2019-06-25",15.91
"34","2019-06-26",16.059999
"35","2019-06-27",16.040001
"36","2019-06-28",16.25
"37","2019-07-01",16.42
"38","2019-07-02",16.530001
"39","2019-07-03",16.4
"40","2019-07-05",17.1
"41","2019-07-08",17.379999
"42","2019-07-09",17.389999
"43","2019-07-10",18.01
"44","2019-07-11",18
"45","2019-07-12",17.950001
"46","2019-07-15",17.99
"47","2019-07-16",18.4
"48","2019-07-17",18
"49","2019-07-18",18.15
"50","2019-07-19",18.49
"51","2019-07-22",18
"52","2019-07-23",18.360001
"53","2019-07-24",18.4
"54","2019-07-25",18.190001
"55","2019-07-26",18.200001
"56","2019-07-29",18.209999
"57","2019-07-30",18.440001
"58","2019-07-31",18.18
"59","2019-08-01",19.950001
"60","2019-08-02",18.549999
"61","2019-08-05",18.02
"62","2019-08-06",18
"63","2019-08-07",18.09
"64","2019-08-08",18.75
"65","2019-08-09",18.6
"66","2019-08-12",18.450001
"67","2019-08-13",18.709999
"68","2019-08-14",18.68
"69","2019-08-15",18.77
"70","2019-08-16",18.75
"71","2019-08-19",18.43
"72","2019-08-20",18.129999
"73","2019-08-21",18
"74","2019-08-22",18.040001
"75","2019-08-23",17.9
"76","2019-08-26",18.440001
"77","2019-08-27",18.1
"78","2019-08-28",18.299999
"79","2019-08-29",18.5
"80","2019-08-30",18.209999
"81","2019-09-03",18.5
"82","2019-09-04",19.15
"83","2019-09-05",19.15
"84","2019-09-06",18.59
"85","2019-09-09",17.93
"86","2019-09-10",18.129999
"87","2019-09-11",18.15
"88","2019-09-12",18.860001
"89","2019-09-13",19.9
"90","2019-09-16",21
"91","2019-09-17",20.6
"92","2019-09-18",20.209999
"93","2019-09-19",19.68
"94","2019-09-20",19.76
"95","2019-09-23",19.99
"96","2019-09-24",19.73
"97","2019-09-25",19.26
"98","2019-09-26",19.219999
"99","2019-09-27",18.92
"100","2019-09-30",19.290001
"101","2019-10-01",19.68
"102","2019-10-02",19.530001
"103","2019-10-03",19.280001
"104","2019-10-04",18.43
"105","2019-10-07",18.059999
"106","2019-10-08",17.5
"107","2019-10-09",17.51
"108","2019-10-10",17.969999
"109","2019-10-11",18.110001
"110","2019-10-14",18.110001
"111","2019-10-15",18.75
"112","2019-10-16",18.27
"113","2019-10-17",18.200001
"114","2019-10-18",18.129999
"115","2019-10-21",18.16
"116","2019-10-22",18.16
"117","2019-10-23",18.27
"118","2019-10-24",18.030001
"119","2019-10-25",17.76
"120","2019-10-28",17.91
"121","2019-10-29",17.690001
"122","2019-10-30",17.07
"123","2019-10-31",17.459999
"124","2019-11-01",17.799999
"125","2019-11-04",18.219999
"126","2019-11-05",19.700001
"127","2019-11-06",18.9
"128","2019-11-07",19.07
"129","2019-11-08",19.32
"130","2019-11-11",18.059999
"131","2019-11-12",18.6
"132","2019-11-13",18.629999
"133","2019-11-14",18.43
"134","2019-11-15",18.6
"135","2019-11-18",17.99
"136","2019-11-19",17.719999
"137","2019-11-20",18.790001
"138","2019-11-21",18.65
"139","2019-11-22",18.389999
"140","2019-11-25",18.59
"141","2019-11-26",18.74
"142","2019-11-27",19.98
"143","2019-11-29",20.43
"144","2019-12-02",19.16
"145","2019-12-03",19.219999
"146","2019-12-04",19.139999
"147","2019-12-05",20.15
"148","2019-12-06",21.379999
"149","2019-12-09",21.120001
"150","2019-12-10",22
"151","2019-12-11",23.5
"152","2019-12-12",22.26
"153","2019-12-13",22.299999
"154","2019-12-16",21.549999
"155","2019-12-17",20.66
"156","2019-12-18",20.07
"157","2019-12-19",19.35
"158","2019-12-20",19.6
"159","2019-12-23",20.440001
"160","2019-12-24",20.57
"161","2019-12-26",20.52
"162","2019-12-27",20.73
"163","2019-12-30",21.030001
"164","2019-12-31",21.450001
"165","2020-01-02",21.48
"166","2020-01-03",21.35
"167","2020-01-06",21.440001
"168","2020-01-07",21.26
"169","2020-01-08",21.6
