"","date","OCCI"
"1","2018-10-05",18.75
"2","2018-10-08",18.299999
"3","2018-10-09",18
"4","2018-10-10",18.1
"5","2018-10-11",18.35
"6","2018-10-12",18.75
"7","2018-10-15",18.700001
"8","2018-10-16",18.85
"9","2018-10-17",18.870001
"10","2018-10-18",18.43
"11","2018-10-19",18.110001
"12","2018-10-22",18.5
"13","2018-10-23",18.1
"14","2018-10-24",18.15
"15","2018-10-25",17.950001
"16","2018-10-26",17.99
"17","2018-10-29",18
"18","2018-10-30",18.459999
"19","2018-10-31",18.780001
"20","2018-11-01",18.25
"21","2018-11-02",18.5
"22","2018-11-05",18.82
"23","2018-11-06",18.75
"24","2018-11-07",18.709999
"25","2018-11-08",17.85
"26","2018-11-09",18.15
"27","2018-11-12",18
"28","2018-11-13",18.299999
"29","2018-11-14",18.17
"30","2018-11-15",17.82
"31","2018-11-16",17.610001
"32","2018-11-19",17.299999
"33","2018-11-20",16.950001
"34","2018-11-21",16.92
"35","2018-11-23",17.23
"36","2018-11-26",17.389999
"37","2018-11-27",17.08
"38","2018-11-28",17.200001
"39","2018-11-29",16.9
"40","2018-11-30",17.33
"41","2018-12-03",17.200001
"42","2018-12-04",17
"43","2018-12-06",17
"44","2018-12-07",17
"45","2018-12-10",16.43
"46","2018-12-11",16.67
"47","2018-12-12",16.25
"48","2018-12-13",16.709999
"49","2018-12-14",16.709999
"50","2018-12-17",16.360001
"51","2018-12-18",16.25
"52","2018-12-19",15.98
"53","2018-12-20",15.27
"54","2018-12-21",14.54
"55","2018-12-24",15.6
"56","2018-12-26",15.4
"57","2018-12-27",15.31
"58","2018-12-28",15.25
"59","2018-12-31",15.26
"60","2019-01-02",15.71
"61","2019-01-03",15.02
"62","2019-01-04",15.28
"63","2019-01-07",15.38
"64","2019-01-08",15.75
"65","2019-01-09",16
"66","2019-01-10",15.98
"67","2019-01-11",15.6
"68","2019-01-14",15.75
"69","2019-01-15",15.55
"70","2019-01-16",15.6
"71","2019-01-17",15.66
"72","2019-01-18",15.65
"73","2019-01-22",15.56
"74","2019-01-23",16.469999
"75","2019-01-24",16.450001
"76","2019-01-25",16.17
"77","2019-01-28",16.200001
"78","2019-01-29",16.07
"79","2019-01-30",16.35
"80","2019-01-31",16.5
"81","2019-02-01",16.780001
"82","2019-02-04",16.700001
"83","2019-02-05",16.700001
"84","2019-02-06",16.65
"85","2019-02-07",16.620001
"86","2019-02-08",16.860001
"87","2019-02-11",16.870001
"88","2019-02-12",16.92
"89","2019-02-13",16.870001
"90","2019-02-14",16.889999
"91","2019-02-15",16.9
"92","2019-02-19",17
"93","2019-02-20",16.68
"94","2019-02-21",16.719999
"95","2019-02-22",16.9
"96","2019-02-25",16.700001
"97","2019-02-26",16.879999
"98","2019-02-27",16.74
"99","2019-02-28",16.950001
"100","2019-03-01",16.85
"101","2019-03-04",16.85
"102","2019-03-05",17.07
"103","2019-03-06",16.93
"104","2019-03-07",17.049999
"105","2019-03-08",17.16
"106","2019-03-11",17.129999
"107","2019-03-12",17
"108","2019-03-13",17
"109","2019-03-14",17.110001
"110","2019-03-15",17.389999
"111","2019-03-18",17.370001
"112","2019-03-19",17.280001
"113","2019-03-20",17.41
"114","2019-03-21",17.27
"115","2019-03-22",17.49
"116","2019-03-25",17.4
"117","2019-03-26",17.299999
"118","2019-03-27",17.5
"119","2019-03-28",17.42
"120","2019-03-29",17.85
"121","2019-04-01",18.07
"122","2019-04-02",18.25
