"","date","NBR"
"1","2007-01-03",1402.5
"2","2007-01-04",1410
"3","2007-01-05",1427.5
"4","2007-01-08",1437.5
"5","2007-01-09",1426.5
"6","2007-01-10",1422.5
"7","2007-01-11",1414
"8","2007-01-12",1463.5
"9","2007-01-16",1451.5
"10","2007-01-17",1456.5
"11","2007-01-18",1446.5
"12","2007-01-19",1477.5
"13","2007-01-22",1487
"14","2007-01-23",1513
"15","2007-01-24",1502.5
"16","2007-01-25",1463.5
"17","2007-01-26",1467
"18","2007-01-29",1457
"19","2007-01-30",1499
"20","2007-01-31",1514
"21","2007-02-01",1510
"22","2007-02-02",1577.5
"23","2007-02-05",1542.5
"24","2007-02-06",1542
"25","2007-02-07",1505.5
"26","2007-02-08",1496
"27","2007-02-09",1495
"28","2007-02-12",1467
"29","2007-02-13",1493
"30","2007-02-14",1492.5
"31","2007-02-15",1510
"32","2007-02-16",1498
"33","2007-02-20",1500
"34","2007-02-21",1529
"35","2007-02-22",1529
"36","2007-02-23",1532
"37","2007-02-26",1550.5
"38","2007-02-27",1503.5
"39","2007-02-28",1498
"40","2007-03-01",1483
"41","2007-03-02",1458.5
"42","2007-03-05",1440.5
"43","2007-03-06",1472.5
"44","2007-03-07",1487
"45","2007-03-08",1484.5
"46","2007-03-09",1489.5
"47","2007-03-12",1487.5
"48","2007-03-13",1456.5
"49","2007-03-14",1473
"50","2007-03-15",1472
"51","2007-03-16",1464
"52","2007-03-19",1510.5
"53","2007-03-20",1479
"54","2007-03-21",1507.5
"55","2007-03-22",1526
"56","2007-03-23",1536.5
"57","2007-03-26",1550.5
"58","2007-03-27",1550
"59","2007-03-28",1522.5
"60","2007-03-29",1496.5
"61","2007-03-30",1483.5
"62","2007-04-02",1500
"63","2007-04-03",1494.5
"64","2007-04-04",1497
"65","2007-04-05",1520.5
"66","2007-04-09",1507.5
"67","2007-04-10",1542.5
"68","2007-04-11",1553
"69","2007-04-12",1596
"70","2007-04-13",1604
"71","2007-04-16",1607
"72","2007-04-17",1583.5
"73","2007-04-18",1583
"74","2007-04-19",1569.5
"75","2007-04-20",1588.5
"76","2007-04-23",1587
"77","2007-04-24",1592
"78","2007-04-25",1637.5
"79","2007-04-26",1630
"80","2007-04-27",1637
"81","2007-04-30",1606
"82","2007-05-01",1599
"83","2007-05-02",1599.5
"84","2007-05-03",1636
"85","2007-05-04",1675.5
"86","2007-05-07",1669.5
"87","2007-05-08",1696
"88","2007-05-09",1712.5
"89","2007-05-10",1678
"90","2007-05-11",1714
"91","2007-05-14",1715.5
"92","2007-05-15",1706
"93","2007-05-16",1745
"94","2007-05-17",1781.5
"95","2007-05-18",1804
"96","2007-05-21",1797
"97","2007-05-22",1780
"98","2007-05-23",1768
"99","2007-05-24",1723.5
"100","2007-05-25",1749
