"","date","TWNK"
"1","2015-12-15",9.6
"2","2015-12-16",9.6
"3","2015-12-17",9.64
"4","2015-12-18",9.64
"5","2015-12-21",9.64
"6","2015-12-22",9.64
"7","2015-12-23",10
"8","2015-12-24",10
"9","2015-12-28",10
"10","2015-12-29",10
"11","2015-12-30",10
"12","2015-12-31",10
"13","2016-01-04",10
"14","2016-01-05",10
"15","2016-01-06",10
"16","2016-01-07",10
"17","2016-01-08",10
"18","2016-01-11",10
"19","2016-01-12",10
"20","2016-01-13",10
"21","2016-01-14",9.57
"22","2016-01-15",9.57
"23","2016-01-19",9.52
"24","2016-01-20",9.55
"25","2016-01-21",9.69
"26","2016-01-22",9.69
"27","2016-01-25",9.69
"28","2016-01-26",9.69
"29","2016-01-27",9.69
"30","2016-01-28",9.53
"31","2016-01-29",9.67
"32","2016-02-01",9.67
"33","2016-02-02",9.73
"34","2016-02-03",9.75
"35","2016-02-04",9.85
"36","2016-02-05",9.85
"37","2016-02-08",9.85
"38","2016-02-09",9.85
"39","2016-02-10",9.85
"40","2016-02-11",9.85
"41","2016-02-12",9.85
"42","2016-02-16",9.85
"43","2016-02-17",9.734
"44","2016-02-18",9.734
"45","2016-02-19",9.734
"46","2016-02-22",9.734
"47","2016-02-23",9.734
"48","2016-02-24",9.734
"49","2016-02-25",9.734
"50","2016-02-26",9.75
"51","2016-02-29",9.725
"52","2016-03-01",9.75
"53","2016-03-02",9.75
"54","2016-03-03",9.75
"55","2016-03-04",9.75
"56","2016-03-07",9.75
"57","2016-03-08",9.75
"58","2016-03-09",9.75
"59","2016-03-10",9.75
"60","2016-03-11",9.75
"61","2016-03-14",9.74
"62","2016-03-15",9.51
"63","2016-03-16",9.74
"64","2016-03-17",9.52
"65","2016-03-18",9.52
"66","2016-03-21",9.51
"67","2016-03-22",9.6
"68","2016-03-23",9.72
"69","2016-03-24",9.72
"70","2016-03-28",9.72
"71","2016-03-29",9.76
"72","2016-03-30",9.67
"73","2016-03-31",9.75
"74","2016-04-01",9.75
"75","2016-04-04",9.75
"76","2016-04-05",9.75
"77","2016-04-06",9.75
"78","2016-04-07",9.75
"79","2016-04-08",9.75
"80","2016-04-11",9.75
"81","2016-04-12",9.75
"82","2016-04-13",9.75
"83","2016-04-14",9.75
"84","2016-04-15",9.75
"85","2016-04-18",9.75
"86","2016-04-19",9.75
"87","2016-04-20",9.74
"88","2016-04-21",9.54
"89","2016-04-22",9.54
"90","2016-04-25",9.54
"91","2016-04-26",9.54
"92","2016-04-27",9.55
"93","2016-04-28",9.55
"94","2016-04-29",9.75
"95","2016-05-02",9.75
"96","2016-05-03",9.75
"97","2016-05-04",9.56
"98","2016-05-05",9.67
"99","2016-05-06",9.8
"100","2016-05-09",9.7
"101","2016-05-10",9.6
"102","2016-05-11",9.6
"103","2016-05-12",9.6
"104","2016-05-13",9.6
"105","2016-05-16",9.55
"106","2016-05-17",9.62
"107","2016-05-18",9.62
"108","2016-05-19",9.62
"109","2016-05-20",9.68
"110","2016-05-23",9.62
"111","2016-05-24",9.62
"112","2016-05-25",9.71
"113","2016-05-26",9.64
"114","2016-05-27",9.64
"115","2016-05-31",9.71
"116","2016-06-01",9.71
"117","2016-06-02",9.66
"118","2016-06-03",9.66
"119","2016-06-06",9.66
"120","2016-06-07",9.66
"121","2016-06-08",9.66
"122","2016-06-09",9.66
"123","2016-06-10",9.67
"124","2016-06-13",9.67
