"","date","DLHC"
"1","2007-01-03",5.12
"2","2007-01-04",5.12
"3","2007-01-05",5.12
"4","2007-01-08",5.12
"5","2007-01-09",5.08
"6","2007-01-10",5.08
"7","2007-01-11",4.8
"8","2007-01-12",4.8
"9","2007-01-16",4.72
"10","2007-01-17",4.72
"11","2007-01-18",4.72
"12","2007-01-19",4.72
"13","2007-01-22",4.84
"14","2007-01-23",4.88
"15","2007-01-24",4.92
"16","2007-01-25",5
"17","2007-01-26",5.04
"18","2007-01-29",5.04
"19","2007-01-30",5
"20","2007-01-31",4.96
"21","2007-02-01",4.88
"22","2007-02-02",4.72
"23","2007-02-05",4.72
"24","2007-02-06",4.2
"25","2007-02-07",4.2
"26","2007-02-08",4.2
"27","2007-02-09",4.12
"28","2007-02-12",4.08
"29","2007-02-13",4.08
"30","2007-02-14",4.28
"31","2007-02-15",4.32
"32","2007-02-16",4.28
"33","2007-02-20",4.32
"34","2007-02-21",4.36
"35","2007-02-22",4.2
"36","2007-02-23",4.28
"37","2007-02-26",4.44
"38","2007-02-27",4.72
"39","2007-02-28",4.6
"40","2007-03-01",4.64
"41","2007-03-02",4.6
"42","2007-03-05",4.6
"43","2007-03-06",4.52
"44","2007-03-07",4.48
"45","2007-03-08",4.4
"46","2007-03-09",4.52
"47","2007-03-12",4.48
"48","2007-03-13",4.52
"49","2007-03-14",4.68
"50","2007-03-15",4.6
"51","2007-03-16",4.6
"52","2007-03-19",4.64
"53","2007-03-20",4.64
"54","2007-03-21",4.72
"55","2007-03-22",4.68
"56","2007-03-23",4.72
"57","2007-03-26",4.72
"58","2007-03-27",4.72
"59","2007-03-28",4.68
"60","2007-03-29",4.8
"61","2007-03-30",4.72
"62","2007-04-02",4.72
"63","2007-04-03",4.6
"64","2007-04-04",4.64
"65","2007-04-05",4.6
"66","2007-04-09",4.56
"67","2007-04-10",4.6
"68","2007-04-11",4.12
"69","2007-04-12",4.36
"70","2007-04-13",4.16
"71","2007-04-16",4.36
"72","2007-04-17",4.4
"73","2007-04-18",4.48
"74","2007-04-19",4.36
"75","2007-04-20",4.4
"76","2007-04-23",4.32
"77","2007-04-24",4.24
"78","2007-04-25",4.28
"79","2007-04-26",4.32
"80","2007-04-27",4.2
"81","2007-04-30",4.2
"82","2007-05-01",4.36
"83","2007-05-02",4.4
"84","2007-05-03",4.36
"85","2007-05-04",4.28
"86","2007-05-07",4.36
"87","2007-05-08",4.36
"88","2007-05-09",4.24
"89","2007-05-10",4.12
"90","2007-05-11",4.12
"91","2007-05-14",4.24
"92","2007-05-15",4.08
"93","2007-05-16",3.92
"94","2007-05-17",4.08
"95","2007-05-18",4
"96","2007-05-21",4
"97","2007-05-22",4.04
"98","2007-05-23",4
"99","2007-05-24",3.96
"100","2007-05-25",3.8
"101","2007-05-29",3.92
"102","2007-05-30",3.92
"103","2007-05-31",3.92
"104","2007-06-01",3.84
"105","2007-06-04",3.8
"106","2007-06-05",3.8
"107","2007-06-06",3.76
"108","2007-06-07",3.76
"109","2007-06-08",3.84
"110","2007-06-11",3.8
"111","2007-06-12",3.72
"112","2007-06-13",3.76
