"","date","ZION"
"1","2007-01-03",82.910004
"2","2007-01-04",83.279999
"3","2007-01-05",83.029999
"4","2007-01-08",83.169998
"5","2007-01-09",83.629997
"6","2007-01-10",84.120003
"7","2007-01-11",83.510002
"8","2007-01-12",83.25
"9","2007-01-16",83.120003
"10","2007-01-17",83.129997
"11","2007-01-18",83.080002
"12","2007-01-19",82.739998
"13","2007-01-22",82.540001
"14","2007-01-23",82.470001
"15","2007-01-24",83.459999
"16","2007-01-25",83.169998
"17","2007-01-26",84.489998
"18","2007-01-29",84.050003
"19","2007-01-30",84.230003
"20","2007-01-31",84.82
"21","2007-02-01",85.099998
"22","2007-02-02",85.470001
"23","2007-02-05",85
"24","2007-02-06",85.330002
"25","2007-02-07",85.419998
"26","2007-02-08",85.220001
"27","2007-02-09",85.529999
"28","2007-02-12",85.760002
"29","2007-02-13",86.050003
"30","2007-02-14",86.029999
"31","2007-02-15",87.580002
"32","2007-02-16",87.559998
"33","2007-02-20",88.279999
"34","2007-02-21",87.860001
"35","2007-02-22",87.550003
"36","2007-02-23",87.43
"37","2007-02-26",86.800003
"38","2007-02-27",85.139999
"39","2007-02-28",85.379997
"40","2007-03-01",84.75
"41","2007-03-02",84.940002
"42","2007-03-05",83.720001
"43","2007-03-06",85.57
"44","2007-03-07",85.519997
"45","2007-03-08",85.860001
"46","2007-03-09",85.82
"47","2007-03-12",86.540001
"48","2007-03-13",83.440002
"49","2007-03-14",83.599998
"50","2007-03-15",84.410004
"51","2007-03-16",84.169998
"52","2007-03-19",85.150002
"53","2007-03-20",85.699997
"54","2007-03-21",87.360001
"55","2007-03-22",86.449997
"56","2007-03-23",86.32
"57","2007-03-26",86.25
"58","2007-03-27",85.410004
"59","2007-03-28",84.260002
"60","2007-03-29",84.800003
"61","2007-03-30",84.519997
"62","2007-04-02",83.089996
"63","2007-04-03",83.809998
"64","2007-04-04",82.709999
"65","2007-04-05",82.870003
"66","2007-04-09",82.900002
"67","2007-04-10",83.300003
"68","2007-04-11",82.599998
"69","2007-04-12",82.82
"70","2007-04-13",83.959999
"71","2007-04-16",85.190002
"72","2007-04-17",84.849998
"73","2007-04-18",85.5
"74","2007-04-19",85.800003
"75","2007-04-20",81.449997
"76","2007-04-23",82.349998
"77","2007-04-24",81.830002
"78","2007-04-25",82.480003
"79","2007-04-26",82.389999
"80","2007-04-27",82.800003
"81","2007-04-30",81.800003
"82","2007-05-01",81.589996
"83","2007-05-02",82.400002
"84","2007-05-03",82.599998
"85","2007-05-04",83.25
"86","2007-05-07",83.379997
"87","2007-05-08",82.389999
"88","2007-05-09",82.260002
