"","date","ATXI"
"1","2017-06-27",8.25
"2","2017-06-28",7.92
"3","2017-06-29",7.88
"4","2017-06-30",7.95
"5","2017-07-03",8
"6","2017-07-05",8
"7","2017-07-06",7.8
"8","2017-07-07",7.62
"9","2017-07-10",7.41
"10","2017-07-11",7.15
"11","2017-07-12",7.69
"12","2017-07-13",7.52
"13","2017-07-14",7.73
"14","2017-07-17",7.45
"15","2017-07-18",7.28
"16","2017-07-19",7.27
"17","2017-07-20",7.34
"18","2017-07-21",7.19
"19","2017-07-24",7.18
"20","2017-07-25",7.01
"21","2017-07-26",7.04
"22","2017-07-27",6.98
"23","2017-07-28",7.02
"24","2017-07-31",6.68
"25","2017-08-01",6.85
"26","2017-08-02",6.77
"27","2017-08-03",6.98
"28","2017-08-04",6.7
"29","2017-08-07",6.7
"30","2017-08-08",6.77
"31","2017-08-09",6.59
"32","2017-08-10",6.62
"33","2017-08-11",6.83
"34","2017-08-14",6.77
"35","2017-08-15",6.29
"36","2017-08-16",6.77
"37","2017-08-17",6.68
"38","2017-08-18",6.55
"39","2017-08-21",6.42
"40","2017-08-22",6.42
"41","2017-08-23",6.6
"42","2017-08-24",6.5
"43","2017-08-25",6.39
"44","2017-08-28",6.25
"45","2017-08-29",6
"46","2017-08-30",6.25
"47","2017-08-31",5.855
"48","2017-09-01",6
"49","2017-09-05",6
"50","2017-09-06",5.98
"51","2017-09-07",6
"52","2017-09-08",6.12
"53","2017-09-11",5.96
"54","2017-09-12",5.98
"55","2017-09-13",6.03
"56","2017-09-14",5.79
"57","2017-09-15",5.51
"58","2017-09-18",5.55
"59","2017-09-19",5.54
"60","2017-09-20",5.55
"61","2017-09-21",5.54
"62","2017-09-22",5.45
"63","2017-09-25",5.08
"64","2017-09-26",5.13
"65","2017-09-27",5.24
"66","2017-09-28",5.19
"67","2017-09-29",5.53
"68","2017-10-02",5.53
"69","2017-10-03",5.61
"70","2017-10-04",5.56
"71","2017-10-05",5.64
"72","2017-10-06",5.61
"73","2017-10-09",5.12
"74","2017-10-10",5.34
"75","2017-10-11",5.25
"76","2017-10-12",5.21
"77","2017-10-13",5.47
"78","2017-10-16",5.26
"79","2017-10-17",5.18
"80","2017-10-18",5.29
"81","2017-10-19",4.8
"82","2017-10-20",4.55
"83","2017-10-23",4.55
"84","2017-10-24",4.18
"85","2017-10-25",3.97
"86","2017-10-26",4.25
"87","2017-10-27",4.64
"88","2017-10-30",4.54
"89","2017-10-31",5.32
"90","2017-11-01",4.95
"91","2017-11-02",5.28
"92","2017-11-03",5.1
"93","2017-11-06",5
"94","2017-11-07",4.77
"95","2017-11-08",4.66
"96","2017-11-09",4.93
"97","2017-11-10",4.63
"98","2017-11-13",4.35
"99","2017-11-14",4.63
"100","2017-11-15",4.29
"101","2017-11-16",4.26
"102","2017-11-17",4.16
"103","2017-11-20",4.22
"104","2017-11-21",4.04
"105","2017-11-22",4.04
"106","2017-11-24",3.99
"107","2017-11-27",3.93
"108","2017-11-28",3.65
"109","2017-11-29",3.79
"110","2017-11-30",4.16
"111","2017-12-01",4.14
"112","2017-12-04",3.91
"113","2017-12-05",4.45
"114","2017-12-06",4
"115","2017-12-07",4.025
"116","2017-12-08",4.7
"117","2017-12-11",4.87
"118","2017-12-12",4.23
"119","2017-12-13",4.48
"120","2017-12-14",4.73
"121","2017-12-15",4.48
"122","2017-12-18",4.15
"123","2017-12-19",3.93
"124","2017-12-20",3.85
"125","2017-12-21",3.78
"126","2017-12-22",3.65
"127","2017-12-26",3.65
"128","2017-12-27",3.6
"129","2017-12-28",3.53
"130","2017-12-29",3.62
"131","2018-01-02",3.83
"132","2018-01-03",3.72
"133","2018-01-04",3.78
"134","2018-01-05",3.81
"135","2018-01-08",3.76
"136","2018-01-09",3.82
"137","2018-01-10",3.85
"138","2018-01-11",3.82
"139","2018-01-12",3.98
"140","2018-01-16",4.02
"141","2018-01-17",3.78
"142","2018-01-18",3.75
"143","2018-01-19",3.85
"144","2018-01-22",3.8
"145","2018-01-23",3.82
"146","2018-01-24",3.85
"147","2018-01-25",3.81
"148","2018-01-26",3.75
"149","2018-01-29",3.89
"150","2018-01-30",3.87
"151","2018-01-31",3.77
"152","2018-02-01",3.8
"153","2018-02-02",3.86
"154","2018-02-05",3.64
"155","2018-02-06",3.7
"156","2018-02-07",3.94
"157","2018-02-08",3.67
"158","2018-02-09",3.76
"159","2018-02-12",3.64
"160","2018-02-13",3.76
"161","2018-02-14",4.02
"162","2018-02-15",4.23
"163","2018-02-16",4.01
"164","2018-02-20",4.43
"165","2018-02-21",5.04
"166","2018-02-22",5
"167","2018-02-23",5.01
"168","2018-02-26",5.36
"169","2018-02-27",5.25
"170","2018-02-28",5.11
"171","2018-03-01",5
"172","2018-03-02",5.05
"173","2018-03-05",5.05
"174","2018-03-06",4.92
"175","2018-03-07",4.92
"176","2018-03-08",4.88
"177","2018-03-09",4.84
"178","2018-03-12",5.04
"179","2018-03-13",4.8
"180","2018-03-14",5.45
"181","2018-03-15",5.49
"182","2018-03-16",5.6
"183","2018-03-19",5.75
"184","2018-03-20",5.6
"185","2018-03-21",5.48
"186","2018-03-22",5.46
"187","2018-03-23",5.45
"188","2018-03-26",5
"189","2018-03-27",4.35
"190","2018-03-28",4.5
"191","2018-03-29",4.51
"192","2018-04-02",4.8
"193","2018-04-03",4.521
"194","2018-04-04",4.92
"195","2018-04-05",4.75
"196","2018-04-06",4.75
"197","2018-04-09",4.93
"198","2018-04-10",4.96
