"","date","FMX"
"1","2007-01-03",39.116665
"2","2007-01-04",38.316666
"3","2007-01-05",38.006668
"4","2007-01-08",38.636665
"5","2007-01-09",38.026669
"6","2007-01-10",38.693333
"7","2007-01-11",39.419998
"8","2007-01-12",39.273335
"9","2007-01-16",39.73
"10","2007-01-17",39.893333
"11","2007-01-18",39.173332
"12","2007-01-19",39.636665
"13","2007-01-22",39.863335
"14","2007-01-23",39.893333
"15","2007-01-24",39.93
"16","2007-01-25",38.733334
"17","2007-01-26",39.259998
"18","2007-01-29",38.706665
"19","2007-01-30",39.189999
"20","2007-01-31",40.023335
"21","2007-02-01",41.486668
"22","2007-02-02",42.5
"23","2007-02-05",42.096668
"24","2007-02-06",42.509998
"25","2007-02-07",43.516666
"26","2007-02-08",43.116665
"27","2007-02-09",42.803333
"28","2007-02-12",42.623333
"29","2007-02-13",42.963333
"30","2007-02-14",44.423332
"31","2007-02-15",44.146667
"32","2007-02-16",43.753334
"33","2007-02-20",43
"34","2007-02-21",42.406666
"35","2007-02-22",42.439999
"36","2007-02-23",41.383335
"37","2007-02-26",39.599998
"38","2007-02-27",35.900002
"39","2007-02-28",36.860001
"40","2007-03-01",36.906666
"41","2007-03-02",36.220001
"42","2007-03-05",35.169998
"43","2007-03-06",35.709999
"44","2007-03-07",35.036667
"45","2007-03-08",36.023335
"46","2007-03-09",36.583332
"47","2007-03-12",36.476665
"48","2007-03-13",34.853333
"49","2007-03-14",35.310001
"50","2007-03-15",36.23
"51","2007-03-16",36.083332
"52","2007-03-19",36.099998
"53","2007-03-20",36.866665
"54","2007-03-21",38.653332
"55","2007-03-22",38.529999
"56","2007-03-23",38.266666
"57","2007-03-26",38.126667
"58","2007-03-27",37.203335
"59","2007-03-28",36.666668
"60","2007-03-29",37.273335
"61","2007-03-30",36.796665
"62","2007-04-02",37.733334
"63","2007-04-03",38.246666
"64","2007-04-04",38.376667
"65","2007-04-05",38.363335
"66","2007-04-09",38.799999
"67","2007-04-10",38.080002
"68","2007-04-11",37.496666
"69","2007-04-12",37.310001
"70","2007-04-13",36.810001
"71","2007-04-16",37.236668
"72","2007-04-17",37.133335
