"","date","AKUS"
"1","2020-06-26",22
"2","2020-06-29",22.370001
"3","2020-06-30",22.5
"4","2020-07-01",21.83
"5","2020-07-02",21.15
"6","2020-07-06",21.459999
"7","2020-07-07",21.549999
"8","2020-07-08",21.74
"9","2020-07-09",22.25
"10","2020-07-10",22.299999
"11","2020-07-13",22.49
"12","2020-07-14",21.620001
"13","2020-07-15",21.700001
"14","2020-07-16",20.719999
"15","2020-07-17",21.120001
"16","2020-07-20",21.17
"17","2020-07-21",21.780001
"18","2020-07-22",19.77
"19","2020-07-23",20.040001
"20","2020-07-24",19.299999
"21","2020-07-27",19.99
"22","2020-07-28",19.68
"23","2020-07-29",20.299999
"24","2020-07-30",19.82
"25","2020-07-31",19.549999
"26","2020-08-03",20.34
"27","2020-08-04",20.51
"28","2020-08-05",21.15
"29","2020-08-06",20.33
"30","2020-08-07",20.559999
"31","2020-08-10",20.610001
"32","2020-08-11",20.379999
"33","2020-08-12",20.370001
"34","2020-08-13",20.5
"35","2020-08-14",20.33
"36","2020-08-17",20.889999
"37","2020-08-18",20.48
"38","2020-08-19",20.860001
"39","2020-08-20",21.209999
"40","2020-08-21",22.030001
"41","2020-08-24",22.389999
"42","2020-08-25",22.469999
"43","2020-08-26",22.35
"44","2020-08-27",21.469999
"45","2020-08-28",22.6
"46","2020-08-31",22.42
"47","2020-09-01",24.17
"48","2020-09-02",24.73
"49","2020-09-03",23.98
"50","2020-09-04",22.76
"51","2020-09-08",25.200001
"52","2020-09-09",26.34
"53","2020-09-10",25.190001
"54","2020-09-11",25.83
"55","2020-09-14",26.92
"56","2020-09-15",25.5
"57","2020-09-16",24
"58","2020-09-17",23.379999
"59","2020-09-18",26.34
"60","2020-09-21",25.629999
"61","2020-09-22",26.709999
"62","2020-09-23",23.65
"63","2020-09-24",22.950001
"64","2020-09-25",24.33
"65","2020-09-28",23.33
"66","2020-09-29",23.120001
"67","2020-09-30",22.870001
"68","2020-10-01",22.450001
"69","2020-10-02",21.34
"70","2020-10-05",20
"71","2020-10-06",19.6
"72","2020-10-07",17.99
"73","2020-10-08",17.65
"74","2020-10-09",17.030001
"75","2020-10-12",17.870001
"76","2020-10-13",19.139999
"77","2020-10-14",17.360001
"78","2020-10-15",18.42
"79","2020-10-16",19.99
"80","2020-10-19",19.58
"81","2020-10-20",19.27
"82","2020-10-21",17.73
"83","2020-10-22",18.889999
"84","2020-10-23",19.700001
"85","2020-10-26",19.299999
"86","2020-10-27",19.9
"87","2020-10-28",18.389999
"88","2020-10-29",17.6
"89","2020-10-30",19.41
"90","2020-11-02",19.889999
"91","2020-11-03",20.200001
"92","2020-11-04",20.43
"93","2020-11-05",20.51
"94","2020-11-06",19.18
"95","2020-11-09",19
"96","2020-11-10",18.93
"97","2020-11-11",19.690001
"98","2020-11-12",18.5
"99","2020-11-13",18.52
"100","2020-11-16",19.75
"101","2020-11-17",19.67
"102","2020-11-18",18.51
"103","2020-11-19",19.48
"104","2020-11-20",19.09
"105","2020-11-23",19.120001
"106","2020-11-24",18.860001
"107","2020-11-25",19.360001
"108","2020-11-27",20.709999
