"","date","BHC"
"1","2007-01-03",21.120001
"2","2007-01-04",21.52
"3","2007-01-05",21.48
"4","2007-01-08",20.59
"5","2007-01-09",20.43
"6","2007-01-10",19.959999
"7","2007-01-11",20.290001
"8","2007-01-12",20.639999
"9","2007-01-16",20.870001
"10","2007-01-17",20.940001
"11","2007-01-18",20.969999
"12","2007-01-19",20.950001
"13","2007-01-22",20.58
"14","2007-01-23",20.07
"15","2007-01-24",20.33
"16","2007-01-25",20.280001
"17","2007-01-26",20.77
"18","2007-01-29",20.65
"19","2007-01-30",20.719999
"20","2007-01-31",20.379999
"21","2007-02-01",21.01
"22","2007-02-02",21.110001
"23","2007-02-05",21
"24","2007-02-06",20.92
"25","2007-02-07",20.68
"26","2007-02-08",20.6
"27","2007-02-09",20.68
"28","2007-02-12",20.620001
"29","2007-02-13",20.959999
"30","2007-02-14",20.67
"31","2007-02-15",21.389999
"32","2007-02-16",21.27
"33","2007-02-20",21.290001
"34","2007-02-21",21.200001
"35","2007-02-22",21.16
"36","2007-02-23",21.540001
"37","2007-02-26",21.32
"38","2007-02-27",20.17
"39","2007-02-28",20.75
"40","2007-03-01",21.09
"41","2007-03-02",20.5
"42","2007-03-05",20.540001
"43","2007-03-06",20.870001
"44","2007-03-07",20.620001
"45","2007-03-08",20.379999
"46","2007-03-09",20.780001
"47","2007-03-12",20.950001
"48","2007-03-13",20.51
"49","2007-03-14",20.610001
"50","2007-03-15",20.74
"51","2007-03-16",20.83
"52","2007-03-19",21.59
"53","2007-03-20",21.83
"54","2007-03-21",22.23
"55","2007-03-22",21.639999
"56","2007-03-23",21.83
"57","2007-03-26",21.969999
"58","2007-03-27",21.84
"59","2007-03-28",21.73
"60","2007-03-29",21.610001
"61","2007-03-30",21.860001
"62","2007-04-02",22.23
"63","2007-04-03",23.52
"64","2007-04-04",23.4
"65","2007-04-05",23.540001
"66","2007-04-09",23.43
"67","2007-04-10",23.35
"68","2007-04-11",23.48
"69","2007-04-12",23.9
"70","2007-04-13",24.030001
