"","date","NREF"
"1","2020-02-07",18.799999
"2","2020-02-10",18.85
"3","2020-02-11",18.959999
"4","2020-02-12",18.969999
"5","2020-02-13",18.959999
"6","2020-02-14",19.15
"7","2020-02-18",18.9
"8","2020-02-19",19
"9","2020-02-20",19.02
"10","2020-02-21",19.209999
"11","2020-02-24",18.959999
"12","2020-02-25",18.99
"13","2020-02-26",19.040001
"14","2020-02-27",18.549999
"15","2020-02-28",18.65
"16","2020-03-02",18.5
"17","2020-03-03",18.98
"18","2020-03-04",19.1
"19","2020-03-05",18.41
"20","2020-03-06",17.9
"21","2020-03-09",16.57
"22","2020-03-10",17.24
"23","2020-03-11",16.5
"24","2020-03-12",15.03
"25","2020-03-13",14.99
"26","2020-03-16",13
"27","2020-03-17",11.91
"28","2020-03-18",8.5
"29","2020-03-19",8.22
"30","2020-03-20",9.8
"31","2020-03-23",7.57
"32","2020-03-24",6.34
"33","2020-03-25",6.83
"34","2020-03-26",7.06
"35","2020-03-27",9.45
"36","2020-03-30",8.68
"37","2020-03-31",9.65
"38","2020-04-01",9.2
"39","2020-04-02",8.45
"40","2020-04-03",7.95
"41","2020-04-06",8.2
"42","2020-04-07",9.05
"43","2020-04-08",9.9
"44","2020-04-09",10.95
"45","2020-04-13",10.15
"46","2020-04-14",12.4
"47","2020-04-15",11.78
"48","2020-04-16",10.52
"49","2020-04-17",10.7
"50","2020-04-20",11.02
"51","2020-04-21",10.75
"52","2020-04-22",10.71
"53","2020-04-23",10.85
"54","2020-04-24",10.8
"55","2020-04-27",11
"56","2020-04-28",11.29
"57","2020-04-29",12.08
"58","2020-04-30",11.46
"59","2020-05-01",11.25
"60","2020-05-04",10.8
"61","2020-05-05",10.66
"62","2020-05-06",12
"63","2020-05-07",12
"64","2020-05-08",12.11
"65","2020-05-11",11.81
"66","2020-05-12",11.9
"67","2020-05-13",11.43
"68","2020-05-14",10.89
"69","2020-05-15",10.56
"70","2020-05-18",11.06
"71","2020-05-19",11
"72","2020-05-20",12
"73","2020-05-21",13.5
"74","2020-05-22",14.5
"75","2020-05-26",16.17
"76","2020-05-27",15.83
"77","2020-05-28",16.540001
"78","2020-05-29",16.33
"79","2020-06-01",16.57
"80","2020-06-02",16.75
"81","2020-06-03",17.629999
"82","2020-06-04",17.459999
"83","2020-06-05",17.65
"84","2020-06-08",16.559999
"85","2020-06-09",15.55
"86","2020-06-10",16
"87","2020-06-11",15.51
"88","2020-06-12",15.2
"89","2020-06-15",16.309999
"90","2020-06-16",16.26
"91","2020-06-17",16.1
"92","2020-06-18",16.34
"93","2020-06-19",16.389999
"94","2020-06-22",16.790001
"95","2020-06-23",16.73
"96","2020-06-24",16.42
"97","2020-06-25",16.59
"98","2020-06-26",16.709999
"99","2020-06-29",16.92
"100","2020-06-30",16.75
"101","2020-07-01",16.870001
"102","2020-07-02",16.879999
"103","2020-07-06",16.559999
"104","2020-07-07",15.5
"105","2020-07-08",14.9
"106","2020-07-09",14.8
"107","2020-07-10",14.82
"108","2020-07-13",14.63
"109","2020-07-14",15.03
"110","2020-07-15",15
"111","2020-07-16",15.18
"112","2020-07-17",15.16
"113","2020-07-20",15.05
"114","2020-07-21",15.06
"115","2020-07-22",15.78
"116","2020-07-23",15.65
"117","2020-07-24",14.25
"118","2020-07-27",15.62
"119","2020-07-28",15.5
"120","2020-07-29",15.05
"121","2020-07-30",15.63
"122","2020-07-31",15.9
"123","2020-08-03",15.03
"124","2020-08-04",15.51
"125","2020-08-05",15.32
"126","2020-08-06",15.19
"127","2020-08-07",14.9
"128","2020-08-10",15.15
"129","2020-08-11",15.5
"130","2020-08-12",15.49
"131","2020-08-13",16.83
"132","2020-08-14",16.549999
"133","2020-08-17",15.63
"134","2020-08-18",15.9
"135","2020-08-19",15.45
"136","2020-08-20",15.38
"137","2020-08-21",15.54
"138","2020-08-24",15.77
"139","2020-08-25",15.8
"140","2020-08-26",15.85
"141","2020-08-27",15
"142","2020-08-28",15
"143","2020-08-31",15.37
"144","2020-09-01",15.44
"145","2020-09-02",15.51
"146","2020-09-03",15.5
"147","2020-09-04",15.55
"148","2020-09-08",14.83
"149","2020-09-09",15.29
"150","2020-09-10",15.12
"151","2020-09-11",15.2
"152","2020-09-14",14.62
"153","2020-09-15",14.62
"154","2020-09-16",13.9
"155","2020-09-17",13.4
"156","2020-09-18",13.48
"157","2020-09-21",14.25
"158","2020-09-22",14.84
"159","2020-09-23",14.5
"160","2020-09-24",15.3
"161","2020-09-25",14.75
"162","2020-09-28",15.58
"163","2020-09-29",14.5
"164","2020-09-30",14.68
"165","2020-10-01",15.01
"166","2020-10-02",14.77
"167","2020-10-05",14.54
"168","2020-10-06",14.34
"169","2020-10-07",14.46
"170","2020-10-08",14.05
"171","2020-10-09",14.1
"172","2020-10-12",14.07
"173","2020-10-13",14
"174","2020-10-14",13.93
"175","2020-10-15",14.12
"176","2020-10-16",14.35
"177","2020-10-19",14.11
"178","2020-10-20",14.15
"179","2020-10-21",14.13
"180","2020-10-22",14.15
"181","2020-10-23",13.91
"182","2020-10-26",13.41
"183","2020-10-27",13.51
"184","2020-10-28",13.42
"185","2020-10-29",13.65
"186","2020-10-30",13.71
"187","2020-11-02",13.6
"188","2020-11-03",13.99
"189","2020-11-04",13.895
"190","2020-11-05",13.75
"191","2020-11-06",13.88
"192","2020-11-09",14.3
"193","2020-11-10",14.33
"194","2020-11-11",14.34
"195","2020-11-12",14.4
"196","2020-11-13",14.6
"197","2020-11-16",14.84
"198","2020-11-17",13.83
"199","2020-11-18",14.63
"200","2020-11-19",14.4
"201","2020-11-20",14.85
"202","2020-11-23",15.49
"203","2020-11-24",16.200001
"204","2020-11-25",16.120001
"205","2020-11-27",16.969999
