"","date","WHLM"
"1","2007-01-03",4.4
"2","2007-01-04",4.4
"3","2007-01-05",4.8
"4","2007-01-08",5
"5","2007-01-09",4.8
"6","2007-01-10",4.8
"7","2007-01-11",4.8
"8","2007-01-12",5
"9","2007-01-16",5
"10","2007-01-17",5.4
"11","2007-01-18",5
"12","2007-01-19",5.2
"13","2007-01-22",5
"14","2007-01-23",5.2
"15","2007-01-24",5.2
"16","2007-01-25",5.2
"17","2007-01-26",5.2
"18","2007-01-29",5.2
"19","2007-01-30",5.2
"20","2007-01-31",5.2
"21","2007-02-01",5.4
"22","2007-02-02",5.4
"23","2007-02-05",5.6
"24","2007-02-06",5.2
"25","2007-02-07",5.2
"26","2007-02-08",5.2
"27","2007-02-09",5.2
"28","2007-02-12",5.4
"29","2007-02-13",5.4
"30","2007-02-14",5.6
"31","2007-02-15",5.6
"32","2007-02-16",5.6
"33","2007-02-20",5.8
"34","2007-02-21",5.6
"35","2007-02-22",5.4
"36","2007-02-23",5.4
"37","2007-02-26",5.4
"38","2007-02-27",5.6
"39","2007-02-28",5.4
"40","2007-03-01",5.2
"41","2007-03-02",5.2
"42","2007-03-05",5.4
"43","2007-03-06",5.2
"44","2007-03-07",5.4
"45","2007-03-08",5.2
"46","2007-03-09",5.2
"47","2007-03-12",5.6
"48","2007-03-13",5.6
"49","2007-03-14",5.6
"50","2007-03-15",5.8
"51","2007-03-16",5.6
"52","2007-03-19",5.6
"53","2007-03-20",5.6
"54","2007-03-21",6
"55","2007-03-22",5.6
"56","2007-03-23",5.6
"57","2007-03-26",5.6
"58","2007-03-27",5.6
"59","2007-03-28",5.6
"60","2007-03-29",5.6
"61","2007-03-30",5.8
"62","2007-04-02",5.4
"63","2007-04-03",5.2
"64","2007-04-04",5.2
"65","2007-04-05",5.8
"66","2007-04-09",5.8
"67","2007-04-10",5.8
"68","2007-04-11",5.4
"69","2007-04-12",5.2
"70","2007-04-13",5
"71","2007-04-16",5
"72","2007-04-17",5.2
"73","2007-04-18",5.2
"74","2007-04-19",5.2
"75","2007-04-20",5
"76","2007-04-23",5.2
"77","2007-04-24",5
"78","2007-04-25",5
"79","2007-04-26",5.2
"80","2007-04-27",5.2
"81","2007-04-30",5.2
"82","2007-05-01",5.2
"83","2007-05-02",5
"84","2007-05-03",5.2
"85","2007-05-04",5.2
"86","2007-05-07",5.2
"87","2007-05-08",5.6
"88","2007-05-09",5.6
"89","2007-05-10",5.6
"90","2007-05-11",5.2
"91","2007-05-14",5.2
"92","2007-05-15",5.2
"93","2007-05-16",5.2
"94","2007-05-17",5.2
"95","2007-05-18",5.2
"96","2007-05-21",5.2
"97","2007-05-22",5.2
"98","2007-05-23",5.4
"99","2007-05-24",5
"100","2007-05-25",5.4
"101","2007-05-29",5.2
"102","2007-05-30",5.2
"103","2007-05-31",5
"104","2007-06-01",5.4
"105","2007-06-04",5.2
"106","2007-06-05",5.2
"107","2007-06-06",5.4
"108","2007-06-07",5.4
"109","2007-06-08",5.4
"110","2007-06-11",5.4
"111","2007-06-12",5.2
"112","2007-06-13",5
"113","2007-06-14",5.2
"114","2007-06-15",4.4
"115","2007-06-18",4.8
"116","2007-06-19",4.6
"117","2007-06-20",5
"118","2007-06-21",5
"119","2007-06-22",5
"120","2007-06-25",5.2
"121","2007-06-26",5
"122","2007-06-27",5
"123","2007-06-28",5.2
"124","2007-06-29",5.2
"125","2007-07-02",5
"126","2007-07-03",5
"127","2007-07-05",5.2
"128","2007-07-06",5.2
"129","2007-07-09",5
"130","2007-07-10",4.8
"131","2007-07-11",4.8
"132","2007-07-12",5
"133","2007-07-13",5
"134","2007-07-16",5
"135","2007-07-17",5
"136","2007-07-18",5
"137","2007-07-19",5
"138","2007-07-20",5
"139","2007-07-23",5
"140","2007-07-24",5
"141","2007-07-25",5
"142","2007-07-26",4.6
"143","2007-07-27",5
"144","2007-07-30",5
"145","2007-07-31",5
"146","2007-08-01",4.8
"147","2007-08-02",5
"148","2007-08-03",4.8
"149","2007-08-06",4.8
"150","2007-08-07",5
"151","2007-08-08",4.8
"152","2007-08-09",4.8
"153","2007-08-10",4.8
"154","2007-08-13",4.8
"155","2007-08-14",4.8
"156","2007-08-15",4.8
"157","2007-08-16",4.8
"158","2007-08-17",4.6
"159","2007-08-20",4.6
"160","2007-08-21",4.8
"161","2007-08-22",4.8
"162","2007-08-23",4.8
"163","2007-08-24",4.6
"164","2007-08-27",4.6
"165","2007-08-28",4.6
"166","2007-08-29",4.6
"167","2007-08-30",4.6
"168","2007-08-31",4.8
"169","2007-09-04",4.6
"170","2007-09-05",4.6
"171","2007-09-06",4.6
"172","2007-09-07",4.6
"173","2007-09-10",4.6
"174","2007-09-11",4.6
"175","2007-09-12",4.6
"176","2007-09-13",4.4
"177","2007-09-14",4.4
"178","2007-09-17",4.4
"179","2007-09-18",4.4
"180","2007-09-19",4.4
"181","2007-09-20",4.4
"182","2007-09-21",4.4
"183","2007-09-24",4.4
"184","2007-09-25",4.4
"185","2007-09-26",4.4
"186","2007-09-27",4.4
"187","2007-09-28",4.4
"188","2007-10-01",4.4
"189","2007-10-02",4.4
"190","2007-10-03",4.6
"191","2007-10-04",4.6
"192","2007-10-05",4.4
"193","2007-10-08",4.4
"194","2007-10-09",4.4
"195","2007-10-10",4.2
"196","2007-10-11",4.2
"197","2007-10-12",4.2
"198","2007-10-15",4
"199","2007-10-16",4
"200","2007-10-17",4
"201","2007-10-18",4
"202","2007-10-19",4
"203","2007-10-22",4
"204","2007-10-23",4
"205","2007-10-24",4
"206","2007-10-25",4
"207","2007-10-26",4
"208","2007-10-29",4
"209","2007-10-30",4
"210","2007-10-31",3.8
"211","2007-11-01",3.8
"212","2007-11-02",4
"213","2007-11-05",3.8
"214","2007-11-06",3.8
"215","2007-11-07",3.8
"216","2007-11-08",3.8
"217","2007-11-09",3.8
"218","2007-11-12",3.8
"219","2007-11-13",3.8
"220","2007-11-14",4
"221","2007-11-15",4
"222","2007-11-16",4.2
"223","2007-11-19",4
"224","2007-11-20",4
"225","2007-11-21",4
"226","2007-11-23",4
"227","2007-11-26",4
"228","2007-11-27",4
"229","2007-11-28",4
"230","2007-11-29",4
"231","2007-11-30",4.2
"232","2007-12-03",4
"233","2007-12-04",4
"234","2007-12-05",4
"235","2007-12-06",4
"236","2007-12-07",4
"237","2007-12-10",4
"238","2007-12-11",4
"239","2007-12-12",4
"240","2007-12-13",4
"241","2007-12-14",4
"242","2007-12-17",4
"243","2007-12-18",4.2
"244","2007-12-19",3.8
"245","2007-12-20",4
"246","2007-12-21",3.8
"247","2007-12-24",3.8
"248","2007-12-26",4
"249","2007-12-27",4
"250","2007-12-28",4
"251","2007-12-31",4
"252","2008-01-02",4
"253","2008-01-03",4
"254","2008-01-04",4
"255","2008-01-07",4
"256","2008-01-08",4
"257","2008-01-09",3.6
"258","2008-01-10",3.6
"259","2008-01-11",3.6
"260","2008-01-14",3.6
"261","2008-01-15",3.6
"262","2008-01-16",3.6
"263","2008-01-17",3.6
"264","2008-01-18",3.6
"265","2008-01-22",3.6
"266","2008-01-23",3.6
"267","2008-01-24",3.6
"268","2008-01-25",3.6
"269","2008-01-28",3.6
"270","2008-01-29",3.6
"271","2008-01-30",3.6
"272","2008-01-31",3.6
"273","2008-02-01",3.4
"274","2008-02-04",3.4
"275","2008-02-05",3.4
"276","2008-02-06",3.4
"277","2008-02-07",3.2
"278","2008-02-08",3.2
"279","2008-02-11",3.2
"280","2008-02-12",3.2
"281","2008-02-13",3.2
"282","2008-02-14",3.2
"283","2008-02-15",3.2
"284","2008-02-19",3.2
"285","2008-02-20",3.2
"286","2008-02-21",3.2
"287","2008-02-22",3.2
"288","2008-02-25",3.4
"289","2008-02-26",3.4
"290","2008-02-27",3.2
"291","2008-02-28",3.2
"292","2008-02-29",3.2
"293","2008-03-03",3.2
