"","date","EL"
"1","2007-01-03",20.545
"2","2007-01-04",20.545
"3","2007-01-05",20.290001
"4","2007-01-08",20.084999
"5","2007-01-09",20.209999
"6","2007-01-10",20.26
"7","2007-01-11",20.4
"8","2007-01-12",20.469999
"9","2007-01-16",20.655001
"10","2007-01-17",20.4
"11","2007-01-18",20.264999
"12","2007-01-19",20.469999
"13","2007-01-22",20.26
"14","2007-01-23",20.16
"15","2007-01-24",20.610001
"16","2007-01-25",20.385
"17","2007-01-26",20.27
"18","2007-01-29",20.379999
"19","2007-01-30",20.665001
"20","2007-01-31",23.75
"21","2007-02-01",23.725
"22","2007-02-02",23.065001
"23","2007-02-05",23.309999
"24","2007-02-06",23.245001
"25","2007-02-07",22.934999
"26","2007-02-08",23.129999
"27","2007-02-09",23.315001
"28","2007-02-12",23.209999
"29","2007-02-13",23.325001
"30","2007-02-14",23.565001
"31","2007-02-15",23.76
"32","2007-02-16",23.875
"33","2007-02-20",24.115
"34","2007-02-21",23.52
"35","2007-02-22",23.35
"36","2007-02-23",23.68
"37","2007-02-26",23.655001
"38","2007-02-27",22.879999
"39","2007-02-28",23.934999
"40","2007-03-01",23.455
"41","2007-03-02",22.965
"42","2007-03-05",23.025
"43","2007-03-06",23.594999
"44","2007-03-07",23.495001
"45","2007-03-08",24.035
"46","2007-03-09",23.809999
"47","2007-03-12",24.665001
"48","2007-03-13",24.209999
"49","2007-03-14",24.125
"50","2007-03-15",23.955
"51","2007-03-16",23.92
"52","2007-03-19",23.995001
"53","2007-03-20",24.41
"54","2007-03-21",24.629999
"55","2007-03-22",24.725
"56","2007-03-23",24.74
"57","2007-03-26",24.385
"58","2007-03-27",24.315001
"59","2007-03-28",24.34
"60","2007-03-29",24.385
"61","2007-03-30",24.424999
"62","2007-04-02",24.555
"63","2007-04-03",24.65
"64","2007-04-04",24.555
"65","2007-04-05",24.645
"66","2007-04-09",24.625
"67","2007-04-10",24.674999
"68","2007-04-11",24.559999
"69","2007-04-12",24.764999
"70","2007-04-13",24.924999
"71","2007-04-16",25.129999
"72","2007-04-17",25.219999
"73","2007-04-18",25.065001
"74","2007-04-19",25.08
"75","2007-04-20",25.35
"76","2007-04-23",25.514999
"77","2007-04-24",25.424999
"78","2007-04-25",25.74
"79","2007-04-26",25.504999
"80","2007-04-27",25.450001
"81","2007-04-30",25.709999
"82","2007-05-01",25.43
"83","2007-05-02",25.5
"84","2007-05-03",23.65
"85","2007-05-04",23.965
"86","2007-05-07",23.9
"87","2007-05-08",23.785
"88","2007-05-09",23.68
"89","2007-05-10",23.5
"90","2007-05-11",23.530001
"91","2007-05-14",23.594999
"92","2007-05-15",23.51
"93","2007-05-16",23.485001
"94","2007-05-17",23.485001
"95","2007-05-18",23.5
"96","2007-05-21",23.58
"97","2007-05-22",23.629999
"98","2007-05-23",23.52
"99","2007-05-24",23.485001
"100","2007-05-25",23.625
"101","2007-05-29",23.719999
"102","2007-05-30",23.700001
"103","2007-05-31",23.65
"104","2007-06-01",23.605
"105","2007-06-04",23.68
"106","2007-06-05",23.365
"107","2007-06-06",23.049999
"108","2007-06-07",22.855
"109","2007-06-08",22.975
"110","2007-06-11",23.23
"111","2007-06-12",23.07
"112","2007-06-13",23.379999
"113","2007-06-14",23.225
"114","2007-06-15",23.035
"115","2007-06-18",23.09
"116","2007-06-19",23.075001
"117","2007-06-20",22.785
"118","2007-06-21",22.924999
"119","2007-06-22",22.709999
"120","2007-06-25",22.645
"121","2007-06-26",22.6
"122","2007-06-27",22.540001
"123","2007-06-28",22.9
"124","2007-06-29",22.754999
"125","2007-07-02",22.775
"126","2007-07-03",22.58
"127","2007-07-05",22.93
"128","2007-07-06",23.040001
"129","2007-07-09",23.190001
"130","2007-07-10",22.915001
"131","2007-07-11",23.295
"132","2007-07-12",23.625
"133","2007-07-13",23.555
"134","2007-07-16",23.530001
"135","2007-07-17",23.74
"136","2007-07-18",23.605
"137","2007-07-19",23.745001
"138","2007-07-20",23.559999
"139","2007-07-23",23.495001
"140","2007-07-24",23.405001
"141","2007-07-25",23.295
"142","2007-07-26",23.17
"143","2007-07-27",22.915001
"144","2007-07-30",22.754999
"145","2007-07-31",22.51
"146","2007-08-01",22.495001
"147","2007-08-02",22.405001
"148","2007-08-03",22.27
"149","2007-08-06",22.485001
"150","2007-08-07",22.24
"151","2007-08-08",21.995001
"152","2007-08-09",21.625
"153","2007-08-10",21.674999
"154","2007-08-13",22.110001
"155","2007-08-14",22.065001
"156","2007-08-15",21.575001
"157","2007-08-16",20.15
"158","2007-08-17",20.155001
"159","2007-08-20",20.459999
"160","2007-08-21",20.715
"161","2007-08-22",20.674999
"162","2007-08-23",20.940001
"163","2007-08-24",21.35
