"","date","AIHS"
"1","2018-03-19",5.93
"2","2018-03-20",5.16
"3","2018-03-21",5.65
"4","2018-03-22",5.989
"5","2018-03-23",5.98
"6","2018-03-26",5.68
"7","2018-03-27",5.8
"8","2018-03-28",5.89
"9","2018-03-29",5.95
"10","2018-04-02",5.83
"11","2018-04-03",6
"12","2018-04-04",5.95
"13","2018-04-05",5.98
"14","2018-04-06",5.88
"15","2018-04-09",5.95
"16","2018-04-10",6
"17","2018-04-11",6.5
"18","2018-04-12",6.55
"19","2018-04-13",6.55
"20","2018-04-16",6.5
"21","2018-04-17",6.91
"22","2018-04-18",7.62
"23","2018-04-19",7.8
"24","2018-04-20",7.65
"25","2018-04-23",7.25
"26","2018-04-24",7.44
"27","2018-04-25",7.38
"28","2018-04-26",7.36
"29","2018-04-27",7.65
"30","2018-04-30",7.76
"31","2018-05-01",7.89
"32","2018-05-02",7.81
"33","2018-05-03",7.85
"34","2018-05-04",7.96
"35","2018-05-07",7.72
"36","2018-05-08",7.83
"37","2018-05-09",8.06
"38","2018-05-10",7.75
"39","2018-05-11",7.71
"40","2018-05-14",7.615
"41","2018-05-15",7.41
"42","2018-05-16",7.39
"43","2018-05-17",7.22
"44","2018-05-18",7.2
"45","2018-05-21",7.28
"46","2018-05-22",6.9
"47","2018-05-23",6.65
"48","2018-05-24",6.68
"49","2018-05-25",6.61
"50","2018-05-29",6.19
"51","2018-05-30",5.95
"52","2018-05-31",5.6
"53","2018-06-01",5.74
"54","2018-06-04",5.93
"55","2018-06-05",5.91
"56","2018-06-06",6.63
"57","2018-06-07",6.55
"58","2018-06-08",6.542
"59","2018-06-11",6.94
"60","2018-06-12",6.4
"61","2018-06-13",6.09
"62","2018-06-14",6.3
"63","2018-06-15",6.02
"64","2018-06-18",5.96
"65","2018-06-19",5.86
"66","2018-06-20",6.08
"67","2018-06-21",6.05
"68","2018-06-22",5.9
"69","2018-06-25",5.75
"70","2018-06-26",5.7
"71","2018-06-27",5.84
"72","2018-06-28",5.53
"73","2018-06-29",5.6
"74","2018-07-02",5.39
"75","2018-07-03",5.45
"76","2018-07-05",5.39
"77","2018-07-06",5.3
"78","2018-07-09",5.22
"79","2018-07-10",5.21
"80","2018-07-11",4.88
"81","2018-07-12",4.73
"82","2018-07-13",4.61
"83","2018-07-16",4.53
"84","2018-07-17",4.34
"85","2018-07-18",4.19
"86","2018-07-19",4.2
"87","2018-07-20",4.33
"88","2018-07-23",4.37
"89","2018-07-24",4.41
"90","2018-07-25",4.35
"91","2018-07-26",4.42
"92","2018-07-27",4.36
"93","2018-07-30",4.55
"94","2018-07-31",4.71
"95","2018-08-01",3.87
"96","2018-08-02",4.53
"97","2018-08-03",4.42
"98","2018-08-06",4.62
"99","2018-08-07",4.46
"100","2018-08-08",4.25
"101","2018-08-09",4.11
"102","2018-08-10",4.15
"103","2018-08-13",4.37
"104","2018-08-14",4.42
"105","2018-08-15",4.449
"106","2018-08-16",4.57
"107","2018-08-17",4.84
"108","2018-08-20",4.62
"109","2018-08-21",5.23
"110","2018-08-22",5.11
"111","2018-08-23",5.31
"112","2018-08-24",5.21
"113","2018-08-27",5.23
"114","2018-08-28",5.2
"115","2018-08-29",5.25
"116","2018-08-30",5.28
"117","2018-08-31",5.21
"118","2018-09-04",5.27
"119","2018-09-05",5.21
"120","2018-09-06",5.17
"121","2018-09-07",5.1
"122","2018-09-10",5.17
"123","2018-09-11",5.15
"124","2018-09-12",5.08
"125","2018-09-13",4.84
"126","2018-09-14",4.94
"127","2018-09-17",5.19
"128","2018-09-18",5.2
"129","2018-09-19",5.2
"130","2018-09-20",5.06
"131","2018-09-21",5.23
"132","2018-09-24",5.29
"133","2018-09-25",5
"134","2018-09-26",4.8
"135","2018-09-27",4.48
"136","2018-09-28",4.64
"137","2018-10-01",4.649
"138","2018-10-02",4.64
"139","2018-10-03",4.55
"140","2018-10-04",4.38
"141","2018-10-05",4.26
"142","2018-10-08",4.31
"143","2018-10-09",4.17
"144","2018-10-10",4.13
"145","2018-10-11",4.3
"146","2018-10-12",4.29
"147","2018-10-15",4.15
"148","2018-10-16",4.1
"149","2018-10-17",4.298
"150","2018-10-18",4.13
"151","2018-10-19",4.16
"152","2018-10-22",4.2
"153","2018-10-23",4.09
"154","2018-10-24",4.09
"155","2018-10-25",4.25
"156","2018-10-26",4.18
"157","2018-10-29",4.16
"158","2018-10-30",4.17
"159","2018-10-31",4.18
"160","2018-11-01",4.27
"161","2018-11-02",4.15
"162","2018-11-05",4.15
"163","2018-11-06",4.16
"164","2018-11-07",4.28
"165","2018-11-08",4.47
"166","2018-11-09",4.52
"167","2018-11-12",4.5
"168","2018-11-13",4.5
"169","2018-11-14",4.5
"170","2018-11-15",4.45
"171","2018-11-16",4.56
"172","2018-11-19",4.5
"173","2018-11-20",4.54
"174","2018-11-21",4.49
"175","2018-11-23",4.46
"176","2018-11-26",4.55
"177","2018-11-27",4.48
"178","2018-11-28",4.58
"179","2018-11-29",4.74
"180","2018-11-30",4.75
"181","2018-12-03",4.92
"182","2018-12-04",4.85
"183","2018-12-06",4.86
"184","2018-12-07",4.74
"185","2018-12-10",4.82
"186","2018-12-11",4.67
"187","2018-12-12",4.72
"188","2018-12-13",4.63
"189","2018-12-14",4.55
"190","2018-12-17",4.39
"191","2018-12-18",4.14
"192","2018-12-19",3.99
"193","2018-12-20",4.09
"194","2018-12-21",3.86
"195","2018-12-24",3.75
"196","2018-12-26",3.96
"197","2018-12-27",3.8
"198","2018-12-28",3.75
"199","2018-12-31",3.81
"200","2019-01-02",3.88
"201","2019-01-03",3.7
"202","2019-01-04",3.79
"203","2019-01-07",3.81
"204","2019-01-08",3.87
"205","2019-01-09",3.96
"206","2019-01-10",4.03
"207","2019-01-11",4.06
"208","2019-01-14",4.06
"209","2019-01-15",4.136
"210","2019-01-16",4.15
"211","2019-01-17",4.205
"212","2019-01-18",4.17
"213","2019-01-22",4.17
"214","2019-01-23",4.19
"215","2019-01-24",4.16
"216","2019-01-25",4.18
"217","2019-01-28",4.18
"218","2019-01-29",4
"219","2019-01-30",3.95
"220","2019-01-31",3.91
"221","2019-02-01",3.92
"222","2019-02-04",3.95
"223","2019-02-05",3.94
"224","2019-02-06",3.95
"225","2019-02-07",3.98
"226","2019-02-08",3.98
"227","2019-02-11",3.77
"228","2019-02-12",3.79
"229","2019-02-13",3.4
"230","2019-02-14",3.33
"231","2019-02-15",3.36
"232","2019-02-19",3.39
"233","2019-02-20",3.18
"234","2019-02-21",3.22
"235","2019-02-22",3.25
"236","2019-02-25",3.47
"237","2019-02-26",3.42
"238","2019-02-27",3.27
"239","2019-02-28",3.38
"240","2019-03-01",3.34
"241","2019-03-04",3.43
"242","2019-03-05",3.24
"243","2019-03-06",3.43
"244","2019-03-07",3.43
"245","2019-03-08",3.7
"246","2019-03-11",3.75
"247","2019-03-12",4.29
"248","2019-03-13",4.79
"249","2019-03-14",6.15
"250","2019-03-15",5.32
"251","2019-03-18",4.98
