"","date","GLYC"
"1","2014-01-10",9.01
"2","2014-01-13",8.81
"3","2014-01-14",8.98
"4","2014-01-15",9.63
"5","2014-01-16",11.4
"6","2014-01-17",10.85
"7","2014-01-21",11
"8","2014-01-22",10.15
"9","2014-01-23",9.7
"10","2014-01-24",9.46
"11","2014-01-27",9.09
"12","2014-01-28",9.32
"13","2014-01-29",9.34
"14","2014-01-30",9.62
"15","2014-01-31",9.95
"16","2014-02-03",10.01
"17","2014-02-04",9.92
"18","2014-02-05",9.39
"19","2014-02-06",9.17
"20","2014-02-07",9.24
"21","2014-02-10",9.27
"22","2014-02-11",9.84
"23","2014-02-12",10.35
"24","2014-02-13",10.39
"25","2014-02-14",10.39
"26","2014-02-18",10.51
"27","2014-02-19",10.11
"28","2014-02-20",10.2
"29","2014-02-21",10.45
"30","2014-02-24",10.51
"31","2014-02-25",12.68
"32","2014-02-26",12.51
"33","2014-02-27",12.77
"34","2014-02-28",12.19
"35","2014-03-03",13.06
"36","2014-03-04",14.38
"37","2014-03-05",14.9
"38","2014-03-06",14.45
"39","2014-03-07",15.74
"40","2014-03-10",16.209999
"41","2014-03-11",16.879999
"42","2014-03-12",17
"43","2014-03-13",16.67
"44","2014-03-14",15.24
"45","2014-03-17",15.77
"46","2014-03-18",15.4
"47","2014-03-19",15.08
"48","2014-03-20",14.17
"49","2014-03-21",14.02
"50","2014-03-24",14.47
"51","2014-03-25",14.56
"52","2014-03-26",14.63
"53","2014-03-27",15.38
"54","2014-03-28",15.1
"55","2014-03-31",16.33
"56","2014-04-01",16.76
"57","2014-04-02",16.389999
"58","2014-04-03",15.94
"59","2014-04-04",15.77
"60","2014-04-07",15.2
"61","2014-04-08",15.12
"62","2014-04-09",15.39
"63","2014-04-10",14.35
"64","2014-04-11",13.63
"65","2014-04-14",14.13
"66","2014-04-15",13.79
"67","2014-04-16",14.33
"68","2014-04-17",13.92
"69","2014-04-21",14.14
"70","2014-04-22",14.1
"71","2014-04-23",13.57
"72","2014-04-24",13.84
"73","2014-04-25",13.26
"74","2014-04-28",13.08
"75","2014-04-29",13.05
"76","2014-04-30",13.27
"77","2014-05-01",12.67
"78","2014-05-02",12.07
"79","2014-05-05",11.8
"80","2014-05-06",10.94
"81","2014-05-07",10.54
"82","2014-05-08",9.78
"83","2014-05-09",9.13
"84","2014-05-12",8.06
"85","2014-05-13",7.6
"86","2014-05-14",7.41
"87","2014-05-15",6.95
"88","2014-05-16",6.48
"89","2014-05-19",6.71
"90","2014-05-20",6.3
"91","2014-05-21",6.39
"92","2014-05-22",6.5
"93","2014-05-23",6.96
"94","2014-05-27",8.38
"95","2014-05-28",7.92
"96","2014-05-29",7.6
"97","2014-05-30",7.16
"98","2014-06-02",7.65
"99","2014-06-03",7.26
"100","2014-06-04",6.99
"101","2014-06-05",6.75
"102","2014-06-06",6.69
"103","2014-06-09",6.77
"104","2014-06-10",6.67
