"","date","CFB"
"1","2019-08-15",14.68
"2","2019-08-16",14.65
"3","2019-08-19",14.69
"4","2019-08-20",14.56
"5","2019-08-21",14.5
"6","2019-08-22",14.63
"7","2019-08-23",14.34
"8","2019-08-26",14.5
"9","2019-08-27",14.55
"10","2019-08-28",14.62
"11","2019-08-29",14.5
"12","2019-08-30",14.55
"13","2019-09-03",14.53
"14","2019-09-04",14.56
"15","2019-09-05",14.6
"16","2019-09-06",14.5
"17","2019-09-09",14.52
"18","2019-09-10",14.51
"19","2019-09-11",14.59
"20","2019-09-12",14.5
"21","2019-09-13",14.56
"22","2019-09-16",14.36
"23","2019-09-17",14.05
"24","2019-09-18",14.18
"25","2019-09-19",14.32
"26","2019-09-20",14.27
"27","2019-09-23",14.12
"28","2019-09-24",14.05
"29","2019-09-25",14.06
"30","2019-09-26",14.02
"31","2019-09-27",13.85
"32","2019-09-30",14.305
"33","2019-10-01",14.06
"34","2019-10-02",13.84
"35","2019-10-03",13.36
"36","2019-10-04",13.41
"37","2019-10-07",13.36
"38","2019-10-08",13.05
"39","2019-10-09",12.7
"40","2019-10-10",12.74
"41","2019-10-11",12.85
"42","2019-10-14",12.84
"43","2019-10-15",12.89
"44","2019-10-16",12.53
"45","2019-10-17",12.34
"46","2019-10-18",12.38
"47","2019-10-21",12.58
"48","2019-10-22",12.96
"49","2019-10-23",12.56
"50","2019-10-24",12.6
"51","2019-10-25",12.47
"52","2019-10-28",12.68
"53","2019-10-29",12.98
"54","2019-10-30",13.15
"55","2019-10-31",13.37
"56","2019-11-01",13.82
"57","2019-11-04",13.88
"58","2019-11-05",14.04
"59","2019-11-06",13.75
"60","2019-11-07",13.75
"61","2019-11-08",13.84
"62","2019-11-11",13.81
"63","2019-11-12",13.87
"64","2019-11-13",13.55
"65","2019-11-14",13.12
"66","2019-11-15",13.15
"67","2019-11-18",13.17
"68","2019-11-19",13.6
"69","2019-11-20",13.59
"70","2019-11-21",13.57
"71","2019-11-22",13.43
"72","2019-11-25",13.33
"73","2019-11-26",13.67
"74","2019-11-27",13.59
"75","2019-11-29",13.26
"76","2019-12-02",13.46
"77","2019-12-03",13.61
"78","2019-12-04",13.55
"79","2019-12-05",13.77
"80","2019-12-06",13.8
"81","2019-12-09",13.73
"82","2019-12-10",14.18
"83","2019-12-11",14.04
"84","2019-12-12",14
"85","2019-12-13",14.02
"86","2019-12-16",14.08
"87","2019-12-17",14.18
"88","2019-12-18",13.99
"89","2019-12-19",14.08
"90","2019-12-20",14.1
"91","2019-12-23",14.07
"92","2019-12-24",14
"93","2019-12-26",14.13
"94","2019-12-27",14.35
"95","2019-12-30",14.33
"96","2019-12-31",14.42
"97","2020-01-02",14.36
"98","2020-01-03",14.39
"99","2020-01-06",14.21
"100","2020-01-07",13.72
"101","2020-01-08",14.3
"102","2020-01-09",14.25
"103","2020-01-10",13.61
"104","2020-01-13",13.56
"105","2020-01-14",13.43
"106","2020-01-15",13.49
"107","2020-01-16",13.5
"108","2020-01-17",13.08
"109","2020-01-21",13.14
"110","2020-01-22",13.52
"111","2020-01-23",13.44
"112","2020-01-24",13.53
"113","2020-01-27",13.2
"114","2020-01-28",13.39
"115","2020-01-29",13.61
"116","2020-01-30",13.88
"117","2020-01-31",13.65
"118","2020-02-03",13.62
"119","2020-02-04",13.18
"120","2020-02-05",13.46
"121","2020-02-06",13.63
"122","2020-02-07",13.65
"123","2020-02-10",13.99
"124","2020-02-11",13.47
"125","2020-02-12",13.5
"126","2020-02-13",13.81
"127","2020-02-14",13.17
"128","2020-02-18",13.44
"129","2020-02-19",13.93
"130","2020-02-20",14.11
"131","2020-02-21",14.4
"132","2020-02-24",13.95
"133","2020-02-25",13.25
"134","2020-02-26",13.45
"135","2020-02-27",13.55
"136","2020-02-28",13.25
"137","2020-03-02",13.82
"138","2020-03-03",13.1
"139","2020-03-04",12.88
"140","2020-03-05",12.63
"141","2020-03-06",12
"142","2020-03-09",9.83
"143","2020-03-10",9.41
"144","2020-03-11",8.89
"145","2020-03-12",8.11
"146","2020-03-13",7
"147","2020-03-16",5.74
"148","2020-03-17",6.65
"149","2020-03-18",5.94
"150","2020-03-19",7.65
"151","2020-03-20",9.22
"152","2020-03-23",9.32
"153","2020-03-24",8.27
"154","2020-03-25",8.26
"155","2020-03-26",8.36
"156","2020-03-27",7.85
"157","2020-03-30",8.09
"158","2020-03-31",8.4
"159","2020-04-01",7.74
"160","2020-04-02",8.38
"161","2020-04-03",8.68
"162","2020-04-06",8.86
"163","2020-04-07",8.17
"164","2020-04-08",8.91
"165","2020-04-09",10.01
"166","2020-04-13",9.23
"167","2020-04-14",8.96
"168","2020-04-15",7.94
"169","2020-04-16",7.61
"170","2020-04-17",8.46
"171","2020-04-20",8.52
"172","2020-04-21",8.49
"173","2020-04-22",8.08
"174","2020-04-23",8.33
"175","2020-04-24",8.39
"176","2020-04-27",8.94
"177","2020-04-28",9.17
"178","2020-04-29",10.29
"179","2020-04-30",9.67
"180","2020-05-01",9.24
"181","2020-05-04",9.41
"182","2020-05-05",8.67
"183","2020-05-06",8.18
"184","2020-05-07",8.76
"185","2020-05-08",9.46
"186","2020-05-11",8.66
"187","2020-05-12",8.21
"188","2020-05-13",8.24
"189","2020-05-14",8.28
"190","2020-05-15",8.33
"191","2020-05-18",9.51
"192","2020-05-19",8.355
"193","2020-05-20",9.3
"194","2020-05-21",9.27
"195","2020-05-22",9.42
"196","2020-05-26",9.845
"197","2020-05-27",9.96
"198","2020-05-28",9.47
"199","2020-05-29",9.73
"200","2020-06-01",9.35
"201","2020-06-02",9.37
"202","2020-06-03",9.49
"203","2020-06-04",9.57
"204","2020-06-05",10.25
"205","2020-06-08",10.71
"206","2020-06-09",10.54
"207","2020-06-10",9.68
"208","2020-06-11",8.73
"209","2020-06-12",8.9
"210","2020-06-15",9.83
"211","2020-06-16",10.02
"212","2020-06-17",9.32
"213","2020-06-18",9.89
"214","2020-06-19",10.15
"215","2020-06-22",9.97
"216","2020-06-23",9.85
"217","2020-06-24",9.03
"218","2020-06-25",9.56
"219","2020-06-26",9.41
"220","2020-06-29",9.82
"221","2020-06-30",9.78
"222","2020-07-01",9.53
"223","2020-07-02",9.42
"224","2020-07-06",9.5
"225","2020-07-07",9.05
"226","2020-07-08",9.22
"227","2020-07-09",8.95
"228","2020-07-10",9.35
"229","2020-07-13",9.43
"230","2020-07-14",9.53
"231","2020-07-15",10.02
"232","2020-07-16",9.83
"233","2020-07-17",9.35
"234","2020-07-20",9.48
"235","2020-07-21",10.09
"236","2020-07-22",9.55
"237","2020-07-23",10
"238","2020-07-24",9.71
"239","2020-07-27",9.54
