"","date","ABEV"
"1","2007-01-03",1.746
"2","2007-01-04",1.7492
"3","2007-01-05",1.7092
"4","2007-01-08",1.7308
"5","2007-01-09",1.714
"6","2007-01-10",1.7068
"7","2007-01-11",1.7528
"8","2007-01-12",1.7992
"9","2007-01-16",1.7924
"10","2007-01-17",1.808
"11","2007-01-18",1.8152
"12","2007-01-19",1.8092
"13","2007-01-22",1.8216
"14","2007-01-23",1.8432
"15","2007-01-24",1.8616
"16","2007-01-25",1.8168
"17","2007-01-26",1.8096
"18","2007-01-29",1.7796
"19","2007-01-30",1.8088
"20","2007-01-31",1.834
"21","2007-02-01",1.8676
"22","2007-02-02",1.8528
"23","2007-02-05",1.8588
"24","2007-02-06",1.8596
"25","2007-02-07",1.854
"26","2007-02-08",1.8284
"27","2007-02-09",1.8312
"28","2007-02-12",1.8268
"29","2007-02-13",1.8524
"30","2007-02-14",1.9004
"31","2007-02-15",1.938
"32","2007-02-16",1.968
"33","2007-02-20",1.9
"34","2007-02-21",1.934
"35","2007-02-22",1.9552
"36","2007-02-23",1.9732
"37","2007-02-26",1.9512
"38","2007-02-27",1.8376
"39","2007-02-28",1.8392
"40","2007-03-01",1.864
"41","2007-03-02",1.856
"42","2007-03-05",1.8352
"43","2007-03-06",1.9372
"44","2007-03-07",1.92
"45","2007-03-08",1.9372
"46","2007-03-09",1.9724
"47","2007-03-12",1.98
"48","2007-03-13",1.9468
"49","2007-03-14",1.968
"50","2007-03-15",1.9692
"51","2007-03-16",1.9444
"52","2007-03-19",1.9744
"53","2007-03-20",1.9904
"54","2007-03-21",2.0444
"55","2007-03-22",2.0344
"56","2007-03-23",2.0376
"57","2007-03-26",2.0484
"58","2007-03-27",2.0396
"59","2007-03-28",2.0244
"60","2007-03-29",2.07
"61","2007-03-30",2.086
"62","2007-04-02",2.0976
"63","2007-04-03",2.1532
"64","2007-04-04",2.144
"65","2007-04-05",2.1676
"66","2007-04-09",2.1936
"67","2007-04-10",2.1764
"68","2007-04-11",2.1656
"69","2007-04-12",2.1816
"70","2007-04-13",2.2008
"71","2007-04-16",2.2344
"72","2007-04-17",2.2284
"73","2007-04-18",2.234
"74","2007-04-19",2.2444
"75","2007-04-20",2.2876
"76","2007-04-23",2.2776
"77","2007-04-24",2.304
"78","2007-04-25",2.3196
"79","2007-04-26",2.3036
"80","2007-04-27",2.3104
"81","2007-04-30",2.2848
"82","2007-05-01",2.292
"83","2007-05-02",2.3232
"84","2007-05-03",2.396
"85","2007-05-04",2.3796
"86","2007-05-07",2.3612
"87","2007-05-08",2.376
"88","2007-05-09",2.436
"89","2007-05-10",2.3752
"90","2007-05-11",2.3784
"91","2007-05-14",2.39
"92","2007-05-15",2.4452
"93","2007-05-16",2.546
"94","2007-05-17",2.6
"95","2007-05-18",2.646
"96","2007-05-21",2.7144
"97","2007-05-22",2.6776
"98","2007-05-23",2.6556
"99","2007-05-24",2.5728
"100","2007-05-25",2.5832
"101","2007-05-29",2.6284
"102","2007-05-30",2.64
"103","2007-05-31",2.672
"104","2007-06-01",2.81
