"","date","BLKB"
"1","2007-01-03",26.379999
"2","2007-01-04",26.35
"3","2007-01-05",25.77
"4","2007-01-08",25.84
"5","2007-01-09",25.110001
"6","2007-01-10",24.9
"7","2007-01-11",25
"8","2007-01-12",25
"9","2007-01-16",24.9
"10","2007-01-17",22.450001
"11","2007-01-18",23.360001
"12","2007-01-19",23.24
"13","2007-01-22",23.32
"14","2007-01-23",23.58
"15","2007-01-24",23.99
"16","2007-01-25",23
"17","2007-01-26",22.99
"18","2007-01-29",23.219999
"19","2007-01-30",23.450001
"20","2007-01-31",23.969999
"21","2007-02-01",23.639999
"22","2007-02-02",23.43
"23","2007-02-05",23.23
"24","2007-02-06",22.540001
"25","2007-02-07",23.15
"26","2007-02-08",23.85
"27","2007-02-09",23.190001
"28","2007-02-12",23.540001
"29","2007-02-13",23.719999
"30","2007-02-14",24.049999
"31","2007-02-15",23.66
"32","2007-02-16",23.4
"33","2007-02-20",24.09
"34","2007-02-21",23.690001
"35","2007-02-22",23.43
"36","2007-02-23",23.17
"37","2007-02-26",23.309999
"38","2007-02-27",22.889999
"39","2007-02-28",22.879999
"40","2007-03-01",23.059999
"41","2007-03-02",22.5
"42","2007-03-05",22.200001
"43","2007-03-06",22.690001
"44","2007-03-07",22.66
"45","2007-03-08",22.66
"46","2007-03-09",22.719999
"47","2007-03-12",22.67
"48","2007-03-13",22.469999
"49","2007-03-14",22.66
"50","2007-03-15",22.790001
"51","2007-03-16",22.200001
"52","2007-03-19",22.15
"53","2007-03-20",22.540001
"54","2007-03-21",23.52
"55","2007-03-22",23.120001
"56","2007-03-23",22.98
"57","2007-03-26",22.969999
"58","2007-03-27",22.32
"59","2007-03-28",24.209999
"60","2007-03-29",24.610001
"61","2007-03-30",24.42
"62","2007-04-02",23.389999
"63","2007-04-03",23.59
"64","2007-04-04",22.93
"65","2007-04-05",23.209999
"66","2007-04-09",23.17
"67","2007-04-10",23.16
"68","2007-04-11",22.92
"69","2007-04-12",22.91
"70","2007-04-13",22.690001
"71","2007-04-16",23.35
"72","2007-04-17",23.459999
"73","2007-04-18",23.209999
"74","2007-04-19",22.92
"75","2007-04-20",22.92
"76","2007-04-23",22.889999
"77","2007-04-24",22.6
