"","date","UNM"
"1","2007-01-03",20.790001
"2","2007-01-04",20.9
"3","2007-01-05",20.620001
"4","2007-01-08",20.65
"5","2007-01-09",20.5
"6","2007-01-10",20.34
"7","2007-01-11",20.48
"8","2007-01-12",20.459999
"9","2007-01-16",20.469999
"10","2007-01-17",20.25
"11","2007-01-18",20.26
"12","2007-01-19",20.219999
"13","2007-01-22",20.1
"14","2007-01-23",20.219999
"15","2007-01-24",20.41
"16","2007-01-25",20.08
"17","2007-01-26",19.940001
"18","2007-01-29",19.93
"19","2007-01-30",22.02
"20","2007-01-31",22
"21","2007-02-01",22.030001
"22","2007-02-02",22.01
"23","2007-02-05",21.969999
"24","2007-02-06",22.35
"25","2007-02-07",22.620001
"26","2007-02-08",22.02
"27","2007-02-09",21.76
"28","2007-02-12",21.84
"29","2007-02-13",22.059999
"30","2007-02-14",22.129999
"31","2007-02-15",21.940001
"32","2007-02-16",21.93
"33","2007-02-20",21.860001
"34","2007-02-21",21.780001
"35","2007-02-22",21.75
"36","2007-02-23",21.709999
"37","2007-02-26",21.629999
"38","2007-02-27",20.969999
"39","2007-02-28",21.41
"40","2007-03-01",21.389999
"41","2007-03-02",21.200001
"42","2007-03-05",21.1
"43","2007-03-06",21.42
"44","2007-03-07",21.51
"45","2007-03-08",21.83
"46","2007-03-09",21.93
"47","2007-03-12",22.35
"48","2007-03-13",21.82
"49","2007-03-14",21.84
"50","2007-03-15",22.27
"51","2007-03-16",22.129999
"52","2007-03-19",22.5
"53","2007-03-20",22.68
"54","2007-03-21",23.18
"55","2007-03-22",23.129999
"56","2007-03-23",23.27
"57","2007-03-26",23.27
"58","2007-03-27",22.969999
"59","2007-03-28",22.530001
"60","2007-03-29",22.93
"61","2007-03-30",23.030001
"62","2007-04-02",23.389999
"63","2007-04-03",24.08
"64","2007-04-04",24.08
"65","2007-04-05",23.75
"66","2007-04-09",23.98
"67","2007-04-10",23.98
"68","2007-04-11",24.02
"69","2007-04-12",24.110001
"70","2007-04-13",24.26
"71","2007-04-16",24.5
"72","2007-04-17",24.85
"73","2007-04-18",24.9
"74","2007-04-19",24.77
"75","2007-04-20",25.26
"76","2007-04-23",24.969999
"77","2007-04-24",24.860001
"78","2007-04-25",25.440001
"79","2007-04-26",24.9
"80","2007-04-27",24.940001
"81","2007-04-30",24.879999
"82","2007-05-01",24.73
"83","2007-05-02",24.92
"84","2007-05-03",27.33
"85","2007-05-04",27.57
"86","2007-05-07",27.360001
"87","2007-05-08",27.17
"88","2007-05-09",27.02
"89","2007-05-10",26.41
"90","2007-05-11",26.870001
"91","2007-05-14",26.74
"92","2007-05-15",26.690001
"93","2007-05-16",27.110001
"94","2007-05-17",27.35
"95","2007-05-18",27.18
"96","2007-05-21",27.32
"97","2007-05-22",27.299999
"98","2007-05-23",26.889999
"99","2007-05-24",26.66
"100","2007-05-25",26.49
"101","2007-05-29",26.01
"102","2007-05-30",26.450001
"103","2007-05-31",26.540001
"104","2007-06-01",26.639999
"105","2007-06-04",26.610001
"106","2007-06-05",26.360001
"107","2007-06-06",25.85
