"","date","SOS"
"1","2017-04-28",64
"2","2017-05-01",76.5
"3","2017-05-02",78.699997
"4","2017-05-03",78.699997
"5","2017-05-04",78.099998
"6","2017-05-05",75.699997
"7","2017-05-08",75.699997
"8","2017-05-09",80.199997
"9","2017-05-10",77.599998
"10","2017-05-11",79.400002
"11","2017-05-12",78.800003
"12","2017-05-15",78.599998
"13","2017-05-16",75.5
"14","2017-05-17",75.300003
"15","2017-05-18",73.5
"16","2017-05-19",72.400002
"17","2017-05-22",74.300003
"18","2017-05-23",73.900002
"19","2017-05-24",72.800003
"20","2017-05-25",70.599998
"21","2017-05-26",70.699997
"22","2017-05-30",70.800003
"23","2017-05-31",70.800003
"24","2017-06-01",68.800003
"25","2017-06-02",64
"26","2017-06-05",63.900002
"27","2017-06-06",61.799999
"28","2017-06-07",68.199997
"29","2017-06-08",70
"30","2017-06-09",68.699997
"31","2017-06-12",68.900002
"32","2017-06-13",69.300003
"33","2017-06-14",69.5
"34","2017-06-15",69.900002
"35","2017-06-16",67.900002
"36","2017-06-19",67.400002
"37","2017-06-20",65.800003
"38","2017-06-21",65.900002
"39","2017-06-22",61.799999
"40","2017-06-23",63.299999
"41","2017-06-26",61.599998
"42","2017-06-27",60.099998
"43","2017-06-28",59.5
"44","2017-06-29",58.200001
"45","2017-06-30",57.200001
"46","2017-07-03",58
"47","2017-07-05",57.599998
"48","2017-07-06",59.299999
"49","2017-07-07",59.299999
"50","2017-07-10",59.299999
"51","2017-07-11",60
"52","2017-07-12",60.700001
"53","2017-07-13",63
"54","2017-07-14",71.5
"55","2017-07-17",69.400002
"56","2017-07-18",69.900002
"57","2017-07-19",69.599998
"58","2017-07-20",69.5
"59","2017-07-21",68
"60","2017-07-24",68.300003
"61","2017-07-25",67.900002
"62","2017-07-26",67.900002
"63","2017-07-27",67.5
"64","2017-07-28",66.599998
"65","2017-07-31",70
"66","2017-08-01",70
"67","2017-08-02",68.699997
"68","2017-08-03",68.599998
"69","2017-08-04",69.300003
"70","2017-08-07",69.599998
"71","2017-08-08",69.900002
"72","2017-08-09",69.699997
"73","2017-08-10",69
"74","2017-08-11",68.599998
"75","2017-08-14",68.900002
"76","2017-08-15",68.900002
"77","2017-08-16",68.900002
"78","2017-08-17",65.5
"79","2017-08-18",63.5
"80","2017-08-21",60.700001
"81","2017-08-22",61
"82","2017-08-23",61
"83","2017-08-24",61.799999
"84","2017-08-25",63.099998
"85","2017-08-28",61.099998
"86","2017-08-29",63.799999
"87","2017-08-30",64.199997
"88","2017-08-31",64.699997
"89","2017-09-01",68.199997
"90","2017-09-05",67.099998
"91","2017-09-06",65.099998
"92","2017-09-07",64.800003
"93","2017-09-08",61.599998
"94","2017-09-11",62.700001
"95","2017-09-12",61.900002
"96","2017-09-13",63.099998
"97","2017-09-14",61.799999
"98","2017-09-15",61.299999
"99","2017-09-18",61.299999
"100","2017-09-19",61
"101","2017-09-20",61
"102","2017-09-21",64
"103","2017-09-22",70.599998
"104","2017-09-25",67.5
"105","2017-09-26",67.199997
"106","2017-09-27",66.199997
"107","2017-09-28",66.400002
"108","2017-09-29",65.900002
"109","2017-10-02",67.050003
"110","2017-10-03",71.900002
"111","2017-10-04",75.699997
"112","2017-10-05",74.199997
"113","2017-10-06",73.5
"114","2017-10-09",77.400002
"115","2017-10-10",78.599998
"116","2017-10-11",104.599998
"117","2017-10-12",99
"118","2017-10-13",113.199997
"119","2017-10-16",109.099998
"120","2017-10-17",114.300003
"121","2017-10-18",105
"122","2017-10-19",102.199997
"123","2017-10-20",98.800003
"124","2017-10-23",90.599998
"125","2017-10-24",86.900002
"126","2017-10-25",78.5
"127","2017-10-26",78.199997
"128","2017-10-27",78.900002
"129","2017-10-30",84
"130","2017-10-31",80.800003
"131","2017-11-01",79.900002
"132","2017-11-02",79.199997
"133","2017-11-03",77.900002
"134","2017-11-06",74.5
"135","2017-11-07",73.5
"136","2017-11-08",73.900002
"137","2017-11-09",84.300003
"138","2017-11-10",93.400002
"139","2017-11-13",93.400002
"140","2017-11-14",99.300003
"141","2017-11-15",100.300003
"142","2017-11-16",95.300003
"143","2017-11-17",90.599998
"144","2017-11-20",91.300003
"145","2017-11-21",94.300003
"146","2017-11-22",88.599998
"147","2017-11-24",76
"148","2017-11-27",79.400002
"149","2017-11-28",78.400002
"150","2017-11-29",76.5
"151","2017-11-30",74.199997
"152","2017-12-01",60.200001
"153","2017-12-04",52
"154","2017-12-05",51.900002
"155","2017-12-06",53.400002
"156","2017-12-07",51.200001
"157","2017-12-08",60
"158","2017-12-11",59.799999
"159","2017-12-12",61.200001
"160","2017-12-13",65
"161","2017-12-14",63.5
"162","2017-12-15",61
"163","2017-12-18",60.099998
"164","2017-12-19",58.599998
"165","2017-12-20",56.900002
