"","date","MRLN"
"1","2007-01-03",24.200001
"2","2007-01-04",24.33
"3","2007-01-05",23.559999
"4","2007-01-08",23.16
"5","2007-01-09",23.280001
"6","2007-01-10",23.17
"7","2007-01-11",23.35
"8","2007-01-12",23.67
"9","2007-01-16",23.67
"10","2007-01-17",23.940001
"11","2007-01-18",23.290001
"12","2007-01-19",22.99
"13","2007-01-22",22.549999
"14","2007-01-23",22.309999
"15","2007-01-24",22.24
"16","2007-01-25",22.09
"17","2007-01-26",22.280001
"18","2007-01-29",23.209999
"19","2007-01-30",23.34
"20","2007-01-31",23.43
"21","2007-02-01",23.42
"22","2007-02-02",23.59
"23","2007-02-05",23.379999
"24","2007-02-06",23.209999
"25","2007-02-07",23.200001
"26","2007-02-08",23.049999
"27","2007-02-09",22.52
"28","2007-02-12",22.299999
"29","2007-02-13",22
"30","2007-02-14",22.09
"31","2007-02-15",21.83
"32","2007-02-16",22.860001
"33","2007-02-20",22.92
"34","2007-02-21",23
"35","2007-02-22",22.879999
"36","2007-02-23",22.93
"37","2007-02-26",22.9
"38","2007-02-27",22.860001
"39","2007-02-28",22.93
"40","2007-03-01",22.26
"41","2007-03-02",21.530001
"42","2007-03-05",21.860001
"43","2007-03-06",21.99
"44","2007-03-07",21.860001
"45","2007-03-08",21.610001
"46","2007-03-09",21.6
"47","2007-03-12",21.719999
"48","2007-03-13",20.65
"49","2007-03-14",20.620001
"50","2007-03-15",21.09
"51","2007-03-16",20.77
"52","2007-03-19",20.879999
"53","2007-03-20",21.42
"54","2007-03-21",22.08
"55","2007-03-22",21.889999
"56","2007-03-23",22
"57","2007-03-26",21.68
"58","2007-03-27",21.1
"59","2007-03-28",21.02
"60","2007-03-29",21.43
"61","2007-03-30",21.879999
"62","2007-04-02",21.809999
"63","2007-04-03",22.35
"64","2007-04-04",21.790001
"65","2007-04-05",21.639999
"66","2007-04-09",21.24
"67","2007-04-10",21.33
"68","2007-04-11",21.17
"69","2007-04-12",21.15
"70","2007-04-13",21.18
"71","2007-04-16",21.860001
"72","2007-04-17",21.74
"73","2007-04-18",22.09
"74","2007-04-19",22.200001
"75","2007-04-20",22.09
"76","2007-04-23",21.639999
"77","2007-04-24",21.48
"78","2007-04-25",22.030001
"79","2007-04-26",22.52
"80","2007-04-27",23.18
"81","2007-04-30",23.41
"82","2007-05-01",23.91
"83","2007-05-02",23.99
"84","2007-05-03",23.940001
"85","2007-05-04",20.91
"86","2007-05-07",20.67
"87","2007-05-08",20.690001
"88","2007-05-09",19.92
"89","2007-05-10",19.629999
"90","2007-05-11",19.6
"91","2007-05-14",19.1
"92","2007-05-15",18.780001
"93","2007-05-16",19.32
