"","date","CRY"
"1","2007-01-03",7.64
"2","2007-01-04",7.47
"3","2007-01-05",7.4
"4","2007-01-08",7.11
"5","2007-01-09",7.1
"6","2007-01-10",7.24
"7","2007-01-11",7.24
"8","2007-01-12",7.36
"9","2007-01-16",7.57
"10","2007-01-17",7.7
"11","2007-01-18",7.72
"12","2007-01-19",7.98
"13","2007-01-22",8.18
"14","2007-01-23",8.47
"15","2007-01-24",8.45
"16","2007-01-25",8.42
"17","2007-01-26",8.27
"18","2007-01-29",8.25
"19","2007-01-30",8.31
"20","2007-01-31",8.41
"21","2007-02-01",8.45
"22","2007-02-02",8.78
"23","2007-02-05",9
"24","2007-02-06",8.89
"25","2007-02-07",9.28
"26","2007-02-08",9.3
"27","2007-02-09",9.11
"28","2007-02-12",8.85
"29","2007-02-13",8.57
"30","2007-02-14",9.02
"31","2007-02-15",9.35
"32","2007-02-16",9.15
"33","2007-02-20",8.9
"34","2007-02-21",8.96
"35","2007-02-22",8.86
"36","2007-02-23",8.66
"37","2007-02-26",8.2
"38","2007-02-27",7.57
"39","2007-02-28",7.87
"40","2007-03-01",7.78
"41","2007-03-02",7.82
"42","2007-03-05",7.84
"43","2007-03-06",7.67
"44","2007-03-07",7.67
"45","2007-03-08",7.79
"46","2007-03-09",7.76
"47","2007-03-12",7.82
"48","2007-03-13",7.65
"49","2007-03-14",7.7
"50","2007-03-15",7.82
"51","2007-03-16",7.71
"52","2007-03-19",8.1
"53","2007-03-20",8.5
"54","2007-03-21",8.43
"55","2007-03-22",8.51
"56","2007-03-23",8.69
"57","2007-03-26",8.52
"58","2007-03-27",8.29
"59","2007-03-28",8.39
"60","2007-03-29",8.4
"61","2007-03-30",8.41
"62","2007-04-02",8.78
"63","2007-04-03",9
"64","2007-04-04",8.66
"65","2007-04-05",8.73
"66","2007-04-09",8.9
"67","2007-04-10",9.16
"68","2007-04-11",8.98
"69","2007-04-12",9.23
"70","2007-04-13",9.23
"71","2007-04-16",9.44
"72","2007-04-17",9.31
"73","2007-04-18",9.57
"74","2007-04-19",9.61
"75","2007-04-20",9.62
"76","2007-04-23",9.85
"77","2007-04-24",9.93
"78","2007-04-25",9.89
"79","2007-04-26",10.06
"80","2007-04-27",10.04
"81","2007-04-30",9.85
"82","2007-05-01",9.88
"83","2007-05-02",10.72
"84","2007-05-03",10.7
"85","2007-05-04",10.57
"86","2007-05-07",12.27
"87","2007-05-08",12.58
"88","2007-05-09",13.21
"89","2007-05-10",12.9
"90","2007-05-11",12.7
"91","2007-05-14",12.35
"92","2007-05-15",12.85
"93","2007-05-16",12.89
"94","2007-05-17",12.91
"95","2007-05-18",13.09
"96","2007-05-21",14.25
"97","2007-05-22",14.06
"98","2007-05-23",14.1
"99","2007-05-24",13.75
"100","2007-05-25",14.15
"101","2007-05-29",14.26
"102","2007-05-30",14.81
"103","2007-05-31",14.6
"104","2007-06-01",14.7
"105","2007-06-04",14.5
"106","2007-06-05",14.53
"107","2007-06-06",14.5
"108","2007-06-07",14.39
"109","2007-06-08",14.34
"110","2007-06-11",14.27
"111","2007-06-12",13.65
"112","2007-06-13",13.65
"113","2007-06-14",14.18
"114","2007-06-15",14.39
"115","2007-06-18",14.33
"116","2007-06-19",14.15
"117","2007-06-20",13.64
"118","2007-06-21",13.41
"119","2007-06-22",12.88
"120","2007-06-25",12.77
"121","2007-06-26",12.68
"122","2007-06-27",13.31
"123","2007-06-28",13.08
"124","2007-06-29",13.01
"125","2007-07-02",13.25
"126","2007-07-03",13.51
"127","2007-07-05",13.82
"128","2007-07-06",13.8
"129","2007-07-09",13.5
"130","2007-07-10",13.1
"131","2007-07-11",12.31
"132","2007-07-12",12.44
"133","2007-07-13",11.86
"134","2007-07-16",11.01
"135","2007-07-17",10.89
"136","2007-07-18",10.44
"137","2007-07-19",10.4
"138","2007-07-20",9.99
"139","2007-07-23",9.8
"140","2007-07-24",9.63
"141","2007-07-25",9.43
"142","2007-07-26",8.83
"143","2007-07-27",9.11
"144","2007-07-30",9.26
"145","2007-07-31",9.55
"146","2007-08-01",9.22
"147","2007-08-02",9.06
"148","2007-08-03",8.89
"149","2007-08-06",9.4
"150","2007-08-07",9.02
"151","2007-08-08",8.68
"152","2007-08-09",7.62
"153","2007-08-10",8.65
"154","2007-08-13",9.09
"155","2007-08-14",9.22
"156","2007-08-15",9.02
"157","2007-08-16",9.27
"158","2007-08-17",8.98
"159","2007-08-20",8.89
"160","2007-08-21",9.07
"161","2007-08-22",9.08
"162","2007-08-23",9.19
