"","date","CCXI"
"1","2012-02-08",11
"2","2012-02-09",10.5
"3","2012-02-10",11.13
"4","2012-02-13",11
"5","2012-02-14",11.01
"6","2012-02-15",11
"7","2012-02-16",10.76
"8","2012-02-17",10.45
"9","2012-02-21",11
"10","2012-02-22",11.5
"11","2012-02-23",10.81
"12","2012-02-24",10.3
"13","2012-02-27",10.27
"14","2012-02-28",10.2
"15","2012-02-29",10.2
"16","2012-03-01",10.15
"17","2012-03-02",10.34
"18","2012-03-05",10.59
"19","2012-03-06",10.49
"20","2012-03-07",10.77
"21","2012-03-08",10.95
"22","2012-03-09",11.2
"23","2012-03-12",10.87
"24","2012-03-13",10.88
"25","2012-03-14",10.38
"26","2012-03-15",10.27
"27","2012-03-16",10.17
"28","2012-03-19",9.87
"29","2012-03-20",10
"30","2012-03-21",9.98
"31","2012-03-22",10.46
"32","2012-03-23",10.57
"33","2012-03-26",11.14
"34","2012-03-27",11.33
"35","2012-03-28",10.72
"36","2012-03-29",10.43
"37","2012-03-30",10.66
"38","2012-04-02",11.75
"39","2012-04-03",11.43
"40","2012-04-04",11.26
"41","2012-04-05",11.15
"42","2012-04-09",11.09
"43","2012-04-10",12.34
"44","2012-04-11",13.35
"45","2012-04-12",14.19
"46","2012-04-13",14.29
"47","2012-04-16",14.79
"48","2012-04-17",16.459999
"49","2012-04-18",16.370001
"50","2012-04-19",16.6
"51","2012-04-20",17.290001
"52","2012-04-23",17
"53","2012-04-24",17.379999
"54","2012-04-25",15.9
"55","2012-04-26",16.540001
"56","2012-04-27",16.620001
"57","2012-04-30",17.200001
"58","2012-05-01",15.9
"59","2012-05-02",15.31
"60","2012-05-03",12.55
"61","2012-05-04",11.58
"62","2012-05-07",11.7
"63","2012-05-08",10.9
"64","2012-05-09",10.79
"65","2012-05-10",11.09
"66","2012-05-11",11.25
"67","2012-05-14",11.62
"68","2012-05-15",11.91
"69","2012-05-16",12.47
"70","2012-05-17",12.55
"71","2012-05-18",12.07
"72","2012-05-21",12.5
"73","2012-05-22",12.03
"74","2012-05-23",12.03
"75","2012-05-24",12
"76","2012-05-25",11.9
"77","2012-05-29",12.11
"78","2012-05-30",12.2
"79","2012-05-31",14.02
"80","2012-06-01",12.95
"81","2012-06-04",12.55
"82","2012-06-05",12.62
"83","2012-06-06",12.81
"84","2012-06-07",12.23
"85","2012-06-08",12.39
"86","2012-06-11",12.63
"87","2012-06-12",12.48
"88","2012-06-13",11.79
"89","2012-06-14",12.33
"90","2012-06-15",12.11
"91","2012-06-18",12.4
"92","2012-06-19",12.7
"93","2012-06-20",13.21
"94","2012-06-21",12.89
"95","2012-06-22",14.42
"96","2012-06-25",13.94
"97","2012-06-26",13.98
"98","2012-06-27",13.67
"99","2012-06-28",13.73
"100","2012-06-29",15
"101","2012-07-02",16.24
"102","2012-07-03",16.91
"103","2012-07-05",16.43
"104","2012-07-06",16.360001
"105","2012-07-09",15.82
"106","2012-07-10",15.02
"107","2012-07-11",14.53
"108","2012-07-12",14.52
"109","2012-07-13",14.6
"110","2012-07-16",14.68
"111","2012-07-17",15
"112","2012-07-18",15
"113","2012-07-19",14.53
"114","2012-07-20",15.34
"115","2012-07-23",14.6
"116","2012-07-24",14.31
"117","2012-07-25",14.75
"118","2012-07-26",14.86
"119","2012-07-27",14.64
"120","2012-07-30",15.07
"121","2012-07-31",14.49
"122","2012-08-01",14
"123","2012-08-02",12.67
"124","2012-08-03",12.58
"125","2012-08-06",14.54
"126","2012-08-07",13.98
"127","2012-08-08",13.68
"128","2012-08-09",12.33
"129","2012-08-10",11.02
"130","2012-08-13",11.01
"131","2012-08-14",10.5
"132","2012-08-15",10.3
"133","2012-08-16",9.97
"134","2012-08-17",10.28
"135","2012-08-20",10.92
"136","2012-08-21",10.9
"137","2012-08-22",10.67
"138","2012-08-23",10.69
"139","2012-08-24",10.43
"140","2012-08-27",10.4
"141","2012-08-28",10.36
"142","2012-08-29",10.4
"143","2012-08-30",10.31
"144","2012-08-31",10.5
"145","2012-09-04",10.94
"146","2012-09-05",10.65
"147","2012-09-06",11
"148","2012-09-07",11.6
"149","2012-09-10",11.88
"150","2012-09-11",11.76
"151","2012-09-12",11.78
"152","2012-09-13",12.15
"153","2012-09-14",12.34
"154","2012-09-17",11.67
"155","2012-09-18",11.77
"156","2012-09-19",11.64
"157","2012-09-20",11.88
"158","2012-09-21",11.85
"159","2012-09-24",11.92
"160","2012-09-25",11.86
"161","2012-09-26",11.8
"162","2012-09-27",11.69
"163","2012-09-28",11.63
"164","2012-10-01",11.9
"165","2012-10-02",11.4
"166","2012-10-03",11.32
"167","2012-10-04",11.52
"168","2012-10-05",11.35
"169","2012-10-08",11.05
"170","2012-10-09",11.02
"171","2012-10-10",10.93
"172","2012-10-11",10.9
"173","2012-10-12",10.8
"174","2012-10-15",10.45
"175","2012-10-16",10.25
"176","2012-10-17",10.32
"177","2012-10-18",10.96
"178","2012-10-19",11
"179","2012-10-22",10.82
"180","2012-10-23",10.96
"181","2012-10-24",11.17
"182","2012-10-25",11.29
"183","2012-10-26",10.77
"184","2012-10-31",11.29
"185","2012-11-01",11.3
"186","2012-11-02",11.56
"187","2012-11-05",11.57
"188","2012-11-06",12.5
"189","2012-11-07",12.11
"190","2012-11-08",12.29
"191","2012-11-09",12.3
"192","2012-11-12",12.4
"193","2012-11-13",12.31
"194","2012-11-14",12.7
"195","2012-11-15",12.2
"196","2012-11-16",11.96
"197","2012-11-19",11.95
"198","2012-11-20",12.04
"199","2012-11-21",12.1
"200","2012-11-23",12.02
"201","2012-11-26",12.05
"202","2012-11-27",11.85
"203","2012-11-28",11.86
"204","2012-11-29",11.98
"205","2012-11-30",11.85
"206","2012-12-03",11.85
"207","2012-12-04",11.97
"208","2012-12-05",11.87
"209","2012-12-06",11.96
"210","2012-12-07",11.74
"211","2012-12-10",10.96
"212","2012-12-11",11
"213","2012-12-12",10.76
"214","2012-12-13",10.82
"215","2012-12-14",10.84
"216","2012-12-17",11.08
"217","2012-12-18",11.2
"218","2012-12-19",10.98
"219","2012-12-20",10.94
"220","2012-12-21",10.82
"221","2012-12-24",10.87
"222","2012-12-26",10.85
"223","2012-12-27",10.57
"224","2012-12-28",10.55
"225","2012-12-31",10.94
"226","2013-01-02",11.28
"227","2013-01-03",11.17
"228","2013-01-04",11.14
"229","2013-01-07",11.31
"230","2013-01-08",10.96
"231","2013-01-09",11.2
"232","2013-01-10",11.25
"233","2013-01-11",11.18
"234","2013-01-14",11.14
"235","2013-01-15",11.21
"236","2013-01-16",11.2
"237","2013-01-17",11.2
"238","2013-01-18",11.22
"239","2013-01-22",11.32
"240","2013-01-23",11.25
"241","2013-01-24",11.36
"242","2013-01-25",11.33
"243","2013-01-28",11.45
"244","2013-01-29",11.43
"245","2013-01-30",11.26
"246","2013-01-31",11.62
"247","2013-02-01",11.7
"248","2013-02-04",11.51
"249","2013-02-05",11.36
"250","2013-02-06",11.44
"251","2013-02-07",11.27
"252","2013-02-08",11.38
"253","2013-02-11",11.4
"254","2013-02-12",11.59
"255","2013-02-13",11.39
"256","2013-02-14",11.5
"257","2013-02-15",11.7
"258","2013-02-19",11.95
"259","2013-02-20",11.82
"260","2013-02-21",11.89
"261","2013-02-22",12.16
"262","2013-02-25",12.32
"263","2013-02-26",12.46
"264","2013-02-27",12.71
"265","2013-02-28",13.49
"266","2013-03-01",13.94
"267","2013-03-04",13.98
"268","2013-03-05",14
"269","2013-03-06",13.94
"270","2013-03-07",13.94
"271","2013-03-08",14
"272","2013-03-11",14.04
"273","2013-03-12",13.97
"274","2013-03-13",14
"275","2013-03-14",13.95
"276","2013-03-15",14
"277","2013-03-18",13.62
"278","2013-03-19",13.68
"279","2013-03-20",13.94
"280","2013-03-21",13.79
"281","2013-03-22",13.93
"282","2013-03-25",13.77
"283","2013-03-26",13.87
"284","2013-03-27",13.8
"285","2013-03-28",13.82
"286","2013-04-01",13.99
"287","2013-04-02",13.79
"288","2013-04-03",13.45
"289","2013-04-04",13.69
"290","2013-04-05",13.73
"291","2013-04-08",13.72
"292","2013-04-09",13.8
"293","2013-04-10",13.93
"294","2013-04-11",14.13
"295","2013-04-12",13.91
"296","2013-04-15",13.58
"297","2013-04-16",12.26
"298","2013-04-17",12.04
"299","2013-04-18",11.31
"300","2013-04-19",11.66
"301","2013-04-22",12.35
"302","2013-04-23",12.9
"303","2013-04-24",12.92
"304","2013-04-25",13.05
"305","2013-04-26",12.72
"306","2013-04-29",12.56
"307","2013-04-30",12.43
"308","2013-05-01",11.49
"309","2013-05-02",11.74
"310","2013-05-03",11.88
"311","2013-05-06",12.04
"312","2013-05-07",12.11
"313","2013-05-08",12.12
"314","2013-05-09",12.1
"315","2013-05-10",12.21
"316","2013-05-13",13.26
"317","2013-05-14",14.74
"318","2013-05-15",14.08
"319","2013-05-16",13.77
"320","2013-05-17",13.61
"321","2013-05-20",13.6
"322","2013-05-21",13.35
"323","2013-05-22",13.52
"324","2013-05-23",13.94
"325","2013-05-24",13.92
"326","2013-05-28",14.05
"327","2013-05-29",14.16
"328","2013-05-30",14.2
"329","2013-05-31",13.51
"330","2013-06-03",12.77
"331","2013-06-04",12.08
"332","2013-06-05",11.86
"333","2013-06-06",12
"334","2013-06-07",12.46
"335","2013-06-10",11.76
"336","2013-06-11",11.48
"337","2013-06-12",11.33
"338","2013-06-13",11.68
"339","2013-06-14",11.63
"340","2013-06-17",12.6
"341","2013-06-18",12.58
"342","2013-06-19",12.65
"343","2013-06-20",12.47
"344","2013-06-21",13.04
"345","2013-06-24",13.81
"346","2013-06-25",13.93
"347","2013-06-26",13.92
"348","2013-06-27",13.93
"349","2013-06-28",14.14
"350","2013-07-01",14.3
"351","2013-07-02",13.89
"352","2013-07-03",13.44
"353","2013-07-05",13.32
"354","2013-07-08",13.62
"355","2013-07-09",14.18
"356","2013-07-10",14.09
"357","2013-07-11",13.95
"358","2013-07-12",14.14
"359","2013-07-15",14.46
"360","2013-07-16",14.58
"361","2013-07-17",14.51
"362","2013-07-18",14.51
"363","2013-07-19",14.35
"364","2013-07-22",14.43
"365","2013-07-23",14.28
"366","2013-07-24",13.99
"367","2013-07-25",14.07
