"","date","OCUL"
"1","2014-07-25",13.15
"2","2014-07-28",12.84
"3","2014-07-29",12.9
"4","2014-07-30",12.94
"5","2014-07-31",12.86
"6","2014-08-01",13.04
"7","2014-08-04",12.76
"8","2014-08-05",12.66
"9","2014-08-06",12.64
"10","2014-08-07",12.71
"11","2014-08-08",12.95
"12","2014-08-11",13.33
"13","2014-08-12",14.69
"14","2014-08-13",14.4
"15","2014-08-14",14.31
"16","2014-08-15",14.02
"17","2014-08-18",14.33
"18","2014-08-19",14.57
"19","2014-08-20",14.97
"20","2014-08-21",15.8
"21","2014-08-22",15.39
"22","2014-08-25",15.9
"23","2014-08-26",16.049999
"24","2014-08-27",16.6
"25","2014-08-28",16.48
"26","2014-08-29",16.469999
"27","2014-09-02",15.71
"28","2014-09-03",16.1
"29","2014-09-04",15.91
"30","2014-09-05",15.92
"31","2014-09-08",15.71
"32","2014-09-09",16.08
"33","2014-09-10",16.1
"34","2014-09-11",16.41
"35","2014-09-12",16.370001
"36","2014-09-15",16.24
"37","2014-09-16",15.78
"38","2014-09-17",16.030001
"39","2014-09-18",15.74
"40","2014-09-19",14.58
"41","2014-09-22",13.97
"42","2014-09-23",14.28
"43","2014-09-24",15.59
"44","2014-09-25",14.94
"45","2014-09-26",14.98
"46","2014-09-29",14.77
"47","2014-09-30",14.97
"48","2014-10-01",13.97
"49","2014-10-02",14.09
"50","2014-10-03",14.97
"51","2014-10-06",14.53
"52","2014-10-07",14.01
"53","2014-10-08",14.48
"54","2014-10-09",14.28
"55","2014-10-10",14.26
"56","2014-10-13",14.53
"57","2014-10-14",13.82
"58","2014-10-15",13.99
"59","2014-10-16",14.39
"60","2014-10-17",13.57
"61","2014-10-20",14.3
"62","2014-10-21",13.86
"63","2014-10-22",13.62
"64","2014-10-23",13.47
"65","2014-10-24",13.44
"66","2014-10-27",13.64
"67","2014-10-28",14.33
"68","2014-10-29",14.9
"69","2014-10-30",15.09
"70","2014-10-31",15.27
"71","2014-11-03",15.39
"72","2014-11-04",15.2
"73","2014-11-05",14.98
