"","date","SR"
"1","2007-01-03",35.57
"2","2007-01-04",35.470001
"3","2007-01-05",34.66
"4","2007-01-08",34.419998
"5","2007-01-09",34.599998
"6","2007-01-10",34.400002
"7","2007-01-11",34.880001
"8","2007-01-12",34.68
"9","2007-01-16",34.700001
"10","2007-01-17",34.25
"11","2007-01-18",33.889999
"12","2007-01-19",34.169998
"13","2007-01-22",34.380001
"14","2007-01-23",34.959999
"15","2007-01-24",35.200001
"16","2007-01-25",32.740002
"17","2007-01-26",32.650002
"18","2007-01-29",32.57
"19","2007-01-30",32.360001
"20","2007-01-31",32.48
"21","2007-02-01",32.720001
"22","2007-02-02",32.66
"23","2007-02-05",32.360001
"24","2007-02-06",32.540001
"25","2007-02-07",32.709999
"26","2007-02-08",32.52
"27","2007-02-09",31.969999
"28","2007-02-12",31.84
"29","2007-02-13",32.139999
"30","2007-02-14",32.25
"31","2007-02-15",31.92
"32","2007-02-16",31.84
"33","2007-02-20",32.459999
"34","2007-02-21",31.870001
"35","2007-02-22",31.950001
"36","2007-02-23",31.51
"37","2007-02-26",31.969999
"38","2007-02-27",30.98
"39","2007-02-28",31.15
"40","2007-03-01",31.26
"41","2007-03-02",30.51
"42","2007-03-05",29.610001
"43","2007-03-06",30.18
"44","2007-03-07",29.809999
"45","2007-03-08",29.75
"46","2007-03-09",29.82
"47","2007-03-12",30.110001
"48","2007-03-13",29.5
"49","2007-03-14",29.84
"50","2007-03-15",30.16
"51","2007-03-16",29.879999
"52","2007-03-19",29.99
"53","2007-03-20",30.67
"54","2007-03-21",31.18
"55","2007-03-22",31.129999
"56","2007-03-23",31.370001
"57","2007-03-26",31.42
"58","2007-03-27",31.299999
"59","2007-03-28",31.200001
"60","2007-03-29",31.25
"61","2007-03-30",31.08
"62","2007-04-02",31.24
"63","2007-04-03",31.59
"64","2007-04-04",31.389999
"65","2007-04-05",31.52
"66","2007-04-09",31.370001
"67","2007-04-10",31.530001
"68","2007-04-11",31.15
"69","2007-04-12",31.32
"70","2007-04-13",31.4
"71","2007-04-16",31.790001
"72","2007-04-17",31.700001
"73","2007-04-18",31.5
"74","2007-04-19",31.26
"75","2007-04-20",31.6
"76","2007-04-23",31.530001
"77","2007-04-24",31.889999
"78","2007-04-25",32.119999
"79","2007-04-26",32.09
"80","2007-04-27",32.080002
"81","2007-04-30",31.389999
"82","2007-05-01",31.610001
"83","2007-05-02",31.91
"84","2007-05-03",31.74
"85","2007-05-04",32.09
"86","2007-05-07",31.959999
"87","2007-05-08",32.32
"88","2007-05-09",32.77
"89","2007-05-10",31.280001
"90","2007-05-11",31.57
"91","2007-05-14",31.84
"92","2007-05-15",31.709999
"93","2007-05-16",31.65
"94","2007-05-17",31.32
"95","2007-05-18",31.43
"96","2007-05-21",31.780001
"97","2007-05-22",32.02
"98","2007-05-23",31.59
"99","2007-05-24",30.860001
"100","2007-05-25",30.76
"101","2007-05-29",30.85
"102","2007-05-30",31.15
"103","2007-05-31",31.16
"104","2007-06-01",31.370001
"105","2007-06-04",31.27
"106","2007-06-05",31.27
"107","2007-06-06",31.34
"108","2007-06-07",31
"109","2007-06-08",31.200001
"110","2007-06-11",31.700001
"111","2007-06-12",31.620001
"112","2007-06-13",31.870001
"113","2007-06-14",32
"114","2007-06-15",32.240002
"115","2007-06-18",32.349998
"116","2007-06-19",32.060001
"117","2007-06-20",31.280001
"118","2007-06-21",31.26
"119","2007-06-22",30.790001
"120","2007-06-25",31.200001
"121","2007-06-26",31.629999
"122","2007-06-27",31.969999
"123","2007-06-28",31.84
"124","2007-06-29",31.879999
"125","2007-07-02",32.009998
"126","2007-07-03",32.139999
"127","2007-07-05",32.110001
"128","2007-07-06",32.07
"129","2007-07-09",32.369999
"130","2007-07-10",32.290001
"131","2007-07-11",32.27
"132","2007-07-12",33.139999
"133","2007-07-13",32.939999
"134","2007-07-16",32.299999
"135","2007-07-17",32.259998
"136","2007-07-18",32.490002
"137","2007-07-19",32.939999
"138","2007-07-20",32.18
"139","2007-07-23",32.290001
"140","2007-07-24",31.360001
"141","2007-07-25",31.299999
"142","2007-07-26",29.73
"143","2007-07-27",29.01
"144","2007-07-30",30.120001
"145","2007-07-31",29.549999
"146","2007-08-01",30.5
"147","2007-08-02",30.74
"148","2007-08-03",29.290001
"149","2007-08-06",30.379999
"150","2007-08-07",30.25
"151","2007-08-08",29.889999
"152","2007-08-09",29.85
"153","2007-08-10",32.549999
"154","2007-08-13",31.469999
"155","2007-08-14",30.83
"156","2007-08-15",30.49
"157","2007-08-16",32.549999
"158","2007-08-17",33.34
"159","2007-08-20",32.619999
"160","2007-08-21",32.490002
"161","2007-08-22",32.099998
"162","2007-08-23",32.709999
"163","2007-08-24",33.110001
"164","2007-08-27",32.650002
"165","2007-08-28",31.84
"166","2007-08-29",32.709999
"167","2007-08-30",32.599998
"168","2007-08-31",32.639999
"169","2007-09-04",32.639999
"170","2007-09-05",31.6
"171","2007-09-06",31.76
"172","2007-09-07",30.959999
"173","2007-09-10",31.33
"174","2007-09-11",31.620001
"175","2007-09-12",31.049999
"176","2007-09-13",30.77
"177","2007-09-14",31.049999
"178","2007-09-17",31.02
"179","2007-09-18",32.139999
"180","2007-09-19",33.169998
"181","2007-09-20",33.330002
"182","2007-09-21",33.330002
"183","2007-09-24",32.950001
"184","2007-09-25",32.720001
"185","2007-09-26",33.259998
"186","2007-09-27",32.970001
"187","2007-09-28",32.279999
"188","2007-10-01",33.41
