"","date","CHKP"
"1","2007-01-03",22.58
"2","2007-01-04",22.24
"3","2007-01-05",21.92
"4","2007-01-08",21.85
"5","2007-01-09",22.42
"6","2007-01-10",22.42
"7","2007-01-11",23.1
"8","2007-01-12",23.41
"9","2007-01-16",23.379999
"10","2007-01-17",24.26
"11","2007-01-18",23.629999
"12","2007-01-19",23.57
"13","2007-01-22",23.41
"14","2007-01-23",23.190001
"15","2007-01-24",24.08
"16","2007-01-25",23.190001
"17","2007-01-26",23.379999
"18","2007-01-29",23.379999
"19","2007-01-30",23.559999
"20","2007-01-31",23.860001
"21","2007-02-01",23.700001
"22","2007-02-02",24.5
"23","2007-02-05",24.639999
"24","2007-02-06",24.74
"25","2007-02-07",24.870001
"26","2007-02-08",24.76
"27","2007-02-09",24.379999
"28","2007-02-12",24.5
"29","2007-02-13",24.65
"30","2007-02-14",24.92
"31","2007-02-15",24.889999
"32","2007-02-16",24.309999
"33","2007-02-20",24.23
"34","2007-02-21",24.5
"35","2007-02-22",24.040001
"36","2007-02-23",24.15
"37","2007-02-26",23.860001
"38","2007-02-27",22.549999
"39","2007-02-28",22.58
"40","2007-03-01",22.5
"41","2007-03-02",22.219999
"42","2007-03-05",21.82
"43","2007-03-06",21.700001
"44","2007-03-07",21.799999
"45","2007-03-08",21.65
"46","2007-03-09",21.559999
"47","2007-03-12",21.58
"48","2007-03-13",21.51
"49","2007-03-14",21.43
"50","2007-03-15",21.4
"51","2007-03-16",21.5
"52","2007-03-19",21.58
"53","2007-03-20",22.049999
"54","2007-03-21",22.450001
"55","2007-03-22",22.67
"56","2007-03-23",23.1
"57","2007-03-26",23.07
"58","2007-03-27",23.17
"59","2007-03-28",22.709999
"60","2007-03-29",22.469999
"61","2007-03-30",22.280001
"62","2007-04-02",22.309999
"63","2007-04-03",22.280001
"64","2007-04-04",22.639999
"65","2007-04-05",22.690001
"66","2007-04-09",22.5
"67","2007-04-10",22.440001
"68","2007-04-11",22.459999
"69","2007-04-12",22.459999
"70","2007-04-13",22.469999
"71","2007-04-16",22.77
"72","2007-04-17",22.709999
"73","2007-04-18",22.700001
"74","2007-04-19",22.5
"75","2007-04-20",22.5
"76","2007-04-23",22.370001
"77","2007-04-24",22.530001
"78","2007-04-25",22.950001
"79","2007-04-26",24.16
"80","2007-04-27",23.75
"81","2007-04-30",23.549999
"82","2007-05-01",23.9
"83","2007-05-02",23.950001
"84","2007-05-03",24.059999
"85","2007-05-04",24.09
"86","2007-05-07",24.15
"87","2007-05-08",24.379999
"88","2007-05-09",24.15
"89","2007-05-10",23.889999
"90","2007-05-11",24
"91","2007-05-14",24
"92","2007-05-15",23.65
"93","2007-05-16",23.870001
"94","2007-05-17",23.780001
"95","2007-05-18",23.77
"96","2007-05-21",23.959999
"97","2007-05-22",23.93
"98","2007-05-23",23.65
"99","2007-05-24",23.139999
"100","2007-05-25",23.32
"101","2007-05-29",23.52
"102","2007-05-30",23.51
"103","2007-05-31",23.360001
"104","2007-06-01",23.690001
"105","2007-06-04",23.77
"106","2007-06-05",24.219999
"107","2007-06-06",23.9
"108","2007-06-07",23.209999
"109","2007-06-08",23.299999
"110","2007-06-11",23.379999
"111","2007-06-12",23.190001
"112","2007-06-13",23.360001
"113","2007-06-14",23.299999
"114","2007-06-15",23.379999
"115","2007-06-18",23.32
"116","2007-06-19",23.52
"117","2007-06-20",23.33
"118","2007-06-21",23.549999
"119","2007-06-22",23.450001
"120","2007-06-25",23.17
"121","2007-06-26",23.120001
"122","2007-06-27",23.299999
"123","2007-06-28",23.129999
"124","2007-06-29",22.809999
"125","2007-07-02",23.08
"126","2007-07-03",23.57
"127","2007-07-05",23.360001
"128","2007-07-06",23.16
"129","2007-07-09",23.190001
"130","2007-07-10",22.790001
"131","2007-07-11",22.799999
"132","2007-07-12",23.26
"133","2007-07-13",23.32
"134","2007-07-16",23.18
"135","2007-07-17",23.33
"136","2007-07-18",23.209999
"137","2007-07-19",23.59
"138","2007-07-20",23.41
"139","2007-07-23",23.700001
"140","2007-07-24",25.360001
"141","2007-07-25",25.370001
"142","2007-07-26",25.33
"143","2007-07-27",24.43
