"","date","MKD"
"1","2019-12-31",4.78
"2","2020-01-02",4.37
"3","2020-01-03",4.35
"4","2020-01-06",4.51
"5","2020-01-07",4.8
"6","2020-01-08",4.32
"7","2020-01-09",4.397
"8","2020-01-10",4.19
"9","2020-01-13",4.43
"10","2020-01-14",4.15
"11","2020-01-15",4.29
"12","2020-01-16",4.16
"13","2020-01-17",4.34
"14","2020-01-21",4.69
"15","2020-01-22",4.55
"16","2020-01-23",4.35
"17","2020-01-24",4.25
"18","2020-01-27",4.3
"19","2020-01-28",4.2
"20","2020-01-29",4.09
"21","2020-01-30",3.66
"22","2020-01-31",3.41
"23","2020-02-03",3.38
"24","2020-02-04",3.4
"25","2020-02-05",3.38
"26","2020-02-06",3.241
"27","2020-02-07",3.276
"28","2020-02-10",3.04
"29","2020-02-11",3.05
"30","2020-02-12",2.95
"31","2020-02-13",2.76
"32","2020-02-14",2.8
"33","2020-02-18",2.97
"34","2020-02-19",3.072
"35","2020-02-20",3.08
"36","2020-02-21",3.02
"37","2020-02-24",3.39
"38","2020-02-25",3.1
"39","2020-02-26",3.28
"40","2020-02-27",3.02
"41","2020-02-28",2.92
"42","2020-03-02",3.08
"43","2020-03-03",2.89
"44","2020-03-04",3.08
"45","2020-03-05",2.7
"46","2020-03-06",2.83
"47","2020-03-09",2.12
"48","2020-03-10",2.33
"49","2020-03-11",1.89
"50","2020-03-12",1.85
"51","2020-03-13",1.685
"52","2020-03-16",1.62
"53","2020-03-17",1.642
"54","2020-03-18",1.605
"55","2020-03-19",1.83
"56","2020-03-20",1.66
"57","2020-03-23",1.75
"58","2020-03-24",1.96
"59","2020-03-25",2.08
"60","2020-03-26",1.99
"61","2020-03-27",1.954
"62","2020-03-30",1.977
"63","2020-03-31",1.92
"64","2020-04-01",1.875
"65","2020-04-02",1.8
"66","2020-04-03",1.74
"67","2020-04-06",1.59
"68","2020-04-07",1.562
"69","2020-04-08",1.55
"70","2020-04-09",1.605
"71","2020-04-13",1.82
"72","2020-04-14",1.771
"73","2020-04-15",1.735
"74","2020-04-16",1.65
"75","2020-04-17",1.68
"76","2020-04-20",1.729
"77","2020-04-21",1.76
"78","2020-04-22",2.5
"79","2020-04-23",2.15
"80","2020-04-24",2.06
"81","2020-04-27",1.965
"82","2020-04-28",1.95
"83","2020-04-29",1.9
"84","2020-04-30",1.859
"85","2020-05-01",1.82
"86","2020-05-04",1.833
"87","2020-05-05",1.78
"88","2020-05-06",1.81
"89","2020-05-07",1.76
"90","2020-05-08",1.85
"91","2020-05-11",1.815
"92","2020-05-12",1.779
"93","2020-05-13",1.85
"94","2020-05-14",1.85
"95","2020-05-15",1.82
