"","date","SRPT"
"1","2007-01-03",18.540001
"2","2007-01-04",19.200001
"3","2007-01-05",18.540001
"4","2007-01-08",18.24
"5","2007-01-09",17.879999
"6","2007-01-10",18.24
"7","2007-01-11",18.780001
"8","2007-01-12",18.6
"9","2007-01-16",18.6
"10","2007-01-17",17.58
"11","2007-01-18",17.040001
"12","2007-01-19",17.219999
"13","2007-01-22",17.219999
"14","2007-01-23",17.459999
"15","2007-01-24",18.120001
"16","2007-01-25",18.059999
"17","2007-01-26",18.059999
"18","2007-01-29",17.940001
"19","2007-01-30",18.84
"20","2007-01-31",18.18
"21","2007-02-01",18.360001
"22","2007-02-02",18.360001
"23","2007-02-05",18.18
"24","2007-02-06",18
"25","2007-02-07",17.82
"26","2007-02-08",17.76
"27","2007-02-09",17.4
"28","2007-02-12",18.059999
"29","2007-02-13",17.879999
"30","2007-02-14",17.58
"31","2007-02-15",16.98
"32","2007-02-16",17.639999
"33","2007-02-20",17.700001
"34","2007-02-21",17.34
"35","2007-02-22",17.639999
"36","2007-02-23",17.219999
"37","2007-02-26",17.1
"38","2007-02-27",16.440001
"39","2007-02-28",15.96
"40","2007-03-01",15.6
"41","2007-03-02",15.06
"42","2007-03-05",15.24
"43","2007-03-06",14.76
"44","2007-03-07",14.88
"45","2007-03-08",14.88
"46","2007-03-09",14.88
"47","2007-03-12",15.06
"48","2007-03-13",14.76
"49","2007-03-14",16.200001
"50","2007-03-15",15.54
"51","2007-03-16",15
"52","2007-03-19",14.4
"53","2007-03-20",14.16
"54","2007-03-21",14.28
"55","2007-03-22",15.06
"56","2007-03-23",14.82
"57","2007-03-26",15.06
"58","2007-03-27",14.7
"59","2007-03-28",14.34
"60","2007-03-29",14.46
"61","2007-03-30",16.08
"62","2007-04-02",17.58
"63","2007-04-03",17.16
"64","2007-04-04",16.74
"65","2007-04-05",16.92
"66","2007-04-09",16.68
"67","2007-04-10",17.4
"68","2007-04-11",18.780001
"69","2007-04-12",18.540001
"70","2007-04-13",18.6
"71","2007-04-16",18.9
"72","2007-04-17",18.66
"73","2007-04-18",17.940001
"74","2007-04-19",17.940001
"75","2007-04-20",17.040001
"76","2007-04-23",16.559999
"77","2007-04-24",16.440001
"78","2007-04-25",16.799999
"79","2007-04-26",16.5
"80","2007-04-27",16.860001
"81","2007-04-30",16.02
"82","2007-05-01",15.84
"83","2007-05-02",16.440001
"84","2007-05-03",16.559999
"85","2007-05-04",16.620001
"86","2007-05-07",18.24
"87","2007-05-08",17.280001
"88","2007-05-09",16.799999
"89","2007-05-10",15.9
"90","2007-05-11",17.4
"91","2007-05-14",16.799999
"92","2007-05-15",16.08
"93","2007-05-16",16.860001
"94","2007-05-17",16.74
"95","2007-05-18",17.1
"96","2007-05-21",17.52
"97","2007-05-22",18.18
"98","2007-05-23",17.76
"99","2007-05-24",17.58
"100","2007-05-25",17.76
"101","2007-05-29",18.120001
"102","2007-05-30",18.18
"103","2007-05-31",18.299999
"104","2007-06-01",18.42
"105","2007-06-04",17.4
"106","2007-06-05",16.98
"107","2007-06-06",17.1
"108","2007-06-07",16.620001
"109","2007-06-08",16.98
"110","2007-06-11",18.299999
"111","2007-06-12",17.280001
"112","2007-06-13",17.34
"113","2007-06-14",17.52
"114","2007-06-15",17.940001
"115","2007-06-18",18.360001
"116","2007-06-19",17.940001
"117","2007-06-20",17.76
"118","2007-06-21",17.700001
"119","2007-06-22",17.879999
"120","2007-06-25",17.34
"121","2007-06-26",17.280001
"122","2007-06-27",16.92
"123","2007-06-28",17.1
"124","2007-06-29",16.799999
"125","2007-07-02",16.799999
"126","2007-07-03",17.219999
"127","2007-07-05",16.860001
"128","2007-07-06",17.16
"129","2007-07-09",18.360001
"130","2007-07-10",17.58
"131","2007-07-11",17.879999
"132","2007-07-12",17.219999
"133","2007-07-13",17.16
"134","2007-07-16",16.98
"135","2007-07-17",17.219999
"136","2007-07-18",16.68
"137","2007-07-19",16.74
"138","2007-07-20",16.92
"139","2007-07-23",17.16
"140","2007-07-24",17.1
"141","2007-07-25",16.799999
"142","2007-07-26",16.799999
"143","2007-07-27",16.08
"144","2007-07-30",16.32
"145","2007-07-31",15.6
"146","2007-08-01",16.02
"147","2007-08-02",15.9
"148","2007-08-03",15.42
"149","2007-08-06",15.72
"150","2007-08-07",15.72
"151","2007-08-08",16.32
"152","2007-08-09",16.860001
