"","date","JOUT"
"1","2007-01-03",18.450001
"2","2007-01-04",18.35
"3","2007-01-05",18.139999
"4","2007-01-08",17.73
"5","2007-01-09",17.309999
"6","2007-01-10",17.200001
"7","2007-01-11",17.790001
"8","2007-01-12",17.5
"9","2007-01-16",17.5
"10","2007-01-17",18.07
"11","2007-01-18",18.190001
"12","2007-01-19",18.139999
"13","2007-01-22",18.459999
"14","2007-01-23",18.32
"15","2007-01-24",18.440001
"16","2007-01-25",18.5
"17","2007-01-26",18.34
"18","2007-01-29",18.33
"19","2007-01-30",18.57
"20","2007-01-31",18.51
"21","2007-02-01",18.6
"22","2007-02-02",18.629999
"23","2007-02-05",18.790001
"24","2007-02-06",18.450001
"25","2007-02-07",18.15
"26","2007-02-08",18.17
"27","2007-02-09",18.24
"28","2007-02-12",18.26
"29","2007-02-13",18.26
"30","2007-02-14",18.290001
"31","2007-02-15",18.299999
"32","2007-02-16",18.360001
"33","2007-02-20",18.4
"34","2007-02-21",18.48
"35","2007-02-22",18.32
"36","2007-02-23",18.4
"37","2007-02-26",18.48
"38","2007-02-27",18.4
"39","2007-02-28",18.23
"40","2007-03-01",18.139999
"41","2007-03-02",18.200001
"42","2007-03-05",18.290001
"43","2007-03-06",18.25
"44","2007-03-07",18.32
"45","2007-03-08",18.25
"46","2007-03-09",18.27
"47","2007-03-12",18.26
"48","2007-03-13",18.379999
"49","2007-03-14",18.450001
"50","2007-03-15",18.26
"51","2007-03-16",18.25
"52","2007-03-19",18.48
"53","2007-03-20",18.4
"54","2007-03-21",18.4
"55","2007-03-22",18.4
"56","2007-03-23",18.4
"57","2007-03-26",18.26
"58","2007-03-27",18.4
"59","2007-03-28",18.389999
"60","2007-03-29",18.58
"61","2007-03-30",18.58
"62","2007-04-02",18.58
"63","2007-04-03",18.52
"64","2007-04-04",18.51
"65","2007-04-05",18.530001
"66","2007-04-09",18.719999
"67","2007-04-10",18.620001
"68","2007-04-11",18.620001
"69","2007-04-12",18.52
"70","2007-04-13",18.1
"71","2007-04-16",18.370001
"72","2007-04-17",18.08
"73","2007-04-18",18.1
"74","2007-04-19",18.280001
"75","2007-04-20",18.59
"76","2007-04-23",18.799999
"77","2007-04-24",18.84
"78","2007-04-25",18.66
"79","2007-04-26",18.709999
"80","2007-04-27",18.75
"81","2007-04-30",18.99
"82","2007-05-01",19.629999
"83","2007-05-02",19.73
"84","2007-05-03",19.809999
"85","2007-05-04",20
"86","2007-05-07",19.9
"87","2007-05-08",19.6
