"","date","OTRK"
"1","2007-01-03",22080
"2","2007-01-04",22008
"3","2007-01-05",21840
"4","2007-01-08",22128
"5","2007-01-09",22464
"6","2007-01-10",23136
"7","2007-01-11",24384
"8","2007-01-12",24504
"9","2007-01-16",24072
"10","2007-01-17",24024
"11","2007-01-18",24144
"12","2007-01-19",22200
"13","2007-01-22",21864
"14","2007-01-23",21480
"15","2007-01-24",21408
"16","2007-01-25",21360
"17","2007-01-26",21072
"18","2007-01-29",20616
"19","2007-01-30",20568
"20","2007-01-31",20784
"21","2007-02-01",20496
"22","2007-02-02",20856
"23","2007-02-05",20736
"24","2007-02-06",21456
"25","2007-02-07",21288
"26","2007-02-08",20760
"27","2007-02-09",20544
"28","2007-02-12",21072
"29","2007-02-13",21144
"30","2007-02-14",21528
"31","2007-02-15",21336
"32","2007-02-16",20856
"33","2007-02-20",20760
"34","2007-02-21",20664
"35","2007-02-22",20520
"36","2007-02-23",20616
"37","2007-02-26",19896
"38","2007-02-27",19008
"39","2007-02-28",19200
"40","2007-03-01",19584
"41","2007-03-02",19200
"42","2007-03-05",18336
"43","2007-03-06",18936
"44","2007-03-07",18864
"45","2007-03-08",18312
"46","2007-03-09",18816
"47","2007-03-12",19008
"48","2007-03-13",18144
"49","2007-03-14",18552
"50","2007-03-15",18216
"51","2007-03-16",16944
"52","2007-03-19",16296
"53","2007-03-20",15768
"54","2007-03-21",16032
"55","2007-03-22",15960
"56","2007-03-23",16200
"57","2007-03-26",15816
"58","2007-03-27",15624
"59","2007-03-28",15552
"60","2007-03-29",15720
"61","2007-03-30",16320
"62","2007-04-02",16224
"63","2007-04-03",17160
"64","2007-04-04",16800
"65","2007-04-05",16872
"66","2007-04-09",16920
"67","2007-04-10",17232
"68","2007-04-11",16680
"69","2007-04-12",16752
"70","2007-04-13",16704
"71","2007-04-16",16464
"72","2007-04-17",16200
"73","2007-04-18",15912
"74","2007-04-19",15672
"75","2007-04-20",16632
"76","2007-04-23",16344
"77","2007-04-24",16536
"78","2007-04-25",16680
"79","2007-04-26",16320
"80","2007-04-27",16584
"81","2007-04-30",16680
"82","2007-05-01",16704
"83","2007-05-02",17016
"84","2007-05-03",17112
"85","2007-05-04",17280
"86","2007-05-07",17760
"87","2007-05-08",18144
"88","2007-05-09",17688
"89","2007-05-10",17568
"90","2007-05-11",18624
"91","2007-05-14",18024
"92","2007-05-15",18240
"93","2007-05-16",17856
"94","2007-05-17",17592
"95","2007-05-18",17976
"96","2007-05-21",18600
"97","2007-05-22",18720
"98","2007-05-23",18912
"99","2007-05-24",18624
"100","2007-05-25",18552
"101","2007-05-29",18432
"102","2007-05-30",18912
"103","2007-05-31",19080
"104","2007-06-01",19248
"105","2007-06-04",19080
"106","2007-06-05",18480
"107","2007-06-06",18240
"108","2007-06-07",18024
"109","2007-06-08",18384
"110","2007-06-11",18408
"111","2007-06-12",18216
"112","2007-06-13",18312
"113","2007-06-14",18216
"114","2007-06-15",18720
"115","2007-06-18",19992
"116","2007-06-19",19800
"117","2007-06-20",19920
"118","2007-06-21",19944
"119","2007-06-22",19968
"120","2007-06-25",19728
"121","2007-06-26",20544
"122","2007-06-27",20832
"123","2007-06-28",20904
"124","2007-06-29",20760
"125","2007-07-02",20976
"126","2007-07-03",21048
"127","2007-07-05",20592
"128","2007-07-06",20208
"129","2007-07-09",19608
"130","2007-07-10",20112
"131","2007-07-11",20520
"132","2007-07-12",20808
"133","2007-07-13",20904
"134","2007-07-16",20016
"135","2007-07-17",20160
"136","2007-07-18",19920
"137","2007-07-19",19848
"138","2007-07-20",19080
"139","2007-07-23",19008
"140","2007-07-24",18912
"141","2007-07-25",18672
"142","2007-07-26",19200
"143","2007-07-27",18336
"144","2007-07-30",18264
"145","2007-07-31",17760
"146","2007-08-01",17448
"147","2007-08-02",17520
"148","2007-08-03",17328
"149","2007-08-06",17112
"150","2007-08-07",18000
"151","2007-08-08",18480
"152","2007-08-09",19464
"153","2007-08-10",19416
"154","2007-08-13",19584
"155","2007-08-14",17832
"156","2007-08-15",17880
"157","2007-08-16",16992
"158","2007-08-17",17520
"159","2007-08-20",17688
"160","2007-08-21",17424
"161","2007-08-22",17688
"162","2007-08-23",18264
"163","2007-08-24",17688
"164","2007-08-27",18048
"165","2007-08-28",17352
"166","2007-08-29",17736
"167","2007-08-30",17544
"168","2007-08-31",17280
"169","2007-09-04",17136
"170","2007-09-05",16704
"171","2007-09-06",16752
"172","2007-09-07",16584
"173","2007-09-10",16776
"174","2007-09-11",16896
"175","2007-09-12",16608
"176","2007-09-13",16752
"177","2007-09-14",16512
"178","2007-09-17",15888
"179","2007-09-18",15864
"180","2007-09-19",15912
"181","2007-09-20",15744
"182","2007-09-21",15624
"183","2007-09-24",15432
"184","2007-09-25",16200
"185","2007-09-26",16296
"186","2007-09-27",16440
"187","2007-09-28",17760
"188","2007-10-01",17688
"189","2007-10-02",18312
"190","2007-10-03",18336
"191","2007-10-04",18456
"192","2007-10-05",18288
"193","2007-10-08",17976
"194","2007-10-09",17880
"195","2007-10-10",17880
"196","2007-10-11",17640
"197","2007-10-12",17496
"198","2007-10-15",17952
