"","date","GWRE"
"1","2012-01-25",17.120001
"2","2012-01-26",17.43
"3","2012-01-27",17.83
"4","2012-01-30",18.049999
"5","2012-01-31",18.030001
"6","2012-02-01",18.950001
"7","2012-02-02",19.950001
"8","2012-02-03",20.190001
"9","2012-02-06",20.120001
"10","2012-02-07",20.98
"11","2012-02-08",21.77
"12","2012-02-09",21.74
"13","2012-02-10",22.059999
"14","2012-02-13",23.09
"15","2012-02-14",22.6
"16","2012-02-15",22.799999
"17","2012-02-16",22.35
"18","2012-02-17",22.110001
"19","2012-02-21",22.48
"20","2012-02-22",23.99
"21","2012-02-23",23.950001
"22","2012-02-24",23.49
"23","2012-02-27",22.809999
"24","2012-02-28",23.01
"25","2012-02-29",22.620001
"26","2012-03-01",22.940001
"27","2012-03-02",22.950001
"28","2012-03-05",21.690001
"29","2012-03-06",21.690001
"30","2012-03-07",21.84
"31","2012-03-08",22.08
"32","2012-03-09",22.43
"33","2012-03-12",22.73
"34","2012-03-13",25.65
"35","2012-03-14",30.040001
"36","2012-03-15",32.349998
"37","2012-03-16",32.310001
"38","2012-03-19",33.049999
"39","2012-03-20",32.68
"40","2012-03-21",32.349998
"41","2012-03-22",31.549999
"42","2012-03-23",32.889999
"43","2012-03-26",35.369999
"44","2012-03-27",35
"45","2012-03-28",32.700001
"46","2012-03-29",31.93
"47","2012-03-30",30.780001
"48","2012-04-02",30
"49","2012-04-03",28.02
"50","2012-04-04",29.23
"51","2012-04-05",30.65
"52","2012-04-09",30.24
"53","2012-04-10",27.67
"54","2012-04-11",27.85
"55","2012-04-12",28.450001
"56","2012-04-13",27.98
"57","2012-04-16",27.09
"58","2012-04-17",28.49
"59","2012-04-18",29.139999
"60","2012-04-19",28.65
"61","2012-04-20",27.15
"62","2012-04-23",26.41
"63","2012-04-24",25.33
"64","2012-04-25",26.190001
"65","2012-04-26",26.139999
"66","2012-04-27",26.889999
"67","2012-04-30",27.219999
"68","2012-05-01",27.049999
"69","2012-05-02",27.58
"70","2012-05-03",27.27
"71","2012-05-04",27.049999
"72","2012-05-07",27.09
"73","2012-05-08",25.99
"74","2012-05-09",25.17
"75","2012-05-10",23.139999
