"","date","IMAC"
"1","2019-02-13",3.68
"2","2019-02-14",3.76
"3","2019-02-15",3.82
"4","2019-02-19",3.898
"5","2019-02-20",4
"6","2019-02-21",4.1
"7","2019-02-22",4.03
"8","2019-02-25",3.85
"9","2019-02-26",3.99
"10","2019-02-27",3.95
"11","2019-02-28",3.9
"12","2019-03-01",3.758
"13","2019-03-04",3.41
"14","2019-03-05",3.216
"15","2019-03-06",2.72
"16","2019-03-07",2.67
"17","2019-03-08",2.965
"18","2019-03-11",2.965
"19","2019-03-12",3.3
"20","2019-03-13",3.04
"21","2019-03-14",3.1
"22","2019-03-15",3.12
"23","2019-03-18",3.04
"24","2019-03-19",3.72
"25","2019-03-20",3.75
"26","2019-03-21",3.9
"27","2019-03-22",4.02
"28","2019-03-25",3.94
"29","2019-03-26",3.67
"30","2019-03-27",7.01
"31","2019-03-28",4.85
"32","2019-03-29",5
"33","2019-04-01",5.3
"34","2019-04-02",5.5
"35","2019-04-03",5.6
"36","2019-04-04",5.42
"37","2019-04-05",5.45
"38","2019-04-08",5.376
"39","2019-04-09",5.32
"40","2019-04-10",5.253
"41","2019-04-11",5
"42","2019-04-12",4.5
"43","2019-04-15",4.66
"44","2019-04-16",4.235
"45","2019-04-17",3.76
"46","2019-04-18",4.15
"47","2019-04-22",4.27
"48","2019-04-23",4.34
"49","2019-04-24",4.399
"50","2019-04-25",4.62
"51","2019-04-26",4.448
"52","2019-04-29",4.02
"53","2019-04-30",4.38
"54","2019-05-01",4.327
"55","2019-05-02",4.162
"56","2019-05-03",4.268
"57","2019-05-06",4.099
"58","2019-05-07",4.057
"59","2019-05-08",4.02
"60","2019-05-09",3.985
"61","2019-05-10",3.947
"62","2019-05-13",3.98
"63","2019-05-14",3.938
"64","2019-05-15",4.335
"65","2019-05-16",4.22
"66","2019-05-17",4.21
"67","2019-05-20",4.36
"68","2019-05-21",4.27
"69","2019-05-22",4.27
"70","2019-05-23",4.03
"71","2019-05-24",4.05
"72","2019-05-28",4.7
"73","2019-05-29",4.811
"74","2019-05-30",4.969
"75","2019-05-31",4.93
"76","2019-06-03",4.76
"77","2019-06-04",4.943
"78","2019-06-05",4.79
"79","2019-06-06",4.9
"80","2019-06-07",4.82
"81","2019-06-10",4.7
"82","2019-06-11",4.42
"83","2019-06-12",4.84
"84","2019-06-13",4.72
"85","2019-06-14",4.75
"86","2019-06-17",5
"87","2019-06-18",4.98
"88","2019-06-19",4.7
"89","2019-06-20",4.57
"90","2019-06-21",4.03
"91","2019-06-24",4.131
"92","2019-06-25",3.802
"93","2019-06-26",3.8
"94","2019-06-27",3.92
"95","2019-06-28",3.99
"96","2019-07-01",4.4
"97","2019-07-02",4.2
"98","2019-07-03",4.2
"99","2019-07-05",4.292
"100","2019-07-08",4.2
"101","2019-07-09",4.181
"102","2019-07-10",4.17
"103","2019-07-11",3.85
"104","2019-07-12",3.561
"105","2019-07-15",3.742
"106","2019-07-16",3.75
"107","2019-07-17",3.61
"108","2019-07-18",3.45
"109","2019-07-19",3.05
"110","2019-07-22",3.16
"111","2019-07-23",3.29
"112","2019-07-24",3.452
"113","2019-07-25",3.33
"114","2019-07-26",3.5
"115","2019-07-29",3.81
"116","2019-07-30",4.2
"117","2019-07-31",3.998
"118","2019-08-01",3.5
"119","2019-08-02",4.2
"120","2019-08-05",4.261
"121","2019-08-06",4
"122","2019-08-07",4.251
"123","2019-08-08",4.02
"124","2019-08-09",4.201
"125","2019-08-12",4.33
"126","2019-08-13",4.37
"127","2019-08-14",3.67
"128","2019-08-15",3.52
"129","2019-08-16",3.961
"130","2019-08-19",3.95
"131","2019-08-20",4.2
"132","2019-08-21",4.16
"133","2019-08-22",4.11
"134","2019-08-23",4.03
"135","2019-08-26",4.03
"136","2019-08-27",3.8
"137","2019-08-28",3.91
"138","2019-08-29",4.08
"139","2019-08-30",4
"140","2019-09-03",3.971
"141","2019-09-04",3.93
"142","2019-09-05",3.96
"143","2019-09-06",3.97
"144","2019-09-09",4
"145","2019-09-10",3.935
"146","2019-09-11",4.06
"147","2019-09-12",3.97
"148","2019-09-13",3.97
"149","2019-09-16",3.97
"150","2019-09-17",4.05
"151","2019-09-18",3.88
"152","2019-09-19",3.65
"153","2019-09-20",3.86
"154","2019-09-23",3.7
"155","2019-09-24",3.81
"156","2019-09-25",3.5
"157","2019-09-26",3.53
"158","2019-09-27",3.464
"159","2019-09-30",3.644
"160","2019-10-01",3.2
"161","2019-10-02",3.18
"162","2019-10-03",3.15
"163","2019-10-04",3.123
"164","2019-10-07",2.94
"165","2019-10-08",3.2
"166","2019-10-09",3.01
"167","2019-10-10",3.068
"168","2019-10-11",2.86
"169","2019-10-14",2.88
"170","2019-10-15",3.14
"171","2019-10-16",3.072
"172","2019-10-17",3.27
"173","2019-10-18",2.95
"174","2019-10-21",3.23
"175","2019-10-22",3
"176","2019-10-23",2.8
"177","2019-10-24",2.75
"178","2019-10-25",2.791
"179","2019-10-28",3.02
"180","2019-10-29",2.65
"181","2019-10-30",2.631
"182","2019-10-31",2.898
"183","2019-11-01",2.74
"184","2019-11-04",2.338
"185","2019-11-05",2.55
"186","2019-11-06",2.63
"187","2019-11-07",2.61
"188","2019-11-08",2.51
"189","2019-11-11",2.425
"190","2019-11-12",2.45
"191","2019-11-13",2.14
"192","2019-11-14",2.08
"193","2019-11-15",2.09
"194","2019-11-18",2.095
"195","2019-11-19",2.109
"196","2019-11-20",2.1
"197","2019-11-21",2.1
"198","2019-11-22",2.068
"199","2019-11-25",2.003
"200","2019-11-26",1.977
"201","2019-11-27",1.85
"202","2019-11-29",1.971
"203","2019-12-02",1.86
"204","2019-12-03",1.771
"205","2019-12-04",1.95
"206","2019-12-05",2.01
"207","2019-12-06",1.84
"208","2019-12-09",1.72
"209","2019-12-10",1.61
"210","2019-12-11",1.4
"211","2019-12-12",1.734
"212","2019-12-13",1.6
"213","2019-12-16",1.65
"214","2019-12-17",1.51
"215","2019-12-18",1.58
"216","2019-12-19",1.51
"217","2019-12-20",1.56
"218","2019-12-23",1.7
"219","2019-12-24",1.68
"220","2019-12-26",1.7
"221","2019-12-27",1.49
"222","2019-12-30",1.55
"223","2019-12-31",1.5
"224","2020-01-02",1.61
"225","2020-01-03",1.57
"226","2020-01-06",1.61
"227","2020-01-07",1.73
"228","2020-01-08",1.59
"229","2020-01-09",1.58
"230","2020-01-10",1.59
"231","2020-01-13",1.44
"232","2020-01-14",1.46
"233","2020-01-15",1.47
"234","2020-01-16",1.45
"235","2020-01-17",1.34
"236","2020-01-21",1.3
"237","2020-01-22",1.224
"238","2020-01-23",1.217
"239","2020-01-24",1.19
"240","2020-01-27",1.11
"241","2020-01-28",1.13
"242","2020-01-29",1.2
"243","2020-01-30",1.18
"244","2020-01-31",1.1
"245","2020-02-03",1.03
"246","2020-02-04",1.05
"247","2020-02-05",1.06
"248","2020-02-06",1
"249","2020-02-07",1.04
"250","2020-02-10",1.07
"251","2020-02-11",1.119
"252","2020-02-12",0.98
"253","2020-02-13",1.01
"254","2020-02-14",0.975
"255","2020-02-18",0.934
"256","2020-02-19",0.86
"257","2020-02-20",0.87
"258","2020-02-21",0.904
"259","2020-02-24",0.848
"260","2020-02-25",0.85
"261","2020-02-26",0.88
"262","2020-02-27",0.848
"263","2020-02-28",0.99
"264","2020-03-02",0.86
"265","2020-03-03",0.8
"266","2020-03-04",0.84
"267","2020-03-05",0.756
"268","2020-03-06",0.741
"269","2020-03-09",0.627
"270","2020-03-10",0.68
"271","2020-03-11",0.82
"272","2020-03-12",0.652
"273","2020-03-13",0.64
"274","2020-03-16",0.543
"275","2020-03-17",0.519
"276","2020-03-18",0.47
"277","2020-03-19",0.47
"278","2020-03-20",0.457
"279","2020-03-23",0.44
"280","2020-03-24",4.95
"281","2020-03-25",2.23
"282","2020-03-26",2.2
"283","2020-03-27",1.97
"284","2020-03-30",1.64
"285","2020-03-31",2.02
"286","2020-04-01",1.69
"287","2020-04-02",1.58
"288","2020-04-03",1.43
"289","2020-04-06",1.45
"290","2020-04-07",1.41
"291","2020-04-08",1.36
"292","2020-04-09",1.57
"293","2020-04-13",1.78
"294","2020-04-14",1.73
"295","2020-04-15",1.66
"296","2020-04-16",1.63
"297","2020-04-17",1.61
"298","2020-04-20",1.62
"299","2020-04-21",1.59
"300","2020-04-22",1.55
"301","2020-04-23",1.5
"302","2020-04-24",1.42
"303","2020-04-27",1.39
"304","2020-04-28",1.39
"305","2020-04-29",1.57
"306","2020-04-30",1.46
