"","date","FANH"
"1","2007-11-01",23.9
"2","2007-11-02",24.6
"3","2007-11-05",22.9
"4","2007-11-06",21.540001
"5","2007-11-07",19.610001
"6","2007-11-08",18.790001
"7","2007-11-09",18.700001
"8","2007-11-12",19.74
"9","2007-11-13",20.370001
"10","2007-11-14",19.25
"11","2007-11-15",18
"12","2007-11-16",17.280001
"13","2007-11-19",15.9
"14","2007-11-20",13.98
"15","2007-11-21",13
"16","2007-11-23",15.88
"17","2007-11-26",17.68
"18","2007-11-27",17.6
"19","2007-11-28",18.5
"20","2007-11-29",18.450001
"21","2007-11-30",17.950001
"22","2007-12-03",17
"23","2007-12-04",16.5
"24","2007-12-05",16.51
"25","2007-12-06",16.629999
"26","2007-12-07",17.26
"27","2007-12-10",17.6
"28","2007-12-11",18.9
"29","2007-12-12",18.700001
"30","2007-12-13",17.25
"31","2007-12-14",15.89
"32","2007-12-17",13.98
"33","2007-12-18",14.5
"34","2007-12-19",14.08
"35","2007-12-20",13.38
"36","2007-12-21",13.3
"37","2007-12-24",14.25
"38","2007-12-26",14.94
"39","2007-12-27",14.4
"40","2007-12-28",14
"41","2007-12-31",15.75
"42","2008-01-02",14.5
"43","2008-01-03",14
"44","2008-01-04",13.51
"45","2008-01-07",14.23
"46","2008-01-08",14.44
"47","2008-01-09",14.6
"48","2008-01-10",14.8
"49","2008-01-11",14.17
"50","2008-01-14",12.88
"51","2008-01-15",10.28
"52","2008-01-16",9.9
"53","2008-01-17",10.18
"54","2008-01-18",11.16
"55","2008-01-22",10.42
"56","2008-01-23",10.96
"57","2008-01-24",11.5
"58","2008-01-25",12.51
"59","2008-01-28",12.45
"60","2008-01-29",12.14
"61","2008-01-30",11.18
"62","2008-01-31",10.74
"63","2008-02-01",10.83
"64","2008-02-04",11.18
"65","2008-02-05",10.6
"66","2008-02-06",10.61
"67","2008-02-07",10.53
"68","2008-02-08",10.27
"69","2008-02-11",10.07
"70","2008-02-12",10.05
"71","2008-02-13",10.02
"72","2008-02-14",9.93
"73","2008-02-15",9.83
"74","2008-02-19",9.9
"75","2008-02-20",9.9
"76","2008-02-21",9.85
"77","2008-02-22",9.76
"78","2008-02-25",9.83
"79","2008-02-26",11.5
"80","2008-02-27",13.13
"81","2008-02-28",12.95
