"","date","YEXT"
"1","2017-04-13",13.41
"2","2017-04-17",13.55
"3","2017-04-18",14.01
"4","2017-04-19",14.04
"5","2017-04-20",13.81
"6","2017-04-21",13.44
"7","2017-04-24",13.74
"8","2017-04-25",13.72
"9","2017-04-26",13.81
"10","2017-04-27",14.63
"11","2017-04-28",14.84
"12","2017-05-01",14.63
"13","2017-05-02",14.23
"14","2017-05-03",13.92
"15","2017-05-04",13.83
"16","2017-05-05",13.91
"17","2017-05-08",13.9
"18","2017-05-09",13.9
"19","2017-05-10",14.03
"20","2017-05-11",13.92
"21","2017-05-12",13.73
"22","2017-05-15",13.63
"23","2017-05-16",13.18
"24","2017-05-17",13.27
"25","2017-05-18",13.22
"26","2017-05-19",13.27
"27","2017-05-22",13.29
"28","2017-05-23",13.3
"29","2017-05-24",13.21
"30","2017-05-25",13.15
"31","2017-05-26",13.75
"32","2017-05-30",14.07
"33","2017-05-31",14.74
"34","2017-06-01",14.79
"35","2017-06-02",13.03
"36","2017-06-05",12.6
"37","2017-06-06",12.92
"38","2017-06-07",12.64
"39","2017-06-08",12.58
"40","2017-06-09",12.21
"41","2017-06-12",12.31
"42","2017-06-13",12.57
"43","2017-06-14",12.97
"44","2017-06-15",13.01
"45","2017-06-16",13.37
"46","2017-06-19",13.51
"47","2017-06-20",13.12
"48","2017-06-21",13.08
"49","2017-06-22",13.24
"50","2017-06-23",13.23
"51","2017-06-26",13.2
"52","2017-06-27",13.01
"53","2017-06-28",13.24
"54","2017-06-29",13.09
"55","2017-06-30",13.33
"56","2017-07-03",13.02
"57","2017-07-05",13.2
"58","2017-07-06",13
"59","2017-07-07",13.18
"60","2017-07-10",12.99
"61","2017-07-11",13.05
"62","2017-07-12",13.32
"63","2017-07-13",13.53
"64","2017-07-14",13.78
"65","2017-07-17",13.85
"66","2017-07-18",14.12
"67","2017-07-19",14.46
"68","2017-07-20",13.88
"69","2017-07-21",13.71
"70","2017-07-24",13.8
"71","2017-07-25",13.63
"72","2017-07-26",13.61
"73","2017-07-27",13.11
"74","2017-07-28",13.12
"75","2017-07-31",13
"76","2017-08-01",12.82
"77","2017-08-02",12.79
"78","2017-08-03",12.78
"79","2017-08-04",12.79
"80","2017-08-07",13.86
"81","2017-08-08",13.67
"82","2017-08-09",13.59
