"","date","SRCE"
"1","2007-01-03",32.189999
"2","2007-01-04",32.360001
"3","2007-01-05",31.09
"4","2007-01-08",31.25
"5","2007-01-09",31.110001
"6","2007-01-10",30.98
"7","2007-01-11",30.879999
"8","2007-01-12",31.25
"9","2007-01-16",30.24
"10","2007-01-17",30.02
"11","2007-01-18",29.09
"12","2007-01-19",29.4
"13","2007-01-22",28.950001
"14","2007-01-23",28.99
"15","2007-01-24",29.209999
"16","2007-01-25",28.76
"17","2007-01-26",28.5
"18","2007-01-29",28.799999
"19","2007-01-30",29.02
"20","2007-01-31",28.870001
"21","2007-02-01",28.889999
"22","2007-02-02",29.26
"23","2007-02-05",29.26
"24","2007-02-06",29.23
"25","2007-02-07",29.299999
"26","2007-02-08",29.360001
"27","2007-02-09",29.129999
"28","2007-02-12",29.030001
"29","2007-02-13",29.27
"30","2007-02-14",28.9
"31","2007-02-15",28.389999
"32","2007-02-16",28.27
"33","2007-02-20",28.469999
"34","2007-02-21",28.389999
"35","2007-02-22",28.4
"36","2007-02-23",27.83
"37","2007-02-26",27.709999
"38","2007-02-27",25.780001
"39","2007-02-28",26.309999
"40","2007-03-01",26.57
"41","2007-03-02",25.959999
"42","2007-03-05",25.5
"43","2007-03-06",25.799999
"44","2007-03-07",25.370001
"45","2007-03-08",25.74
"46","2007-03-09",25.18
"47","2007-03-12",26.08
"48","2007-03-13",24.459999
"49","2007-03-14",25.01
"50","2007-03-15",25.209999
"51","2007-03-16",24.58
"52","2007-03-19",24.889999
"53","2007-03-20",25.91
"54","2007-03-21",26.74
"55","2007-03-22",27.219999
"56","2007-03-23",26.66
"57","2007-03-26",27.33
"58","2007-03-27",26.49
"59","2007-03-28",26.02
"60","2007-03-29",26.120001
"61","2007-03-30",26.17
"62","2007-04-02",26.219999
"63","2007-04-03",27.459999
"64","2007-04-04",27
"65","2007-04-05",26.73
"66","2007-04-09",25.959999
"67","2007-04-10",26.08
"68","2007-04-11",25.290001
"69","2007-04-12",25.370001
"70","2007-04-13",25.25
"71","2007-04-16",25.950001
"72","2007-04-17",25.17
"73","2007-04-18",24.77
"74","2007-04-19",24.43
"75","2007-04-20",24.790001
"76","2007-04-23",23.700001
"77","2007-04-24",23.540001
"78","2007-04-25",24.139999
"79","2007-04-26",24
"80","2007-04-27",24.059999
"81","2007-04-30",24.74
"82","2007-05-01",26.82
"83","2007-05-02",27.059999
"84","2007-05-03",26.82
"85","2007-05-04",26.84
"86","2007-05-07",26.459999
"87","2007-05-08",25.690001
"88","2007-05-09",25.809999
"89","2007-05-10",25.01
"90","2007-05-11",25.450001
"91","2007-05-14",25.48
"92","2007-05-15",24.530001
"93","2007-05-16",25.200001
"94","2007-05-17",25.049999
"95","2007-05-18",24.75
"96","2007-05-21",25.26
"97","2007-05-22",25.83
"98","2007-05-23",25.780001
"99","2007-05-24",25.280001
"100","2007-05-25",25.43
"101","2007-05-29",25.66
"102","2007-05-30",25.860001
"103","2007-05-31",26.200001
"104","2007-06-01",26.040001
"105","2007-06-04",25.969999
"106","2007-06-05",25.57
"107","2007-06-06",25.379999
"108","2007-06-07",25.290001
"109","2007-06-08",25.67
"110","2007-06-11",25.360001
"111","2007-06-12",25.15
"112","2007-06-13",25.68
"113","2007-06-14",25.790001
"114","2007-06-15",25.870001
"115","2007-06-18",25.58
"116","2007-06-19",26.129999
"117","2007-06-20",24.82
"118","2007-06-21",24.82
"119","2007-06-22",24.65
"120","2007-06-25",24.389999
