"","date","PBT"
"1","2007-01-03",16.02
"2","2007-01-04",15.44
"3","2007-01-05",15.31
"4","2007-01-08",15.56
"5","2007-01-09",15.45
"6","2007-01-10",15.5
"7","2007-01-11",15.41
"8","2007-01-12",15.4
"9","2007-01-16",15.25
"10","2007-01-17",15.39
"11","2007-01-18",15.33
"12","2007-01-19",15.67
"13","2007-01-22",15.6
"14","2007-01-23",15.87
"15","2007-01-24",15.74
"16","2007-01-25",15.65
"17","2007-01-26",15.77
"18","2007-01-29",15.62
"19","2007-01-30",15.86
"20","2007-01-31",15.9
"21","2007-02-01",15.81
"22","2007-02-02",15.7
"23","2007-02-05",15.74
"24","2007-02-06",15.67
"25","2007-02-07",15.5
"26","2007-02-08",15.5
"27","2007-02-09",15.41
"28","2007-02-12",15.29
"29","2007-02-13",15.4
"30","2007-02-14",15.39
"31","2007-02-15",15.16
"32","2007-02-16",15.04
"33","2007-02-20",14.89
"34","2007-02-21",14.83
"35","2007-02-22",15.14
"36","2007-02-23",15.18
"37","2007-02-26",15.06
"38","2007-02-27",14.66
"39","2007-02-28",14.77
"40","2007-03-01",14.58
"41","2007-03-02",14.55
"42","2007-03-05",13.9
"43","2007-03-06",14.08
"44","2007-03-07",14.17
"45","2007-03-08",13.95
"46","2007-03-09",14.02
"47","2007-03-12",14
"48","2007-03-13",13.77
"49","2007-03-14",13.74
"50","2007-03-15",13.86
"51","2007-03-16",13.66
"52","2007-03-19",13.28
"53","2007-03-20",13.6
"54","2007-03-21",14.04
"55","2007-03-22",14.44
"56","2007-03-23",14.57
"57","2007-03-26",14.85
"58","2007-03-27",14.85
"59","2007-03-28",14.62
"60","2007-03-29",14.57
"61","2007-03-30",14.76
"62","2007-04-02",14.77
"63","2007-04-03",14.56
"64","2007-04-04",14.48
"65","2007-04-05",14.4
"66","2007-04-09",14.38
"67","2007-04-10",14.52
"68","2007-04-11",14.55
"69","2007-04-12",14.58
"70","2007-04-13",14.53
"71","2007-04-16",14.59
"72","2007-04-17",14.62
"73","2007-04-18",14.63
"74","2007-04-19",14.62
"75","2007-04-20",14.35
"76","2007-04-23",14.42
"77","2007-04-24",14.6
"78","2007-04-25",14.51
"79","2007-04-26",14.11
"80","2007-04-27",14.06
"81","2007-04-30",14.2
"82","2007-05-01",14.11
"83","2007-05-02",13.84
"84","2007-05-03",13.83
"85","2007-05-04",13.9
"86","2007-05-07",13.68
"87","2007-05-08",13.72
"88","2007-05-09",13.57
"89","2007-05-10",13.58
"90","2007-05-11",13.54
"91","2007-05-14",13.6
"92","2007-05-15",13.35
"93","2007-05-16",13.2
"94","2007-05-17",13.72
"95","2007-05-18",13.77
"96","2007-05-21",13.91
"97","2007-05-22",13.93
"98","2007-05-23",13.89
"99","2007-05-24",13.55
"100","2007-05-25",13.56
"101","2007-05-29",13.38
"102","2007-05-30",13.55
"103","2007-05-31",13.74
