"","date","ATSG"
"1","2007-01-03",6.89
"2","2007-01-04",6.9
"3","2007-01-05",6.83
"4","2007-01-08",6.88
"5","2007-01-09",6.86
"6","2007-01-10",6.86
"7","2007-01-11",6.91
"8","2007-01-12",6.91
"9","2007-01-16",6.92
"10","2007-01-17",6.86
"11","2007-01-18",6.88
"12","2007-01-19",7.01
"13","2007-01-22",6.72
"14","2007-01-23",6.72
"15","2007-01-24",6.68
"16","2007-01-25",6.62
"17","2007-01-26",6.6
"18","2007-01-29",6.9
"19","2007-01-30",6.83
"20","2007-01-31",6.83
"21","2007-02-01",6.97
"22","2007-02-02",6.97
"23","2007-02-05",7.03
"24","2007-02-06",7.02
"25","2007-02-07",6.87
"26","2007-02-08",7
"27","2007-02-09",6.95
"28","2007-02-12",6.94
"29","2007-02-13",6.97
"30","2007-02-14",6.99
"31","2007-02-15",7
"32","2007-02-16",7.19
"33","2007-02-20",7.08
"34","2007-02-21",7.22
"35","2007-02-22",7.65
"36","2007-02-23",7.86
"37","2007-02-26",7.83
"38","2007-02-27",7.67
"39","2007-02-28",7.45
"40","2007-03-01",7.53
"41","2007-03-02",7.36
"42","2007-03-05",7.26
"43","2007-03-06",7.22
"44","2007-03-07",7.06
"45","2007-03-08",7.1
"46","2007-03-09",7.14
"47","2007-03-12",7.16
"48","2007-03-13",7.01
"49","2007-03-14",7.11
"50","2007-03-15",7.12
"51","2007-03-16",7.07
"52","2007-03-19",6.97
"53","2007-03-20",7.05
"54","2007-03-21",7.14
"55","2007-03-22",7.18
"56","2007-03-23",7.13
"57","2007-03-26",7.12
"58","2007-03-27",7.05
"59","2007-03-28",7.02
"60","2007-03-29",6.89
"61","2007-03-30",6.85
"62","2007-04-02",6.89
"63","2007-04-03",7
"64","2007-04-04",6.92
"65","2007-04-05",6.91
"66","2007-04-09",6.81
"67","2007-04-10",6.73
"68","2007-04-11",6.76
"69","2007-04-12",6.8
"70","2007-04-13",7.03
"71","2007-04-16",7.1
"72","2007-04-17",6.89
"73","2007-04-18",6.89
"74","2007-04-19",6.77
"75","2007-04-20",6.88
"76","2007-04-23",6.87
"77","2007-04-24",6.78
"78","2007-04-25",6.77
"79","2007-04-26",6.74
"80","2007-04-27",6.61
"81","2007-04-30",6.52
"82","2007-05-01",6.45
"83","2007-05-02",6.56
"84","2007-05-03",6.57
"85","2007-05-04",6.64
"86","2007-05-07",6.57
"87","2007-05-08",6.54
"88","2007-05-09",6.35
"89","2007-05-10",6.35
"90","2007-05-11",6.63
"91","2007-05-14",6.7
"92","2007-05-15",6.51
"93","2007-05-16",6.6
"94","2007-05-17",6.51
"95","2007-05-18",6.5
"96","2007-05-21",6.55
"97","2007-05-22",6.54
"98","2007-05-23",6.42
"99","2007-05-24",6.41
"100","2007-05-25",6.42
"101","2007-05-29",6.51
"102","2007-05-30",6.38
"103","2007-05-31",6.32
"104","2007-06-01",6.38
"105","2007-06-04",6.1
"106","2007-06-05",6.02
"107","2007-06-06",6.2
"108","2007-06-07",6.21
"109","2007-06-08",6.43
