"","date","SCVX"
"1","2020-03-20",9.2
"2","2020-03-23",9.44
"3","2020-03-24",9.44
"4","2020-03-25",9.2
"5","2020-03-26",9.5
"6","2020-03-27",9.5
"7","2020-03-30",9.5
"8","2020-03-31",9.5
"9","2020-04-01",9.5
"10","2020-04-02",9.5
"11","2020-04-03",9.5
"12","2020-04-06",9.5
"13","2020-04-07",9.5
"14","2020-04-08",9.5
"15","2020-04-09",9.5
"16","2020-04-13",9.5
"17","2020-04-14",9.66
"18","2020-04-15",9.66
"19","2020-04-16",9.66
"20","2020-04-17",9.66
"21","2020-04-20",9.65
"22","2020-04-21",9.74
"23","2020-04-22",9.74
"24","2020-04-23",9.8
"25","2020-04-24",9.8
"26","2020-04-27",9.7
"27","2020-04-28",9.7
"28","2020-04-29",9.7
"29","2020-04-30",9.75
"30","2020-05-01",9.8
"31","2020-05-04",9.685
"32","2020-05-05",9.67
"33","2020-05-06",9.7
"34","2020-05-07",9.9
"35","2020-05-08",9.88
"36","2020-05-11",9.88
"37","2020-05-12",9.83
"38","2020-05-13",9.83
"39","2020-05-14",9.85
"40","2020-05-15",9.74
"41","2020-05-18",9.76
"42","2020-05-19",9.73
"43","2020-05-20",9.756
"44","2020-05-21",9.73
"45","2020-05-22",9.72
"46","2020-05-26",9.73
"47","2020-05-27",9.75
"48","2020-05-28",9.75
"49","2020-05-29",9.75
"50","2020-06-01",9.74
"51","2020-06-02",9.72
"52","2020-06-03",9.72
"53","2020-06-04",9.72
"54","2020-06-05",9.73
"55","2020-06-08",9.73
"56","2020-06-09",9.793
"57","2020-06-10",9.78
"58","2020-06-11",9.75
"59","2020-06-12",9.78
"60","2020-06-15",9.72
"61","2020-06-16",9.9
"62","2020-06-17",9.9
"63","2020-06-18",10.01
"64","2020-06-19",10
"65","2020-06-22",9.94
"66","2020-06-23",9.95
"67","2020-06-24",10.01
"68","2020-06-25",9.95
"69","2020-06-26",9.96
"70","2020-06-29",9.95
"71","2020-06-30",9.96
"72","2020-07-01",9.97
"73","2020-07-02",9.98
"74","2020-07-06",10.015
"75","2020-07-07",9.99
"76","2020-07-08",10
"77","2020-07-09",10.012
"78","2020-07-10",10.12
"79","2020-07-13",10.09
"80","2020-07-14",10.13
"81","2020-07-15",10.1
"82","2020-07-16",10.2
"83","2020-07-17",10.25
"84","2020-07-20",10.28
"85","2020-07-21",10.28
"86","2020-07-22",10.6
"87","2020-07-23",10.386
"88","2020-07-24",10.45
"89","2020-07-27",10.4
"90","2020-07-28",10.44
"91","2020-07-29",10.29
"92","2020-07-30",10.341
"93","2020-07-31",10.15
"94","2020-08-03",10.15
"95","2020-08-04",10.079
"96","2020-08-05",10.05
"97","2020-08-06",10.06
"98","2020-08-07",10.08
"99","2020-08-10",10.07
"100","2020-08-11",10.69
"101","2020-08-12",10.15
"102","2020-08-13",10
"103","2020-08-14",10
"104","2020-08-17",10
"105","2020-08-18",9.945
"106","2020-08-19",9.9
"107","2020-08-20",9.9
"108","2020-08-21",9.89
"109","2020-08-24",9.9
"110","2020-08-25",9.9
"111","2020-08-26",9.9
"112","2020-08-27",9.86
"113","2020-08-28",9.86
"114","2020-08-31",9.89
"115","2020-09-01",9.88
"116","2020-09-02",9.88
"117","2020-09-03",10
"118","2020-09-04",9.996
"119","2020-09-08",10.055
"120","2020-09-09",10.17
"121","2020-09-10",10.05
"122","2020-09-11",10.02
"123","2020-09-14",10.02
"124","2020-09-15",10.06
"125","2020-09-16",10.09
"126","2020-09-17",10.29
"127","2020-09-18",10.25
"128","2020-09-21",10.15
"129","2020-09-22",10.15
"130","2020-09-23",10.15
"131","2020-09-24",10.126
"132","2020-09-25",10.09
"133","2020-09-28",10.17
"134","2020-09-29",10.14
"135","2020-09-30",10
"136","2020-10-01",10.06
"137","2020-10-02",10.02
"138","2020-10-05",10
"139","2020-10-06",9.96
"140","2020-10-07",9.99
"141","2020-10-08",9.97
"142","2020-10-09",10.02
"143","2020-10-12",10
"144","2020-10-13",10
"145","2020-10-14",9.97
"146","2020-10-15",10
"147","2020-10-16",10
"148","2020-10-19",10.03
"149","2020-10-20",10
"150","2020-10-21",10.02
"151","2020-10-22",9.97
"152","2020-10-23",10
"153","2020-10-26",9.95
"154","2020-10-27",9.92
"155","2020-10-28",9.91
"156","2020-10-29",9.9
"157","2020-10-30",9.88
"158","2020-11-02",9.88
"159","2020-11-03",9.94
"160","2020-11-04",9.92
"161","2020-11-05",9.95
"162","2020-11-06",9.95
"163","2020-11-09",9.915
"164","2020-11-10",9.92
"165","2020-11-11",9.98
"166","2020-11-12",10
"167","2020-11-13",10.005
"168","2020-11-16",10.01
"169","2020-11-17",9.995
"170","2020-11-18",10.019
"171","2020-11-19",10.026
"172","2020-11-20",10.082
"173","2020-11-23",10.106
"174","2020-11-24",10.18
"175","2020-11-25",10.05
"176","2020-11-27",10.13
