"","date","NEX"
"1","2017-01-20",21.65
"2","2017-01-23",20.610001
"3","2017-01-24",21
"4","2017-01-25",22.02
"5","2017-01-26",21.65
"6","2017-01-27",22.139999
"7","2017-01-30",22.16
"8","2017-01-31",22.09
"9","2017-02-01",22.18
"10","2017-02-02",21.450001
"11","2017-02-03",21.620001
"12","2017-02-06",21.26
"13","2017-02-07",21.040001
"14","2017-02-08",20.629999
"15","2017-02-09",21.219999
"16","2017-02-10",21.370001
"17","2017-02-13",21.620001
"18","2017-02-14",21.57
"19","2017-02-15",20.639999
"20","2017-02-16",20.389999
"21","2017-02-17",19.469999
"22","2017-02-21",19.74
"23","2017-02-22",19.860001
"24","2017-02-23",18.950001
"25","2017-02-24",18.200001
"26","2017-02-27",18.07
"27","2017-02-28",17.52
"28","2017-03-01",17.950001
"29","2017-03-02",17.77
"30","2017-03-03",17.219999
"31","2017-03-06",17.08
"32","2017-03-07",17.049999
"33","2017-03-08",15.94
"34","2017-03-09",15.3
"35","2017-03-10",15.6
"36","2017-03-13",15.98
"37","2017-03-14",15.5
"38","2017-03-15",16.6
"39","2017-03-16",16.68
"40","2017-03-17",16.27
"41","2017-03-20",16.16
"42","2017-03-21",15.9
"43","2017-03-22",15.84
"44","2017-03-23",15.8
"45","2017-03-24",15.21
"46","2017-03-27",14.18
"47","2017-03-28",14.62
"48","2017-03-29",14.82
"49","2017-03-30",14.51
"50","2017-03-31",14.3
"51","2017-04-03",14.49
"52","2017-04-04",14.65
"53","2017-04-05",14.19
"54","2017-04-06",14.66
"55","2017-04-07",14.6
"56","2017-04-10",15.47
"57","2017-04-11",15.71
"58","2017-04-12",15.7
"59","2017-04-13",15.42
"60","2017-04-17",15.07
"61","2017-04-18",14.81
"62","2017-04-19",14.27
"63","2017-04-20",13.92
"64","2017-04-21",13.77
"65","2017-04-24",13.87
"66","2017-04-25",14.05
"67","2017-04-26",14.77
"68","2017-04-27",14.44
"69","2017-04-28",13.82
"70","2017-05-01",13.51
"71","2017-05-02",13.56
"72","2017-05-03",13.25
"73","2017-05-04",12.51
"74","2017-05-05",13.29
"75","2017-05-08",13.25
"76","2017-05-09",13.2
"77","2017-05-10",13.93
"78","2017-05-11",13.9
"79","2017-05-12",13.95
"80","2017-05-15",14.49
"81","2017-05-16",14.26
"82","2017-05-17",14.18
"83","2017-05-18",14.63
"84","2017-05-19",16.059999
"85","2017-05-22",16.34
"86","2017-05-23",16.1
"87","2017-05-24",16.16
"88","2017-05-25",15.85
"89","2017-05-26",16.110001
"90","2017-05-30",15.35
"91","2017-05-31",15.38
"92","2017-06-01",15.78
"93","2017-06-02",15.59
"94","2017-06-05",15.28
"95","2017-06-06",15.64
"96","2017-06-07",14.77
"97","2017-06-08",14.64
"98","2017-06-09",15.32
"99","2017-06-12",15.55
"100","2017-06-13",16.219999
"101","2017-06-14",15.47
"102","2017-06-15",14.72
"103","2017-06-16",15.12
"104","2017-06-19",15.09
"105","2017-06-20",14.6
"106","2017-06-21",13.81
"107","2017-06-22",13.74
"108","2017-06-23",13.97
"109","2017-06-26",14.45
"110","2017-06-27",14.59
"111","2017-06-28",15.07
"112","2017-06-29",15.87
"113","2017-06-30",16
"114","2017-07-03",16.290001
"115","2017-07-05",15.51
"116","2017-07-06",15.44
"117","2017-07-07",15.19
"118","2017-07-10",15.71
"119","2017-07-11",15.73
"120","2017-07-12",15.52
"121","2017-07-13",15.82
"122","2017-07-14",16.15
"123","2017-07-17",16.309999
"124","2017-07-18",15.9
"125","2017-07-19",16.469999
"126","2017-07-20",16.18
"127","2017-07-21",15.36
"128","2017-07-24",14.71
"129","2017-07-25",15.34
"130","2017-07-26",15.68
"131","2017-07-27",15.8
"132","2017-07-28",15.58
"133","2017-07-31",15.33
"134","2017-08-01",15.17
"135","2017-08-02",15.47
"136","2017-08-03",15.25
"137","2017-08-04",15.49
"138","2017-08-07",14.88
"139","2017-08-08",14.53
"140","2017-08-09",14.43
"141","2017-08-10",14.3
"142","2017-08-11",14.03
"143","2017-08-14",13.82
"144","2017-08-15",13.46
"145","2017-08-16",13.16
"146","2017-08-17",13.28
"147","2017-08-18",13.31
"148","2017-08-21",13.09
"149","2017-08-22",13.14
"150","2017-08-23",13.16
"151","2017-08-24",13.08
"152","2017-08-25",13.41
"153","2017-08-28",13.07
"154","2017-08-29",13.18
"155","2017-08-30",12.62
"156","2017-08-31",12.95
"157","2017-09-01",12.89
"158","2017-09-05",13.23
"159","2017-09-06",13.44
"160","2017-09-07",13.34
"161","2017-09-08",12.79
"162","2017-09-11",12.89
"163","2017-09-12",13.47
"164","2017-09-13",13.74
"165","2017-09-14",14.13
"166","2017-09-15",14.15
"167","2017-09-18",14.93
"168","2017-09-19",14.98
"169","2017-09-20",15.4
"170","2017-09-21",15.35
"171","2017-09-22",15.52
"172","2017-09-25",16.049999
"173","2017-09-26",16.309999
"174","2017-09-27",16.49
"175","2017-09-28",16.690001
"176","2017-09-29",16.68
"177","2017-10-02",16.65
"178","2017-10-03",17.030001
"179","2017-10-04",17.01
"180","2017-10-05",17.190001
"181","2017-10-06",16.110001
"182","2017-10-09",16.309999
"183","2017-10-10",16.23
"184","2017-10-11",16.530001
"185","2017-10-12",15.97
"186","2017-10-13",15.99
"187","2017-10-16",15.89
"188","2017-10-17",15.86
"189","2017-10-18",15.49
"190","2017-10-19",15.13
"191","2017-10-20",15.05
"192","2017-10-23",14.66
"193","2017-10-24",14.49
"194","2017-10-25",14.11
"195","2017-10-26",14.36
"196","2017-10-27",14.88
"197","2017-10-30",15.1
"198","2017-10-31",15.44
"199","2017-11-01",15.56
"200","2017-11-02",14.52
"201","2017-11-03",14.82
"202","2017-11-06",15.73
"203","2017-11-07",15.81
"204","2017-11-08",15.84
"205","2017-11-09",15.95
"206","2017-11-10",15.47
"207","2017-11-13",15.43
"208","2017-11-14",14.57
"209","2017-11-15",14.26
"210","2017-11-16",14.32
"211","2017-11-17",14.59
"212","2017-11-20",14.3
"213","2017-11-21",14.46
"214","2017-11-22",14.31
"215","2017-11-24",14.81
"216","2017-11-27",14.76
"217","2017-11-28",15.11
"218","2017-11-29",14.93
"219","2017-11-30",14.96
"220","2017-12-01",15.64
"221","2017-12-04",15.22
