"","date","CVNA"
"1","2017-04-28",11.1
"2","2017-05-01",10.77
"3","2017-05-02",10.1
"4","2017-05-03",8.72
"5","2017-05-04",9.98
"6","2017-05-05",10.92
"7","2017-05-08",10.8
"8","2017-05-09",10.55
"9","2017-05-10",10.74
"10","2017-05-11",11
"11","2017-05-12",11.35
"12","2017-05-15",11.52
"13","2017-05-16",11.76
"14","2017-05-17",11.66
"15","2017-05-18",11.52
"16","2017-05-19",11.4
"17","2017-05-22",11.08
"18","2017-05-23",10.81
"19","2017-05-24",10.91
"20","2017-05-25",10.65
"21","2017-05-26",10.73
"22","2017-05-30",10.18
"23","2017-05-31",10.05
"24","2017-06-01",9.33
"25","2017-06-02",9.53
"26","2017-06-05",9
"27","2017-06-06",9.53
"28","2017-06-07",12.66
"29","2017-06-08",13.2
"30","2017-06-09",13.3
"31","2017-06-12",14
"32","2017-06-13",15.11
"33","2017-06-14",16.700001
"34","2017-06-15",17.68
"35","2017-06-16",19.309999
"36","2017-06-19",19.540001
"37","2017-06-20",18.91
"38","2017-06-21",19.530001
"39","2017-06-22",21.139999
"40","2017-06-23",21.43
"41","2017-06-26",23.389999
"42","2017-06-27",22.17
"43","2017-06-28",20.66
"44","2017-06-29",20.6
"45","2017-06-30",20.469999
"46","2017-07-03",19.209999
"47","2017-07-05",21.18
"48","2017-07-06",20.18
"49","2017-07-07",21
"50","2017-07-10",21.99
"51","2017-07-11",21.559999
"52","2017-07-12",22.4
"53","2017-07-13",22.98
"54","2017-07-14",22.93
"55","2017-07-17",21.799999
"56","2017-07-18",21.530001
"57","2017-07-19",22.26
"58","2017-07-20",21.6
"59","2017-07-21",21.4
"60","2017-07-24",21.620001
"61","2017-07-25",20.870001
"62","2017-07-26",21.35
"63","2017-07-27",20.99
"64","2017-07-28",20.41
"65","2017-07-31",19.52
"66","2017-08-01",18.709999
"67","2017-08-02",19.059999
"68","2017-08-03",17.41
"69","2017-08-04",18.02
"70","2017-08-07",18.57
"71","2017-08-08",19.23
"72","2017-08-09",18.09
"73","2017-08-10",17.209999
"74","2017-08-11",16.33
"75","2017-08-14",15.37
"76","2017-08-15",14.79
"77","2017-08-16",15.15
"78","2017-08-17",15.18
"79","2017-08-18",14.21
"80","2017-08-21",14.62
"81","2017-08-22",15.51
"82","2017-08-23",15.94
"83","2017-08-24",15.92
"84","2017-08-25",14.84
"85","2017-08-28",15.5
"86","2017-08-29",15.74
"87","2017-08-30",17.530001
"88","2017-08-31",17.85
"89","2017-09-01",17.34
"90","2017-09-05",16.74
"91","2017-09-06",17.870001
"92","2017-09-07",18.75
"93","2017-09-08",18.4
"94","2017-09-11",18.43
"95","2017-09-12",18.52
"96","2017-09-13",18.049999
"97","2017-09-14",18.139999
"98","2017-09-15",17.66
"99","2017-09-18",16.33
"100","2017-09-19",16.690001
"101","2017-09-20",17.59
"102","2017-09-21",16.809999
"103","2017-09-22",16.17
"104","2017-09-25",16.5
"105","2017-09-26",16.02
"106","2017-09-27",15.5
"107","2017-09-28",14.9
"108","2017-09-29",14.68
"109","2017-10-02",15.65
"110","2017-10-03",15.43
"111","2017-10-04",15.38
"112","2017-10-05",15.45
"113","2017-10-06",15.26
"114","2017-10-09",14.81
"115","2017-10-10",13.9
"116","2017-10-11",14.25
"117","2017-10-12",14.01
"118","2017-10-13",14.02
"119","2017-10-16",14
"120","2017-10-17",13.99
"121","2017-10-18",13.99
"122","2017-10-19",13.46
"123","2017-10-20",13.34
"124","2017-10-23",13.03
"125","2017-10-24",13.64
"126","2017-10-25",13.03
"127","2017-10-26",12.65
"128","2017-10-27",12.76
"129","2017-10-30",12.5
"130","2017-10-31",14.18
"131","2017-11-01",14.01
"132","2017-11-02",14
"133","2017-11-03",14.06
