"","date","ATLO"
"1","2007-01-03",21
"2","2007-01-04",21.52
"3","2007-01-05",21.99
"4","2007-01-08",21.9
"5","2007-01-09",22
"6","2007-01-10",22.030001
"7","2007-01-11",22.030001
"8","2007-01-12",22.110001
"9","2007-01-16",22.389999
"10","2007-01-17",22.389999
"11","2007-01-18",22.1
"12","2007-01-19",21.74
"13","2007-01-22",21.76
"14","2007-01-23",21.57
"15","2007-01-24",21.049999
"16","2007-01-25",21.049999
"17","2007-01-26",21.35
"18","2007-01-29",21.440001
"19","2007-01-30",20.860001
"20","2007-01-31",21.049999
"21","2007-02-01",20.99
"22","2007-02-02",20.98
"23","2007-02-05",20.799999
"24","2007-02-06",21
"25","2007-02-07",21.01
"26","2007-02-08",21.15
"27","2007-02-09",21.48
"28","2007-02-12",21.5
"29","2007-02-13",21.5
"30","2007-02-14",21.5
"31","2007-02-15",21.700001
"32","2007-02-16",21.790001
"33","2007-02-20",21.48
"34","2007-02-21",21.75
"35","2007-02-22",21.75
"36","2007-02-23",21.75
"37","2007-02-26",21.73
"38","2007-02-27",21.73
"39","2007-02-28",21.51
"40","2007-03-01",21.49
"41","2007-03-02",21.49
"42","2007-03-05",21.49
"43","2007-03-06",21.610001
"44","2007-03-07",21.690001
"45","2007-03-08",21.459999
"46","2007-03-09",21.700001
"47","2007-03-12",22
"48","2007-03-13",21.02
"49","2007-03-14",20.85
"50","2007-03-15",20.85
"51","2007-03-16",20.85
"52","2007-03-19",21.870001
"53","2007-03-20",21.870001
"54","2007-03-21",21.209999
"55","2007-03-22",21.07
"56","2007-03-23",21.280001
"57","2007-03-26",21.059999
"58","2007-03-27",21.059999
"59","2007-03-28",21.120001
"60","2007-03-29",21.120001
"61","2007-03-30",21.23
"62","2007-04-02",21.01
"63","2007-04-03",21.01
"64","2007-04-04",21.01
"65","2007-04-05",21.120001
"66","2007-04-09",21
"67","2007-04-10",21
"68","2007-04-11",21.559999
"69","2007-04-12",21.950001
"70","2007-04-13",22
"71","2007-04-16",22
"72","2007-04-17",21.4
"73","2007-04-18",21.5
"74","2007-04-19",21.790001
"75","2007-04-20",21.799999
"76","2007-04-23",22.059999
"77","2007-04-24",22
"78","2007-04-25",21.9
"79","2007-04-26",22.209999
"80","2007-04-27",22.35
"81","2007-04-30",22.309999
"82","2007-05-01",22.49
"83","2007-05-02",22.139999
"84","2007-05-03",22.5
"85","2007-05-04",22.5
"86","2007-05-07",21.93
"87","2007-05-08",21.93
"88","2007-05-09",21.93
"89","2007-05-10",21.76
"90","2007-05-11",21.879999
"91","2007-05-14",22.07
"92","2007-05-15",22
"93","2007-05-16",22.24
"94","2007-05-17",22.24
"95","2007-05-18",22
"96","2007-05-21",21.84
"97","2007-05-22",22.299999
"98","2007-05-23",22.43
"99","2007-05-24",22.43
"100","2007-05-25",22.25
"101","2007-05-29",22
"102","2007-05-30",21.780001
"103","2007-05-31",21.780001
"104","2007-06-01",21.780001
"105","2007-06-04",21.82
"106","2007-06-05",21.82
"107","2007-06-06",21.76
"108","2007-06-07",21.700001
"109","2007-06-08",21.51
"110","2007-06-11",21.65
"111","2007-06-12",21.5
"112","2007-06-13",21.5
"113","2007-06-14",21.66
"114","2007-06-15",21.68
"115","2007-06-18",21.5
"116","2007-06-19",21.52
"117","2007-06-20",21.52
"118","2007-06-21",21.700001
"119","2007-06-22",21.51
"120","2007-06-25",21.51
"121","2007-06-26",21.700001
"122","2007-06-27",21.51
"123","2007-06-28",21.51
"124","2007-06-29",21.51
"125","2007-07-02",21.700001
"126","2007-07-03",21.700001
"127","2007-07-05",21.700001
"128","2007-07-06",21.700001
"129","2007-07-09",21.51
"130","2007-07-10",21.5
"131","2007-07-11",21.5
"132","2007-07-12",21.66
"133","2007-07-13",21.5
"134","2007-07-16",21.5
"135","2007-07-17",21.51
"136","2007-07-18",21.450001
"137","2007-07-19",21.15
"138","2007-07-20",21.15
"139","2007-07-23",21
"140","2007-07-24",21
"141","2007-07-25",20.309999
"142","2007-07-26",19.799999
"143","2007-07-27",19.780001
"144","2007-07-30",20
"145","2007-07-31",20
"146","2007-08-01",19.76
"147","2007-08-02",20
"148","2007-08-03",19.82
"149","2007-08-06",20.059999
"150","2007-08-07",20.190001
"151","2007-08-08",19.82
"152","2007-08-09",19.969999
"153","2007-08-10",20
"154","2007-08-13",21.15
"155","2007-08-14",20.5
"156","2007-08-15",21
"157","2007-08-16",21
"158","2007-08-17",21
"159","2007-08-20",20.700001
"160","2007-08-21",20.700001
"161","2007-08-22",20.360001
"162","2007-08-23",20.059999
"163","2007-08-24",19.9
"164","2007-08-27",19.9
"165","2007-08-28",19.9
"166","2007-08-29",19.75
"167","2007-08-30",19.5
"168","2007-08-31",19.549999
"169","2007-09-04",19.66
"170","2007-09-05",19.6
"171","2007-09-06",20.5
"172","2007-09-07",19.99
