"","date","DKS"
"1","2007-01-03",24.455
"2","2007-01-04",24.959999
"3","2007-01-05",24.790001
"4","2007-01-08",24.754999
"5","2007-01-09",25.120001
"6","2007-01-10",25.115
"7","2007-01-11",25.65
"8","2007-01-12",26.184999
"9","2007-01-16",25.985001
"10","2007-01-17",26
"11","2007-01-18",25.795
"12","2007-01-19",25.49
"13","2007-01-22",24.834999
"14","2007-01-23",24.700001
"15","2007-01-24",24.639999
"16","2007-01-25",24.32
"17","2007-01-26",25.094999
"18","2007-01-29",25.43
"19","2007-01-30",25.565001
"20","2007-01-31",25.745001
"21","2007-02-01",26.565001
"22","2007-02-02",26.415001
"23","2007-02-05",26.15
"24","2007-02-06",26.280001
"25","2007-02-07",26.540001
"26","2007-02-08",26.379999
"27","2007-02-09",25.855
"28","2007-02-12",25.91
"29","2007-02-13",26.004999
"30","2007-02-14",26.424999
"31","2007-02-15",26.610001
"32","2007-02-16",27.08
"33","2007-02-20",27.57
"34","2007-02-21",27.42
"35","2007-02-22",27.34
"36","2007-02-23",27.174999
"37","2007-02-26",27.174999
"38","2007-02-27",26.025
"39","2007-02-28",26.139999
"40","2007-03-01",25.77
"41","2007-03-02",25.26
"42","2007-03-05",24.665001
"43","2007-03-06",25.905001
"44","2007-03-07",26.209999
"45","2007-03-08",26.285
"46","2007-03-09",26.57
"47","2007-03-12",26.945
"48","2007-03-13",27.219999
"49","2007-03-14",27.52
"50","2007-03-15",27.695
"51","2007-03-16",27.49
"52","2007-03-19",27.870001
"53","2007-03-20",28.23
"54","2007-03-21",28.26
"55","2007-03-22",28.504999
"56","2007-03-23",28.75
"57","2007-03-26",29.275
"58","2007-03-27",28.985001
"59","2007-03-28",29.280001
"60","2007-03-29",29.245001
"61","2007-03-30",29.129999
"62","2007-04-02",29.275
"63","2007-04-03",29.540001
"64","2007-04-04",29.299999
"65","2007-04-05",29.32
"66","2007-04-09",29.33
"67","2007-04-10",29.219999
"68","2007-04-11",29.065001
"69","2007-04-12",29.25
"70","2007-04-13",28.885
"71","2007-04-16",29.139999
"72","2007-04-17",28.955
"73","2007-04-18",28.424999
"74","2007-04-19",28.385
"75","2007-04-20",28.475
"76","2007-04-23",28.950001
"77","2007-04-24",28.48
"78","2007-04-25",28.305
"79","2007-04-26",28.48
"80","2007-04-27",28.795
"81","2007-04-30",28.045
"82","2007-05-01",27.719999
"83","2007-05-02",27.875
"84","2007-05-03",27.445
"85","2007-05-04",27.280001
"86","2007-05-07",27.285
"87","2007-05-08",27.205
"88","2007-05-09",27.465
"89","2007-05-10",26.91
"90","2007-05-11",25.955
"91","2007-05-14",25.825001
"92","2007-05-15",25.110001
"93","2007-05-16",25.895
"94","2007-05-17",26.135
"95","2007-05-18",26.745001
"96","2007-05-21",27.264999
"97","2007-05-22",27.075001
"98","2007-05-23",27.549999
"99","2007-05-24",27.415001
"100","2007-05-25",27.110001
"101","2007-05-29",26.965
"102","2007-05-30",27.625
"103","2007-05-31",27.785
"104","2007-06-01",27.645
"105","2007-06-04",27.459999
"106","2007-06-05",27.190001
"107","2007-06-06",26.825001
"108","2007-06-07",26.389999
"109","2007-06-08",26.799999
"110","2007-06-11",26.465
"111","2007-06-12",26.200001
"112","2007-06-13",27.184999
"113","2007-06-14",27.200001
"114","2007-06-15",27.51
"115","2007-06-18",27.389999
"116","2007-06-19",27.610001
"117","2007-06-20",27.674999
"118","2007-06-21",27.860001
"119","2007-06-22",27.52
"120","2007-06-25",27.525
"121","2007-06-26",27.315001
"122","2007-06-27",28.02
"123","2007-06-28",28.504999
