"","date","CALT"
"1","2020-06-05",19.6
"2","2020-06-08",20.190001
"3","2020-06-09",20.17
"4","2020-06-10",19.959999
"5","2020-06-11",19.4
"6","2020-06-12",19.5
"7","2020-06-15",19.389999
"8","2020-06-16",19.48
"9","2020-06-17",19.379999
"10","2020-06-18",19.25
"11","2020-06-19",19.17
"12","2020-06-22",19.379999
"13","2020-06-23",19.780001
"14","2020-06-24",19.889999
"15","2020-06-25",19.190001
"16","2020-06-26",19.709999
"17","2020-06-29",19.950001
"18","2020-06-30",23.200001
"19","2020-07-01",23.605
"20","2020-07-02",22.219999
"21","2020-07-06",23.48
"22","2020-07-07",22.82
"23","2020-07-08",23.57
"24","2020-07-09",23.780001
"25","2020-07-10",23.344999
"26","2020-07-13",22.76
"27","2020-07-14",22.98
"28","2020-07-15",23.35
"29","2020-07-16",23.58
"30","2020-07-17",23.76
"31","2020-07-20",24.82
"32","2020-07-21",25.1
"33","2020-07-22",25.690001
"34","2020-07-23",24.08
"35","2020-07-24",23.690001
"36","2020-07-27",24.049999
"37","2020-07-28",23.82
"38","2020-07-29",21.610001
"39","2020-07-30",22.540001
"40","2020-07-31",22.85
"41","2020-08-03",22.860001
"42","2020-08-04",22.440001
"43","2020-08-05",23.49
"44","2020-08-06",21.91
"45","2020-08-07",22.17
"46","2020-08-10",23.25
"47","2020-08-11",22.43
"48","2020-08-12",23.059999
"49","2020-08-13",22.030001
"50","2020-08-14",23.6
"51","2020-08-17",24.030001
"52","2020-08-18",24.075001
"53","2020-08-19",24.299999
"54","2020-08-20",24.33
"55","2020-08-21",22.469999
"56","2020-08-24",22.66
"57","2020-08-25",23.440001
"58","2020-08-26",23.129999
"59","2020-08-27",23.49
"60","2020-08-28",23.34
"61","2020-08-31",22.709999
"62","2020-09-01",22.85
"63","2020-09-02",23.040001
"64","2020-09-03",22.49
"65","2020-09-04",22.469999
"66","2020-09-08",22.5
"67","2020-09-09",22.65
"68","2020-09-10",22.5
"69","2020-09-11",22.540001
"70","2020-09-14",22.790001
"71","2020-09-15",22.709999
"72","2020-09-16",23.440001
"73","2020-09-17",24.799999
"74","2020-09-18",23.799999
"75","2020-09-21",24.5
"76","2020-09-22",24.5
"77","2020-09-23",23.42
"78","2020-09-24",22.6
"79","2020-09-25",23.42
"80","2020-09-28",24
"81","2020-09-29",23.42
"82","2020-09-30",24
"83","2020-10-01",24.08
"84","2020-10-02",23.530001
"85","2020-10-05",24.99
"86","2020-10-06",24.610001
"87","2020-10-07",25.09
"88","2020-10-08",25.93
"89","2020-10-09",28.26
"90","2020-10-12",29.24
"91","2020-10-13",29.57
"92","2020-10-14",29.5
"93","2020-10-15",29.23
"94","2020-10-16",28.99
"95","2020-10-19",27.6
"96","2020-10-20",27.879999
"97","2020-10-21",27.040001
"98","2020-10-22",27.34
"99","2020-10-23",26
"100","2020-10-26",25.27
"101","2020-10-27",25.09
"102","2020-10-28",23.459999
"103","2020-10-29",23.75
"104","2020-10-30",23.34
"105","2020-11-02",23.690001
"106","2020-11-03",24.23
"107","2020-11-04",25.700001
"108","2020-11-05",25.51
"109","2020-11-06",25.17
"110","2020-11-09",33.950001
"111","2020-11-10",34.66
"112","2020-11-11",33.5
"113","2020-11-12",32.700001
"114","2020-11-13",32.5
"115","2020-11-16",32.959999
"116","2020-11-17",32.529999
"117","2020-11-18",32.759998
"118","2020-11-19",32.619999
"119","2020-11-20",33
"120","2020-11-23",32.23
"121","2020-11-24",32.299999
"122","2020-11-25",32.68
"123","2020-11-27",33.169998
