"","date","CSPI"
"1","2007-01-03",8.14
"2","2007-01-04",8.23
"3","2007-01-05",8.29
"4","2007-01-08",8.11
"5","2007-01-09",8.48
"6","2007-01-10",8.47
"7","2007-01-11",8.66
"8","2007-01-12",8.21
"9","2007-01-16",8.15
"10","2007-01-17",8.4
"11","2007-01-18",8.4
"12","2007-01-19",8.4
"13","2007-01-22",8.18
"14","2007-01-23",8.07
"15","2007-01-24",8.08
"16","2007-01-25",8.09
"17","2007-01-26",8.5
"18","2007-01-29",8.56
"19","2007-01-30",8.56
"20","2007-01-31",8.55
"21","2007-02-01",8.55
"22","2007-02-02",8.7
"23","2007-02-05",9.04
"24","2007-02-06",9.1
"25","2007-02-07",9
"26","2007-02-08",9.01
"27","2007-02-09",8.96
"28","2007-02-12",8.96
"29","2007-02-13",8.78
"30","2007-02-14",9.05
"31","2007-02-15",8.81
"32","2007-02-16",8.87
"33","2007-02-20",8.84
"34","2007-02-21",9.3
"35","2007-02-22",9.08
"36","2007-02-23",9.2
"37","2007-02-26",9.05
"38","2007-02-27",9.17
"39","2007-02-28",9.2
"40","2007-03-01",9.2
"41","2007-03-02",9
"42","2007-03-05",8.55
"43","2007-03-06",8.98
"44","2007-03-07",9.13
"45","2007-03-08",10.48
"46","2007-03-09",11
"47","2007-03-12",10.87
"48","2007-03-13",10.75
"49","2007-03-14",10.2
"50","2007-03-15",10.2
"51","2007-03-16",10
"52","2007-03-19",9.83
"53","2007-03-20",9.57
"54","2007-03-21",9.42
"55","2007-03-22",9.4
"56","2007-03-23",9.41
"57","2007-03-26",9.25
"58","2007-03-27",9.07
"59","2007-03-28",9.26
"60","2007-03-29",9.17
"61","2007-03-30",9.23
"62","2007-04-02",9.18
"63","2007-04-03",9.48
"64","2007-04-04",9.69
"65","2007-04-05",9.75
"66","2007-04-09",9.44
"67","2007-04-10",9.4
"68","2007-04-11",9.4
"69","2007-04-12",9.6
"70","2007-04-13",9.69
"71","2007-04-16",9.67
"72","2007-04-17",9.69
"73","2007-04-18",9.74
"74","2007-04-19",9.62
"75","2007-04-20",9.65
"76","2007-04-23",9.49
"77","2007-04-24",9.45
"78","2007-04-25",9.58
"79","2007-04-26",9.5
"80","2007-04-27",9.5
"81","2007-04-30",9.8
"82","2007-05-01",9.85
"83","2007-05-02",9.86
"84","2007-05-03",9.89
"85","2007-05-04",9.7
"86","2007-05-07",9.87
"87","2007-05-08",8.58
"88","2007-05-09",9.03
"89","2007-05-10",9.06
"90","2007-05-11",9.1
"91","2007-05-14",9.11
"92","2007-05-15",8.89
"93","2007-05-16",9
"94","2007-05-17",9.08
"95","2007-05-18",9.3
"96","2007-05-21",9.02
"97","2007-05-22",9
"98","2007-05-23",8.99
"99","2007-05-24",9.14
"100","2007-05-25",9.16
"101","2007-05-29",8.97
"102","2007-05-30",8.98
"103","2007-05-31",9
"104","2007-06-01",9.05
"105","2007-06-04",9.01
"106","2007-06-05",8.93
"107","2007-06-06",8.94
"108","2007-06-07",8.92
"109","2007-06-08",8.94
"110","2007-06-11",9.01
"111","2007-06-12",9
"112","2007-06-13",9.05
"113","2007-06-14",8.94
"114","2007-06-15",8.92
"115","2007-06-18",9.26
"116","2007-06-19",9.12
"117","2007-06-20",9.12
"118","2007-06-21",8.93
"119","2007-06-22",9.03
"120","2007-06-25",9.12
"121","2007-06-26",9.13
"122","2007-06-27",9.1
"123","2007-06-28",8.9
"124","2007-06-29",9.03
"125","2007-07-02",9.01
"126","2007-07-03",8.94
"127","2007-07-05",8.98
"128","2007-07-06",8.94
"129","2007-07-09",9
"130","2007-07-10",8.97
"131","2007-07-11",8.95
"132","2007-07-12",9.12
"133","2007-07-13",9.19
"134","2007-07-16",9.3
"135","2007-07-17",9.4
"136","2007-07-18",9.73
"137","2007-07-19",9.93
"138","2007-07-20",10.03
"139","2007-07-23",9.86
"140","2007-07-24",9.5
"141","2007-07-25",9.39
"142","2007-07-26",9.21
"143","2007-07-27",9.2
"144","2007-07-30",9.83
"145","2007-07-31",9.87
"146","2007-08-01",9.86
"147","2007-08-02",9.7
"148","2007-08-03",9.89
"149","2007-08-06",9.7
"150","2007-08-07",9.99
"151","2007-08-08",9.4
"152","2007-08-09",8.25
"153","2007-08-10",8
"154","2007-08-13",7.85
"155","2007-08-14",7.75
"156","2007-08-15",7.71
"157","2007-08-16",7.65
"158","2007-08-17",7.67
"159","2007-08-20",7.67
"160","2007-08-21",7.78
"161","2007-08-22",7.99
"162","2007-08-23",7.48
"163","2007-08-24",7.63
"164","2007-08-27",7.7
"165","2007-08-28",7.59
"166","2007-08-29",7.45
"167","2007-08-30",7.41
"168","2007-08-31",7.46
"169","2007-09-04",7.56
"170","2007-09-05",7.6
"171","2007-09-06",7.57
"172","2007-09-07",7.57
"173","2007-09-10",7.3
"174","2007-09-11",7.47
"175","2007-09-12",7.46
"176","2007-09-13",7.21
"177","2007-09-14",7.22
"178","2007-09-17",7.31
"179","2007-09-18",7.43
"180","2007-09-19",7.57
"181","2007-09-20",7.67
"182","2007-09-21",7.5
"183","2007-09-24",7.55
"184","2007-09-25",7.57
"185","2007-09-26",7.82
"186","2007-09-27",7.81
"187","2007-09-28",7.73
"188","2007-10-01",7.68
"189","2007-10-02",7.63
"190","2007-10-03",7.59
"191","2007-10-04",7.54
"192","2007-10-05",7.6
"193","2007-10-08",7.63
"194","2007-10-09",7.62
"195","2007-10-10",7.56
"196","2007-10-11",7.58
"197","2007-10-12",7.51
"198","2007-10-15",7.91
"199","2007-10-16",7.88
"200","2007-10-17",7.92
"201","2007-10-18",7.95
"202","2007-10-19",7.84
"203","2007-10-22",7.82
"204","2007-10-23",7.8
"205","2007-10-24",7.7
"206","2007-10-25",7.68
"207","2007-10-26",7.65
"208","2007-10-29",7.65
"209","2007-10-30",7.6
"210","2007-10-31",7.52
"211","2007-11-01",7.57
"212","2007-11-02",7.59
"213","2007-11-05",7.49
"214","2007-11-06",7.41
"215","2007-11-07",7.23
"216","2007-11-08",7.27
"217","2007-11-09",7.09
"218","2007-11-12",7.24
"219","2007-11-13",7.18
"220","2007-11-14",7.2
"221","2007-11-15",7.11
"222","2007-11-16",7.1
"223","2007-11-19",6.96
"224","2007-11-20",6.84
"225","2007-11-21",6.58
"226","2007-11-23",6.69
"227","2007-11-26",7.15
"228","2007-11-27",6.71
"229","2007-11-28",7
"230","2007-11-29",6.99
"231","2007-11-30",7
"232","2007-12-03",6.99
"233","2007-12-04",6.94
"234","2007-12-05",7.01
"235","2007-12-06",7
"236","2007-12-07",7.01
"237","2007-12-10",6.75
"238","2007-12-11",6.83
"239","2007-12-12",6.82
"240","2007-12-13",6.75
"241","2007-12-14",6.95
"242","2007-12-17",6.69
"243","2007-12-18",6.65
"244","2007-12-19",6.54
"245","2007-12-20",6.7
"246","2007-12-21",6.62
"247","2007-12-24",6.66
"248","2007-12-26",6.6
"249","2007-12-27",6.65
"250","2007-12-28",6.61
"251","2007-12-31",6.69
"252","2008-01-02",6.69
"253","2008-01-03",6.69
"254","2008-01-04",6.49
"255","2008-01-07",6.79
"256","2008-01-08",6.92
"257","2008-01-09",6.98
"258","2008-01-10",7
"259","2008-01-11",7.02
"260","2008-01-14",7.14
"261","2008-01-15",7.01
"262","2008-01-16",7.17
"263","2008-01-17",7.11
"264","2008-01-18",7.34
"265","2008-01-22",7.11
"266","2008-01-23",7.11
"267","2008-01-24",7.25
"268","2008-01-25",7.32
"269","2008-01-28",7.19
"270","2008-01-29",7.24
"271","2008-01-30",7.23
"272","2008-01-31",7.38
"273","2008-02-01",7.44
"274","2008-02-04",7.55
"275","2008-02-05",7.4
"276","2008-02-06",7.45
"277","2008-02-07",7.35
"278","2008-02-08",7.29
"279","2008-02-11",7.31
"280","2008-02-12",7.25
"281","2008-02-13",6.38
"282","2008-02-14",6.33
"283","2008-02-15",6.35
"284","2008-02-19",6.42
"285","2008-02-20",6.49
"286","2008-02-21",6.57
"287","2008-02-22",6.36
"288","2008-02-25",6.05
"289","2008-02-26",6.17
"290","2008-02-27",6.19
"291","2008-02-28",6.25
"292","2008-02-29",6.12
"293","2008-03-03",6.05
"294","2008-03-04",6.08
"295","2008-03-05",5.92
"296","2008-03-06",5.6
"297","2008-03-07",5.85
"298","2008-03-10",5.89
"299","2008-03-11",5.83
"300","2008-03-12",5.78
"301","2008-03-13",5.98
"302","2008-03-14",5.85
"303","2008-03-17",5.84
"304","2008-03-18",5.67
"305","2008-03-19",5.74
"306","2008-03-20",5.95
"307","2008-03-24",6
"308","2008-03-25",5.9
"309","2008-03-26",6.31
"310","2008-03-27",5.92
"311","2008-03-28",5.77
"312","2008-03-31",6.03
"313","2008-04-01",5.88
"314","2008-04-02",5.98
"315","2008-04-03",5.96
"316","2008-04-04",5.9
"317","2008-04-07",6.24
"318","2008-04-08",6.19
"319","2008-04-09",6.24
"320","2008-04-10",6.05
"321","2008-04-11",6.25
"322","2008-04-14",5.98
"323","2008-04-15",6.15
"324","2008-04-16",6.1
"325","2008-04-17",5.97
"326","2008-04-18",6.09
"327","2008-04-21",6.17
"328","2008-04-22",6.29
"329","2008-04-23",6
"330","2008-04-24",6.05
"331","2008-04-25",6
"332","2008-04-28",6.1
"333","2008-04-29",6.04
"334","2008-04-30",5.93
"335","2008-05-01",5.85
"336","2008-05-02",5.86
"337","2008-05-05",5.72
"338","2008-05-06",5.73
"339","2008-05-07",5.83
"340","2008-05-08",5.98
"341","2008-05-09",5.86
"342","2008-05-12",5.94
"343","2008-05-13",5.82
"344","2008-05-14",5.83
"345","2008-05-15",5.71
"346","2008-05-16",5.93
"347","2008-05-19",5.79
"348","2008-05-20",5.75
"349","2008-05-21",5.91
"350","2008-05-22",5.86
"351","2008-05-23",5.86
"352","2008-05-27",5.99
"353","2008-05-28",5.84
"354","2008-05-29",5.79
"355","2008-05-30",5.88
"356","2008-06-02",5.84
"357","2008-06-03",5.78
"358","2008-06-04",5.72
"359","2008-06-05",5.79
"360","2008-06-06",5.73
"361","2008-06-09",5.72
"362","2008-06-10",5.65
"363","2008-06-11",5.6
"364","2008-06-12",5.67
"365","2008-06-13",5.65
"366","2008-06-16",5.8
"367","2008-06-17",5.8
"368","2008-06-18",5.72
"369","2008-06-19",5.69
"370","2008-06-20",5.78
"371","2008-06-23",5.78
"372","2008-06-24",5.78
"373","2008-06-25",5.97
"374","2008-06-26",5.82
"375","2008-06-27",5.94
"376","2008-06-30",5.95
"377","2008-07-01",5.81
"378","2008-07-02",5.55
"379","2008-07-03",5.59
"380","2008-07-07",5.63
"381","2008-07-08",5.54
"382","2008-07-09",5.52
"383","2008-07-10",5.36
"384","2008-07-11",5.4
"385","2008-07-14",5.46
"386","2008-07-15",5.41
"387","2008-07-16",5.21
"388","2008-07-17",5.32
"389","2008-07-18",5.63
"390","2008-07-21",5.5
"391","2008-07-22",5.57
"392","2008-07-23",5.5
"393","2008-07-24",5.55
"394","2008-07-25",5.63
"395","2008-07-28",5.64
