"","date","CMPI"
"1","2020-08-07",14
"2","2020-08-10",13.06
"3","2020-08-11",13.5
"4","2020-08-12",13.75
"5","2020-08-13",13.5
"6","2020-08-14",13.89
"7","2020-08-17",13.94
"8","2020-08-18",15.05
"9","2020-08-19",14.5
"10","2020-08-20",14.95
"11","2020-08-21",15.1
"12","2020-08-24",15.5
"13","2020-08-25",14.91
"14","2020-08-26",15.5
"15","2020-08-27",15.5
"16","2020-08-28",15.28
"17","2020-08-31",15.58
"18","2020-09-01",15
"19","2020-09-02",14.74
"20","2020-09-03",14.8
"21","2020-09-04",12.31
"22","2020-09-08",10.71
"23","2020-09-09",11.51
"24","2020-09-10",11.69
"25","2020-09-11",11.5
"26","2020-09-14",11.53
"27","2020-09-15",11.54
"28","2020-09-16",11.5
"29","2020-09-17",11.45
"30","2020-09-18",10.67
"31","2020-09-21",8.71
"32","2020-09-22",9.84
"33","2020-09-23",9.55
"34","2020-09-24",10.12
"35","2020-09-25",9.74
"36","2020-09-28",10.57
"37","2020-09-29",10.59
"38","2020-09-30",11.51
"39","2020-10-01",11.75
"40","2020-10-02",11.79
"41","2020-10-05",12.18
"42","2020-10-06",12.36
"43","2020-10-07",12.31
"44","2020-10-08",11.57
"45","2020-10-09",11.77
"46","2020-10-12",12.36
"47","2020-10-13",12.85
"48","2020-10-14",12.13
"49","2020-10-15",11.58
"50","2020-10-16",11.94
"51","2020-10-19",11.5
"52","2020-10-20",11.92
"53","2020-10-21",11.67
"54","2020-10-22",11.67
"55","2020-10-23",11.74
"56","2020-10-26",11.85
"57","2020-10-27",12.15
"58","2020-10-28",12.1
"59","2020-10-29",12.49
"60","2020-10-30",11.49
"61","2020-11-02",11.66
"62","2020-11-03",12.38
"63","2020-11-04",10.57
"64","2020-11-05",10.89
"65","2020-11-06",10.73
"66","2020-11-09",12.48
"67","2020-11-10",10.95
"68","2020-11-11",11.36
"69","2020-11-12",10.71
"70","2020-11-13",10.7
"71","2020-11-16",10.89
"72","2020-11-17",11.03
"73","2020-11-18",11.01
"74","2020-11-19",11.26
"75","2020-11-20",11.12
"76","2020-11-23",10.96
"77","2020-11-24",11
"78","2020-11-25",11.75
"79","2020-11-27",11.59
