"","date","RDFN"
"1","2017-07-28",21.700001
"2","2017-07-31",24.129999
"3","2017-08-01",26.48
"4","2017-08-02",31.059999
"5","2017-08-03",27.200001
"6","2017-08-04",25.84
"7","2017-08-07",25.27
"8","2017-08-08",25.52
"9","2017-08-09",26.33
"10","2017-08-10",25.440001
"11","2017-08-11",24.85
"12","2017-08-14",24.959999
"13","2017-08-15",28.59
"14","2017-08-16",27.190001
"15","2017-08-17",26.58
"16","2017-08-18",26.700001
"17","2017-08-21",27.559999
"18","2017-08-22",25.27
"19","2017-08-23",25.75
"20","2017-08-24",25.790001
"21","2017-08-25",24.889999
"22","2017-08-28",24.83
"23","2017-08-29",23.870001
"24","2017-08-30",23.040001
"25","2017-08-31",22.290001
"26","2017-09-01",23.6
"27","2017-09-05",24.99
"28","2017-09-06",25.860001
"29","2017-09-07",25.360001
"30","2017-09-08",24.1
"31","2017-09-11",25.82
"32","2017-09-12",25.41
"33","2017-09-13",26.889999
"34","2017-09-14",26.719999
"35","2017-09-15",26.530001
"36","2017-09-18",26.92
"37","2017-09-19",26.58
"38","2017-09-20",27.280001
"39","2017-09-21",26.25
"40","2017-09-22",27.969999
"41","2017-09-25",26.02
"42","2017-09-26",25.209999
"43","2017-09-27",25.24
"44","2017-09-28",25.42
"45","2017-09-29",25.09
"46","2017-10-02",25.049999
"47","2017-10-03",24.92
"48","2017-10-04",24.92
"49","2017-10-05",25
"50","2017-10-06",25
"51","2017-10-09",26.33
"52","2017-10-10",25.33
"53","2017-10-11",25.33
"54","2017-10-12",25.65
"55","2017-10-13",26.030001
"56","2017-10-16",25.76
"57","2017-10-17",26.99
"58","2017-10-18",26.08
"59","2017-10-19",25.68
"60","2017-10-20",25.25
"61","2017-10-23",24.34
"62","2017-10-24",24.09
"63","2017-10-25",23.4
"64","2017-10-26",23.110001
"65","2017-10-27",23.01
"66","2017-10-30",23.280001
"67","2017-10-31",23.540001
"68","2017-11-01",23.280001
"69","2017-11-02",23.74
"70","2017-11-03",22.9
"71","2017-11-06",22.540001
"72","2017-11-07",22.950001
"73","2017-11-08",21.700001
"74","2017-11-09",23.200001
"75","2017-11-10",20.93
"76","2017-11-13",21.290001
"77","2017-11-14",21.15
"78","2017-11-15",21.76
"79","2017-11-16",21.049999
"80","2017-11-17",21.120001
"81","2017-11-20",20.85
"82","2017-11-21",20.780001
"83","2017-11-22",19.940001
"84","2017-11-24",20.08
"85","2017-11-27",21.43
"86","2017-11-28",22.860001
"87","2017-11-29",22.809999
"88","2017-11-30",22.780001
"89","2017-12-01",23.440001
"90","2017-12-04",24.690001
"91","2017-12-05",24.73
"92","2017-12-06",25.07
"93","2017-12-07",24.32
"94","2017-12-08",24.110001
"95","2017-12-11",24.540001
"96","2017-12-12",26.940001
"97","2017-12-13",24.290001
"98","2017-12-14",25.299999
"99","2017-12-15",26.01
"100","2017-12-18",25.9
"101","2017-12-19",26.25
"102","2017-12-20",26.48
"103","2017-12-21",27.25
"104","2017-12-22",27
"105","2017-12-26",27.32
"106","2017-12-27",27.9
"107","2017-12-28",29.49
"108","2017-12-29",31.32
"109","2018-01-02",31.07
"110","2018-01-03",28.200001
"111","2018-01-04",27.34
"112","2018-01-05",28.200001
"113","2018-01-08",27.68
"114","2018-01-09",26.93
"115","2018-01-10",27.32
"116","2018-01-11",26.93
"117","2018-01-12",26.59
"118","2018-01-16",26.1
"119","2018-01-17",26.17
"120","2018-01-18",26.950001
"121","2018-01-19",26.08
"122","2018-01-22",23.959999
"123","2018-01-23",23.17
"124","2018-01-24",22.120001
"125","2018-01-25",22.309999
"126","2018-01-26",23.01
"127","2018-01-29",21.290001
"128","2018-01-30",20.43
"129","2018-01-31",20.299999
"130","2018-02-01",19.700001
"131","2018-02-02",19.76
"132","2018-02-05",19.66
"133","2018-02-06",22.030001
"134","2018-02-07",23
"135","2018-02-08",22.040001
"136","2018-02-09",22.08
"137","2018-02-12",22.67
"138","2018-02-13",22
"139","2018-02-14",22.59
"140","2018-02-15",22.73
"141","2018-02-16",22.950001
"142","2018-02-20",21.9
"143","2018-02-21",21.299999
"144","2018-02-22",21.57
"145","2018-02-23",20.959999
"146","2018-02-26",20.620001
"147","2018-02-27",20.6
"148","2018-02-28",20.59
"149","2018-03-01",20.58
"150","2018-03-02",21.43
"151","2018-03-05",21.9
"152","2018-03-06",23
"153","2018-03-07",23.01
"154","2018-03-08",23.66
"155","2018-03-09",22.98
"156","2018-03-12",22.74
"157","2018-03-13",22.76
"158","2018-03-14",22.25
"159","2018-03-15",21.379999
"160","2018-03-16",21.35
"161","2018-03-19",21.58
"162","2018-03-20",21.08
"163","2018-03-21",21.280001
"164","2018-03-22",21.4
"165","2018-03-23",22.1
