"","date","LPTX"
"1","2017-01-25",7.86
"2","2017-01-26",8.47
"3","2017-01-27",7.77
"4","2017-01-30",7.3
"5","2017-01-31",6.424
"6","2017-02-01",6.35
"7","2017-02-02",6.03
"8","2017-02-03",6.79
"9","2017-02-06",6.605
"10","2017-02-07",7.24
"11","2017-02-08",7.011
"12","2017-02-09",7.2
"13","2017-02-10",8.2
"14","2017-02-13",8.094
"15","2017-02-14",8.112
"16","2017-02-15",7.78
"17","2017-02-16",7.51
"18","2017-02-17",7.52
"19","2017-02-21",7.084
"20","2017-02-22",7.3
"21","2017-02-23",7
"22","2017-02-24",7.07
"23","2017-02-27",7.07
"24","2017-02-28",7.14
"25","2017-03-01",8.14
"26","2017-03-02",7.86
"27","2017-03-03",7.788
"28","2017-03-06",7.85
"29","2017-03-07",8.77
"30","2017-03-08",9.3
"31","2017-03-09",9.29
"32","2017-03-10",8.9
"33","2017-03-13",8.66
"34","2017-03-14",8.67
"35","2017-03-15",8.55
"36","2017-03-16",8.1
"37","2017-03-17",7.7
"38","2017-03-20",7.85
"39","2017-03-21",7.51
"40","2017-03-22",7.45
"41","2017-03-23",8.008
"42","2017-03-24",8.26
"43","2017-03-27",8.34
"44","2017-03-28",8.13
"45","2017-03-29",8.3
"46","2017-03-30",8.46
"47","2017-03-31",9.18
"48","2017-04-03",8.8
"49","2017-04-04",8.6
"50","2017-04-05",8.06
"51","2017-04-06",8.19
"52","2017-04-07",8.44
"53","2017-04-10",8.27
"54","2017-04-11",7.9
"55","2017-04-12",7.86
"56","2017-04-13",7.9
"57","2017-04-17",7.851
"58","2017-04-18",7.79
"59","2017-04-19",7.66
"60","2017-04-20",7.88
"61","2017-04-21",7.25
"62","2017-04-24",7.35
"63","2017-04-25",7.35
"64","2017-04-26",7.384
"65","2017-04-27",7.01
"66","2017-04-28",7.09
"67","2017-05-01",7.25
"68","2017-05-02",7.08
"69","2017-05-03",7
"70","2017-05-04",6.85
"71","2017-05-05",7.32
"72","2017-05-08",7.59
"73","2017-05-09",8
"74","2017-05-10",7.24
"75","2017-05-11",7.2
"76","2017-05-12",7.222
"77","2017-05-15",7.82
"78","2017-05-16",8
"79","2017-05-17",7.95
"80","2017-05-18",7.33
"81","2017-05-19",7.56
"82","2017-05-22",7
"83","2017-05-23",7.03
"84","2017-05-24",6.78
"85","2017-05-25",6.95
"86","2017-05-26",6.77
"87","2017-05-30",6.6
"88","2017-05-31",6.62
"89","2017-06-01",6.6
"90","2017-06-02",6.83
"91","2017-06-05",6.95
"92","2017-06-06",6.6
"93","2017-06-07",6.14
"94","2017-06-08",6.22
"95","2017-06-09",6.56
"96","2017-06-12",6.17
"97","2017-06-13",6.11
"98","2017-06-14",6.59
"99","2017-06-15",6.04
"100","2017-06-16",5.85
"101","2017-06-19",5.87
"102","2017-06-20",5.98
"103","2017-06-21",5.94
"104","2017-06-22",6.02
"105","2017-06-23",6.35
"106","2017-06-26",6.75
"107","2017-06-27",6.57
"108","2017-06-28",6.63
"109","2017-06-29",6.55
"110","2017-06-30",6.58
"111","2017-07-03",6.41
"112","2017-07-05",6.57
"113","2017-07-06",6.58
"114","2017-07-07",6.82
"115","2017-07-10",6.89
"116","2017-07-11",6.91
"117","2017-07-12",6.86
"118","2017-07-13",7.4
"119","2017-07-14",7.599
"120","2017-07-17",7.28
"121","2017-07-18",7.49
"122","2017-07-19",7.01
"123","2017-07-20",7.7
"124","2017-07-21",7.32
"125","2017-07-24",7.15
"126","2017-07-25",7.13
"127","2017-07-26",6.75
"128","2017-07-27",6.44
"129","2017-07-28",6.36
"130","2017-07-31",6.5
"131","2017-08-01",6.52
"132","2017-08-02",6.33
"133","2017-08-03",6.23
"134","2017-08-04",6.22
"135","2017-08-07",6.2
"136","2017-08-08",6.35
"137","2017-08-09",7.145
"138","2017-08-10",6.42
"139","2017-08-11",6.098
"140","2017-08-14",6.06
"141","2017-08-15",6.32
"142","2017-08-16",6.55
"143","2017-08-17",5.91
"144","2017-08-18",5.99
"145","2017-08-21",5.88
"146","2017-08-22",5.93
"147","2017-08-23",6
"148","2017-08-24",5.95
"149","2017-08-25",6.15
"150","2017-08-28",5.95
"151","2017-08-29",5.96
"152","2017-08-30",5.92
"153","2017-08-31",5.81
"154","2017-09-01",5.63
"155","2017-09-05",5.95
"156","2017-09-06",6.02
"157","2017-09-07",6.35
"158","2017-09-08",6.02
"159","2017-09-11",6.17
"160","2017-09-12",6.19
"161","2017-09-13",5.99
"162","2017-09-14",6.05
"163","2017-09-15",5.74
"164","2017-09-18",5.52
"165","2017-09-19",5.51
"166","2017-09-20",5.63
"167","2017-09-21",5.54
"168","2017-09-22",5.58
"169","2017-09-25",5.69
"170","2017-09-26",5.15
"171","2017-09-27",5.335
"172","2017-09-28",5.39
"173","2017-09-29",5.71
"174","2017-10-02",5.77
"175","2017-10-03",5.58
"176","2017-10-04",5.55
"177","2017-10-05",5.54
"178","2017-10-06",5.332
"179","2017-10-09",5.48
"180","2017-10-10",5.45
"181","2017-10-11",5.47
"182","2017-10-12",5.31
"183","2017-10-13",5.25
"184","2017-10-16",5.03
"185","2017-10-17",5.1
"186","2017-10-18",5.05
"187","2017-10-19",4.99
"188","2017-10-20",5.69
"189","2017-10-23",5.805
"190","2017-10-24",5.5
"191","2017-10-25",5.31
"192","2017-10-26",5.31
"193","2017-10-27",5.39
"194","2017-10-30",5.72
"195","2017-10-31",5.88
"196","2017-11-01",5.656
"197","2017-11-02",5.48
"198","2017-11-03",5.46
"199","2017-11-06",5.6
"200","2017-11-07",5.511
"201","2017-11-08",5.65
"202","2017-11-09",5.86
"203","2017-11-10",6.11
"204","2017-11-13",6.25
"205","2017-11-14",5.983
"206","2017-11-15",6
"207","2017-11-16",6.7
"208","2017-11-17",7.14
"209","2017-11-20",6.6
"210","2017-11-21",7
"211","2017-11-22",7.24
"212","2017-11-24",7.3
"213","2017-11-27",7.01
"214","2017-11-28",6.65
"215","2017-11-29",6.49
"216","2017-11-30",6.46
"217","2017-12-01",6.8
"218","2017-12-04",6.68
"219","2017-12-05",6.43
"220","2017-12-06",6.5
"221","2017-12-07",6.76
"222","2017-12-08",6.53
"223","2017-12-11",6.48
"224","2017-12-12",6.46
"225","2017-12-13",6.67
"226","2017-12-14",6.67
"227","2017-12-15",6.77
"228","2017-12-18",6.38
