"","date","MDP"
"1","2007-01-03",56.279999
"2","2007-01-04",56.330002
"3","2007-01-05",56.189999
"4","2007-01-08",56.099998
"5","2007-01-09",55.990002
"6","2007-01-10",56.130001
"7","2007-01-11",56.880001
"8","2007-01-12",56.650002
"9","2007-01-16",56.799999
"10","2007-01-17",57.080002
"11","2007-01-18",57.439999
"12","2007-01-19",56.759998
"13","2007-01-22",56.990002
"14","2007-01-23",57.849998
"15","2007-01-24",58.049999
"16","2007-01-25",58
"17","2007-01-26",58.5
"18","2007-01-29",58.5
"19","2007-01-30",58.57
"20","2007-01-31",58.959999
"21","2007-02-01",59.540001
"22","2007-02-02",59.490002
"23","2007-02-05",59.82
"24","2007-02-06",59.59
"25","2007-02-07",60.169998
"26","2007-02-08",60.27
"27","2007-02-09",59.84
"28","2007-02-12",59.650002
"29","2007-02-13",59.560001
"30","2007-02-14",59.66
"31","2007-02-15",59.82
"32","2007-02-16",59.950001
"33","2007-02-20",59.990002
"34","2007-02-21",59.84
"35","2007-02-22",59.630001
"36","2007-02-23",59.610001
"37","2007-02-26",59.43
"38","2007-02-27",58.07
"39","2007-02-28",58.470001
"40","2007-03-01",58.169998
"41","2007-03-02",57.700001
"42","2007-03-05",57.470001
"43","2007-03-06",57.740002
"44","2007-03-07",57.349998
"45","2007-03-08",57.330002
"46","2007-03-09",57.490002
"47","2007-03-12",57.580002
"48","2007-03-13",57.040001
"49","2007-03-14",57.5
"50","2007-03-15",57.57
"51","2007-03-16",57.110001
"52","2007-03-19",57.650002
"53","2007-03-20",57.669998
"54","2007-03-21",58
"55","2007-03-22",58
"56","2007-03-23",58.040001
"57","2007-03-26",57.950001
"58","2007-03-27",57.77
"59","2007-03-28",57.369999
"60","2007-03-29",57.57
"61","2007-03-30",57.389999
"62","2007-04-02",57.919998
"63","2007-04-03",57.950001
"64","2007-04-04",57.700001
"65","2007-04-05",57.990002
"66","2007-04-09",57.959999
"67","2007-04-10",57.970001
"68","2007-04-11",57.799999
"69","2007-04-12",58.049999
"70","2007-04-13",58.02
"71","2007-04-16",58.549999
"72","2007-04-17",58.950001
"73","2007-04-18",59.169998
"74","2007-04-19",59.040001
"75","2007-04-20",59.700001
"76","2007-04-23",59.619999
"77","2007-04-24",59.860001
"78","2007-04-25",58.52
"79","2007-04-26",58.18
"80","2007-04-27",58.080002
"81","2007-04-30",57.919998
"82","2007-05-01",58.599998
"83","2007-05-02",58.689999
"84","2007-05-03",58.48
"85","2007-05-04",58.220001
"86","2007-05-07",58.360001
"87","2007-05-08",58.509998
"88","2007-05-09",58.849998
"89","2007-05-10",58.93
"90","2007-05-11",58.650002
"91","2007-05-14",58.439999
"92","2007-05-15",59.52
"93","2007-05-16",60.23
"94","2007-05-17",60.209999
"95","2007-05-18",60.529999
"96","2007-05-21",61.439999
"97","2007-05-22",61.549999
"98","2007-05-23",61.48
"99","2007-05-24",60.970001
"100","2007-05-25",61.279999
"101","2007-05-29",61.580002
"102","2007-05-30",62.189999
"103","2007-05-31",62.209999
"104","2007-06-01",62.580002
"105","2007-06-04",63.060001
"106","2007-06-05",63.25
"107","2007-06-06",62.91
"108","2007-06-07",62.59
"109","2007-06-08",62.650002
