"","date","WILC"
"1","2007-01-03",5.74
"2","2007-01-04",5.58
"3","2007-01-05",5.46
"4","2007-01-08",5.43
"5","2007-01-09",5.55
"6","2007-01-10",5.58
"7","2007-01-11",5.59
"8","2007-01-12",5.61
"9","2007-01-16",5.49
"10","2007-01-17",5.2
"11","2007-01-18",5.41
"12","2007-01-19",5.42
"13","2007-01-22",5.6
"14","2007-01-23",5.57
"15","2007-01-24",5.45
"16","2007-01-25",5.5
"17","2007-01-26",5.5
"18","2007-01-29",5.84
"19","2007-01-30",5.95
"20","2007-01-31",5.95
"21","2007-02-01",5.88
"22","2007-02-02",5.8
"23","2007-02-05",5.9
"24","2007-02-06",5.8
"25","2007-02-07",6.34
"26","2007-02-08",6.17
"27","2007-02-09",6.17
"28","2007-02-12",6.1
"29","2007-02-13",6.33
"30","2007-02-14",6.42
"31","2007-02-15",6.45
"32","2007-02-16",6.53
"33","2007-02-20",7.19
"34","2007-02-21",7.89
"35","2007-02-22",7.94
"36","2007-02-23",8.05
"37","2007-02-26",7.97
"38","2007-02-27",7.43
"39","2007-02-28",7.12
"40","2007-03-01",7.49
"41","2007-03-02",7.5
"42","2007-03-05",7.33
"43","2007-03-06",7.47
"44","2007-03-07",7.46
"45","2007-03-08",7.5
"46","2007-03-09",7.5
"47","2007-03-12",7.41
"48","2007-03-13",7.39
"49","2007-03-14",7.35
"50","2007-03-15",7.5
"51","2007-03-16",7.49
"52","2007-03-19",6.99
"53","2007-03-20",7.29
"54","2007-03-21",7.2
"55","2007-03-22",7.32
"56","2007-03-23",7.39
"57","2007-03-26",7.31
"58","2007-03-27",7.23
"59","2007-03-28",7.25
"60","2007-03-29",7.23
"61","2007-03-30",7.29
"62","2007-04-02",7.21
"63","2007-04-03",7.23
"64","2007-04-04",7.39
"65","2007-04-05",7.45
"66","2007-04-09",7.5
"67","2007-04-10",7.2
"68","2007-04-11",7.2
"69","2007-04-12",7.3
"70","2007-04-13",7.35
"71","2007-04-16",7.35
"72","2007-04-17",7.39
"73","2007-04-18",7.22
"74","2007-04-19",7.3
"75","2007-04-20",7.4
"76","2007-04-23",7.47
"77","2007-04-24",7.65
"78","2007-04-25",7.53
"79","2007-04-26",7.56
"80","2007-04-27",7.89
"81","2007-04-30",7.86
"82","2007-05-01",7.81
"83","2007-05-02",7.9
"84","2007-05-03",7.77
"85","2007-05-04",7.95
"86","2007-05-07",7.9
"87","2007-05-08",8
"88","2007-05-09",7.9
"89","2007-05-10",7.8
"90","2007-05-11",7.9
"91","2007-05-14",8
"92","2007-05-15",7.96
"93","2007-05-16",7.84
"94","2007-05-17",7.89
