"","date","GOCO"
"1","2020-07-15",19.459999
"2","2020-07-16",19.75
"3","2020-07-17",21.299999
"4","2020-07-20",20.99
"5","2020-07-21",20.9
"6","2020-07-22",21.98
"7","2020-07-23",21.030001
"8","2020-07-24",19.780001
"9","2020-07-27",20.1
"10","2020-07-28",19.049999
"11","2020-07-29",17.51
"12","2020-07-30",18
"13","2020-07-31",17.75
"14","2020-08-03",18.290001
"15","2020-08-04",17.85
"16","2020-08-05",17.450001
"17","2020-08-06",16.969999
"18","2020-08-07",17.25
"19","2020-08-10",17.48
"20","2020-08-11",15.47
"21","2020-08-12",15.84
"22","2020-08-13",15.71
"23","2020-08-14",16.82
"24","2020-08-17",19.190001
"25","2020-08-18",19.030001
"26","2020-08-19",19.02
"27","2020-08-20",17.030001
"28","2020-08-21",15.97
"29","2020-08-24",15.51
"30","2020-08-25",14.3
"31","2020-08-26",13.96
"32","2020-08-27",13.6
"33","2020-08-28",13.43
"34","2020-08-31",13.91
"35","2020-09-01",13.67
"36","2020-09-02",14.3
"37","2020-09-03",13.855
"38","2020-09-04",13.39
"39","2020-09-08",13.07
"40","2020-09-09",12.95
"41","2020-09-10",13.5
"42","2020-09-11",12.77
"43","2020-09-14",12.84
"44","2020-09-15",12.53
"45","2020-09-16",12.53
"46","2020-09-17",13.545
"47","2020-09-18",13.88
"48","2020-09-21",13.32
"49","2020-09-22",13.95
"50","2020-09-23",14.08
"51","2020-09-24",13.43
"52","2020-09-25",13.79
"53","2020-09-28",13.48
"54","2020-09-29",13.29
"55","2020-09-30",13.025
"56","2020-10-01",13.72
"57","2020-10-02",14.64
"58","2020-10-05",15.01
"59","2020-10-06",14
"60","2020-10-07",14.06
"61","2020-10-08",13.59
"62","2020-10-09",13.34
"63","2020-10-12",13.01
"64","2020-10-13",12.66
"65","2020-10-14",12.46
"66","2020-10-15",12.25
"67","2020-10-16",12.06
"68","2020-10-19",12.06
"69","2020-10-20",11.78
"70","2020-10-21",11.33
"71","2020-10-22",11.59
"72","2020-10-23",11.98
"73","2020-10-26",11.26
"74","2020-10-27",11.18
"75","2020-10-28",10.67
"76","2020-10-29",10.43
"77","2020-10-30",10.36
"78","2020-11-02",10.47
"79","2020-11-03",11.5
"80","2020-11-04",11.59
"81","2020-11-05",11.68
"82","2020-11-06",12.15
"83","2020-11-09",12.85
"84","2020-11-10",13.05
"85","2020-11-11",13.33
"86","2020-11-12",11.11
"87","2020-11-13",11.48
"88","2020-11-16",11.08
"89","2020-11-17",11.35
"90","2020-11-18",11.78
"91","2020-11-19",12.02
"92","2020-11-20",11.63
"93","2020-11-23",11.02
"94","2020-11-24",10.95
"95","2020-11-25",11.03
"96","2020-11-27",11.13
