"","date","SOHU"
"1","2007-01-03",25.27
"2","2007-01-04",26.190001
"3","2007-01-05",25.969999
"4","2007-01-08",26.41
"5","2007-01-09",26.700001
"6","2007-01-10",26.309999
"7","2007-01-11",26.27
"8","2007-01-12",26.25
"9","2007-01-16",26.5
"10","2007-01-17",26.700001
"11","2007-01-18",25.790001
"12","2007-01-19",25.67
"13","2007-01-22",25.65
"14","2007-01-23",25.35
"15","2007-01-24",26.110001
"16","2007-01-25",25.58
"17","2007-01-26",26.030001
"18","2007-01-29",27.360001
"19","2007-01-30",27.02
"20","2007-01-31",26.860001
"21","2007-02-01",26.32
"22","2007-02-02",26.950001
"23","2007-02-05",26.940001
"24","2007-02-06",25.15
"25","2007-02-07",24.469999
"26","2007-02-08",25.280001
"27","2007-02-09",24.200001
"28","2007-02-12",24.08
"29","2007-02-13",24.25
"30","2007-02-14",24.48
"31","2007-02-15",24.190001
"32","2007-02-16",24.1
"33","2007-02-20",24.530001
"34","2007-02-21",24.24
"35","2007-02-22",24.01
"36","2007-02-23",24.549999
"37","2007-02-26",24.360001
"38","2007-02-27",22.809999
"39","2007-02-28",23.059999
"40","2007-03-01",23.51
"41","2007-03-02",22.620001
"42","2007-03-05",22.34
"43","2007-03-06",22.82
"44","2007-03-07",22.540001
"45","2007-03-08",22.76
"46","2007-03-09",22.559999
"47","2007-03-12",22.59
"48","2007-03-13",22.08
"49","2007-03-14",21.700001
"50","2007-03-15",22.17
"51","2007-03-16",22.040001
"52","2007-03-19",22.200001
"53","2007-03-20",22.280001
"54","2007-03-21",22.25
"55","2007-03-22",22.26
"56","2007-03-23",22.209999
"57","2007-03-26",22.049999
"58","2007-03-27",21.940001
"59","2007-03-28",21.66
"60","2007-03-29",21.6
"61","2007-03-30",21.43
"62","2007-04-02",21.15
"63","2007-04-03",21.16
"64","2007-04-04",21.459999
"65","2007-04-05",21.790001
"66","2007-04-09",21.959999
"67","2007-04-10",22.549999
"68","2007-04-11",22.5
"69","2007-04-12",22.889999
"70","2007-04-13",23.469999
"71","2007-04-16",23.870001
"72","2007-04-17",23.6
"73","2007-04-18",23.92
"74","2007-04-19",23.450001
"75","2007-04-20",23.83
"76","2007-04-23",23.49
"77","2007-04-24",23.15
"78","2007-04-25",23.290001
"79","2007-04-26",23.719999
"80","2007-04-27",25.02
"81","2007-04-30",25.32
"82","2007-05-01",25.52
"83","2007-05-02",23.9
"84","2007-05-03",23.66
"85","2007-05-04",24.32
"86","2007-05-07",24.110001
"87","2007-05-08",24.5
"88","2007-05-09",24.98
"89","2007-05-10",24.1
"90","2007-05-11",25.049999
"91","2007-05-14",24.51
"92","2007-05-15",24.530001
"93","2007-05-16",25.09
