"","date","ESNT"
"1","2013-10-31",21
"2","2013-11-01",22.530001
"3","2013-11-04",22.01
"4","2013-11-05",22.73
"5","2013-11-06",22.110001
"6","2013-11-07",21.309999
"7","2013-11-08",21.25
"8","2013-11-11",20.57
"9","2013-11-12",20.48
"10","2013-11-13",20.879999
"11","2013-11-14",21.6
"12","2013-11-15",21.190001
"13","2013-11-18",21.280001
"14","2013-11-19",21.09
"15","2013-11-20",21.25
"16","2013-11-21",21.809999
"17","2013-11-22",22
"18","2013-11-25",21.4
"19","2013-11-26",21.809999
"20","2013-11-27",21.809999
"21","2013-11-29",21.74
"22","2013-12-02",21.83
"23","2013-12-03",21.6
"24","2013-12-04",22.139999
"25","2013-12-05",22.049999
"26","2013-12-06",22.34
"27","2013-12-09",22.040001
"28","2013-12-10",21.799999
"29","2013-12-11",21.549999
"30","2013-12-12",21.530001
"31","2013-12-13",21.530001
"32","2013-12-16",21.469999
"33","2013-12-17",21.83
"34","2013-12-18",22.33
"35","2013-12-19",21.940001
"36","2013-12-20",23.09
"37","2013-12-23",23
"38","2013-12-24",23.1
"39","2013-12-26",23.42
"40","2013-12-27",23.610001
"41","2013-12-30",23.65
"42","2013-12-31",24.059999
"43","2014-01-02",23.370001
"44","2014-01-03",24.01
"45","2014-01-06",23.91
"46","2014-01-07",23.77
"47","2014-01-08",23.24
"48","2014-01-09",23.1
"49","2014-01-10",23.27
"50","2014-01-13",23.26
"51","2014-01-14",23.49
"52","2014-01-15",24.620001
"53","2014-01-16",24.129999
"54","2014-01-17",24.84
"55","2014-01-21",24.83
"56","2014-01-22",25.18
"57","2014-01-23",24.700001
"58","2014-01-24",24.190001
"59","2014-01-27",24.08
"60","2014-01-28",24.75
"61","2014-01-29",24.870001
"62","2014-01-30",24.9
"63","2014-01-31",25.1
"64","2014-02-03",24.77
"65","2014-02-04",24.709999
"66","2014-02-05",24.4
"67","2014-02-06",24.26
"68","2014-02-07",24.35
"69","2014-02-10",23.9
"70","2014-02-11",23.99
"71","2014-02-12",24.299999
"72","2014-02-13",24.57
"73","2014-02-14",24.85
"74","2014-02-18",25.870001
"75","2014-02-19",24.76
"76","2014-02-20",25.25
"77","2014-02-21",24.629999
"78","2014-02-24",24.51
"79","2014-02-25",24.26
"80","2014-02-26",23.77
"81","2014-02-27",23.4
"82","2014-02-28",23.200001
"83","2014-03-03",23.370001
"84","2014-03-04",23.790001
"85","2014-03-05",23.870001
"86","2014-03-06",23.790001
"87","2014-03-07",23.66
"88","2014-03-10",23.48
"89","2014-03-11",22.59
"90","2014-03-12",23.219999
"91","2014-03-13",23.4
"92","2014-03-14",23.370001
"93","2014-03-17",23.98
"94","2014-03-18",24
