"","date","CNC"
"1","2007-01-03",6.1575
"2","2007-01-04",6.205
"3","2007-01-05",6.2
"4","2007-01-08",6.2425
"5","2007-01-09",6.25
"6","2007-01-10",6.14
"7","2007-01-11",6.345
"8","2007-01-12",6.4775
"9","2007-01-16",6.6525
"10","2007-01-17",6.5075
"11","2007-01-18",6.35
"12","2007-01-19",6.395
"13","2007-01-22",6.2525
"14","2007-01-23",6.2525
"15","2007-01-24",6.415
"16","2007-01-25",6.2425
"17","2007-01-26",6.2475
"18","2007-01-29",6.2175
"19","2007-01-30",6.245
"20","2007-01-31",6.23
"21","2007-02-01",6.46
"22","2007-02-02",6.435
"23","2007-02-05",6.3975
"24","2007-02-06",6.225
"25","2007-02-07",6.125
"26","2007-02-08",5.875
"27","2007-02-09",5.87
"28","2007-02-12",5.925
"29","2007-02-13",5.95
"30","2007-02-14",5.945
"31","2007-02-15",6.0075
"32","2007-02-16",6.0225
"33","2007-02-20",6.175
"34","2007-02-21",6.16
"35","2007-02-22",6.195
"36","2007-02-23",6.0825
"37","2007-02-26",6.0425
"38","2007-02-27",5.9525
"39","2007-02-28",6.0225
"40","2007-03-01",6.15
"41","2007-03-02",5.9625
"42","2007-03-05",5.9275
"43","2007-03-06",5.995
"44","2007-03-07",5.89
"45","2007-03-08",5.7
"46","2007-03-09",5.695
"47","2007-03-12",5.85
"48","2007-03-13",5.71
"49","2007-03-14",5.4975
"50","2007-03-15",5.495
"51","2007-03-16",5.4775
"52","2007-03-19",5.4925
"53","2007-03-20",5.44
"54","2007-03-21",5.59
"55","2007-03-22",5.61
"56","2007-03-23",5.5375
"57","2007-03-26",5.4725
"58","2007-03-27",5.325
"59","2007-03-28",5.2475
"60","2007-03-29",5.23
"61","2007-03-30",5.2475
"62","2007-04-02",5.345
"63","2007-04-03",5.535
"64","2007-04-04",5.6625
"65","2007-04-05",5.5975
"66","2007-04-09",5.7175
"67","2007-04-10",5.645
"68","2007-04-11",5.58
"69","2007-04-12",5.6
"70","2007-04-13",5.6475
"71","2007-04-16",5.875
"72","2007-04-17",5.8225
"73","2007-04-18",5.945
"74","2007-04-19",5.86
"75","2007-04-20",5.955
"76","2007-04-23",5.995
"77","2007-04-24",5.5525
"78","2007-04-25",5.5425
"79","2007-04-26",5.3625
"80","2007-04-27",5.25
"81","2007-04-30",5.2025
"82","2007-05-01",5.285
"83","2007-05-02",5.4075
"84","2007-05-03",5.365
"85","2007-05-04",5.32
"86","2007-05-07",5.465
"87","2007-05-08",5.5375
"88","2007-05-09",5.5425
"89","2007-05-10",5.4125
"90","2007-05-11",5.5475
"91","2007-05-14",5.5125
"92","2007-05-15",5.415
"93","2007-05-16",5.4225
"94","2007-05-17",5.3475
"95","2007-05-18",5.3425
"96","2007-05-21",5.5575
"97","2007-05-22",5.5925
"98","2007-05-23",5.5025
"99","2007-05-24",5.455
"100","2007-05-25",5.435
"101","2007-05-29",5.5525
"102","2007-05-30",5.4725
"103","2007-05-31",5.7475
"104","2007-06-01",5.8375
"105","2007-06-04",5.705
"106","2007-06-05",5.63
"107","2007-06-06",5.5
"108","2007-06-07",5.415
"109","2007-06-08",5.445
"110","2007-06-11",5.41
"111","2007-06-12",5.2425
"112","2007-06-13",5.2
"113","2007-06-14",5.0825
"114","2007-06-15",5.0825
"115","2007-06-18",5.005
"116","2007-06-19",4.87
"117","2007-06-20",4.8825
"118","2007-06-21",5.1
"119","2007-06-22",5.19
"120","2007-06-25",5.08
"121","2007-06-26",5.3475
"122","2007-06-27",5.35
"123","2007-06-28",5.4675
"124","2007-06-29",5.355
"125","2007-07-02",5.545
"126","2007-07-03",5.425
"127","2007-07-05",5.4575
"128","2007-07-06",5.4925
"129","2007-07-09",5.53
"130","2007-07-10",5.4425
"131","2007-07-11",5.4525
"132","2007-07-12",5.605
"133","2007-07-13",5.5175
"134","2007-07-16",5.31
"135","2007-07-17",5.2275
"136","2007-07-18",5.355
"137","2007-07-19",5.2975
"138","2007-07-20",5.145
"139","2007-07-23",5.2025
"140","2007-07-24",5.63
"141","2007-07-25",5.705
"142","2007-07-26",5.45
"143","2007-07-27",5.3575
"144","2007-07-30",5.3825
"145","2007-07-31",5.4025
"146","2007-08-01",5.51
"147","2007-08-02",5.4025
"148","2007-08-03",5.2375
"149","2007-08-06",5.2075
"150","2007-08-07",5.0575
"151","2007-08-08",4.735
"152","2007-08-09",4.5675
"153","2007-08-10",5.06
"154","2007-08-13",4.9875
"155","2007-08-14",4.99
"156","2007-08-15",4.8525
"157","2007-08-16",5.0075
"158","2007-08-17",4.8725
"159","2007-08-20",4.9125
"160","2007-08-21",4.955
"161","2007-08-22",4.9525
"162","2007-08-23",4.95
"163","2007-08-24",5.1025
"164","2007-08-27",4.9475
"165","2007-08-28",4.9625
"166","2007-08-29",4.97
"167","2007-08-30",4.9525
"168","2007-08-31",5.0525
"169","2007-09-04",5.05
"170","2007-09-05",5.045
"171","2007-09-06",5.155
"172","2007-09-07",5.005
"173","2007-09-10",5.025
"174","2007-09-11",5.1
"175","2007-09-12",5.1625
"176","2007-09-13",5.0825
"177","2007-09-14",4.975
"178","2007-09-17",5.01
"179","2007-09-18",5.21
"180","2007-09-19",5.225
"181","2007-09-20",5.32
"182","2007-09-21",5.275
"183","2007-09-24",5.26
"184","2007-09-25",5.265
"185","2007-09-26",5.405
"186","2007-09-27",5.375
"187","2007-09-28",5.3775
"188","2007-10-01",5.41
"189","2007-10-02",5.3975
"190","2007-10-03",5.3625
"191","2007-10-04",5.465
"192","2007-10-05",5.4625
"193","2007-10-08",5.4925
"194","2007-10-09",5.505
"195","2007-10-10",5.505
"196","2007-10-11",5.435
"197","2007-10-12",5.61
"198","2007-10-15",5.505
"199","2007-10-16",5.4675
