"","date","PYPD"
"1","2020-06-26",19
"2","2020-06-29",18.99
"3","2020-06-30",18.030001
"4","2020-07-01",16.58
"5","2020-07-02",17.33
"6","2020-07-06",15.29
"7","2020-07-07",15.05
"8","2020-07-08",13.96
"9","2020-07-09",13.95
"10","2020-07-10",14.16
"11","2020-07-13",14.86
"12","2020-07-14",14.49
"13","2020-07-15",14.77
"14","2020-07-16",15.82
"15","2020-07-17",15.68
"16","2020-07-20",15.61
"17","2020-07-21",16
"18","2020-07-22",16.9
"19","2020-07-23",16.02
"20","2020-07-24",16.139999
"21","2020-07-27",16.25
"22","2020-07-28",15.91
"23","2020-07-29",15.785
"24","2020-07-30",15
"25","2020-07-31",13.98
"26","2020-08-03",14
"27","2020-08-04",13.9
"28","2020-08-05",13.95
"29","2020-08-06",14.36
"30","2020-08-07",14.21
"31","2020-08-10",14.21
"32","2020-08-11",13.77
"33","2020-08-12",13.82
"34","2020-08-13",14
"35","2020-08-14",13.91
"36","2020-08-17",14.23
"37","2020-08-18",14.03
"38","2020-08-19",13.86
"39","2020-08-20",13.5
"40","2020-08-21",13.65
"41","2020-08-24",13.27
"42","2020-08-25",12.6
"43","2020-08-26",12.55
"44","2020-08-27",11.87
"45","2020-08-28",12.06
"46","2020-08-31",12.02
"47","2020-09-01",11.8
"48","2020-09-02",12.8
"49","2020-09-03",11.8
"50","2020-09-04",11.19
"51","2020-09-08",11.33
"52","2020-09-09",11.9
"53","2020-09-10",12.98
"54","2020-09-11",13.175
"55","2020-09-14",13.36
"56","2020-09-15",13.55
"57","2020-09-16",13.48
"58","2020-09-17",13
"59","2020-09-18",13.55
"60","2020-09-21",12.51
"61","2020-09-22",12.55
"62","2020-09-23",12.6
"63","2020-09-24",12.4
"64","2020-09-25",12.625
"65","2020-09-28",11
"66","2020-09-29",11.67
"67","2020-09-30",11.01
"68","2020-10-01",11.25
"69","2020-10-02",11.102
"70","2020-10-05",10.75
"71","2020-10-06",10.9
"72","2020-10-07",10.03
"73","2020-10-08",10.7
"74","2020-10-09",10.4
"75","2020-10-12",10.355
"76","2020-10-13",10.06
"77","2020-10-14",10.55
"78","2020-10-15",13.45
"79","2020-10-16",13.5
"80","2020-10-19",13.33
"81","2020-10-20",12.9
"82","2020-10-21",11.78
"83","2020-10-22",11.4
"84","2020-10-23",11.4
"85","2020-10-26",11.2
"86","2020-10-27",11
"87","2020-10-28",10.22
"88","2020-10-29",10.2
"89","2020-10-30",10.42
"90","2020-11-02",10.26
"91","2020-11-03",10.1
"92","2020-11-04",10.05
"93","2020-11-05",10.35
"94","2020-11-06",9.98
"95","2020-11-09",10.19
"96","2020-11-10",9.77
"97","2020-11-11",9.51
"98","2020-11-12",10.31
"99","2020-11-13",9.68
"100","2020-11-16",9.665
"101","2020-11-17",9.7
"102","2020-11-18",9.57
"103","2020-11-19",8.99
"104","2020-11-20",8.89
"105","2020-11-23",9.2
"106","2020-11-24",10.63
"107","2020-11-25",11.1
"108","2020-11-27",11.26
