"","date","HBMD"
"1","2007-10-09",12.5
"2","2007-10-10",12.5
"3","2007-10-11",12.5
"4","2007-10-12",12.5
"5","2007-10-15",12.5
"6","2007-10-16",12.5
"7","2007-10-17",12.5
"8","2007-10-18",12.5
"9","2007-10-19",12.5
"10","2007-10-22",11.75
"11","2007-10-23",11.75
"12","2007-10-24",11.75
"13","2007-10-25",11
"14","2007-10-26",10.25
"15","2007-10-29",11.75
"16","2007-10-30",11.5
"17","2007-10-31",11.5
"18","2007-11-01",11.5
"19","2007-11-02",11
"20","2007-11-05",11
"21","2007-11-06",11
"22","2007-11-07",11
"23","2007-11-08",11
"24","2007-11-09",11
"25","2007-11-12",11
"26","2007-11-13",10
"27","2007-11-14",10.5
"28","2007-11-15",10.5
"29","2007-11-16",10.25
"30","2007-11-19",9.1
"31","2007-11-20",10.05
"32","2007-11-21",10.05
"33","2007-11-23",9.75
"34","2007-11-26",9.75
"35","2007-11-27",9.5
"36","2007-11-28",9.5
"37","2007-11-29",9.5
"38","2007-11-30",10.25
"39","2007-12-03",10.25
"40","2007-12-04",10.25
"41","2007-12-05",10.75
"42","2007-12-06",10.75
"43","2007-12-07",10.75
"44","2007-12-10",10.75
"45","2007-12-11",10.75
"46","2007-12-12",12.75
"47","2007-12-13",12.75
"48","2007-12-14",12.75
"49","2007-12-17",12.75
"50","2007-12-18",12.75
"51","2007-12-19",12.75
"52","2007-12-20",12.75
"53","2007-12-21",12.75
"54","2007-12-24",12.75
"55","2007-12-26",12.75
"56","2007-12-27",13.05
"57","2007-12-28",13.05
"58","2007-12-31",12.95
"59","2008-01-02",12.75
"60","2008-01-03",12.75
"61","2008-01-04",12.7
"62","2008-01-07",12.95
"63","2008-01-08",12.5
"64","2008-01-09",12.5
"65","2008-01-10",12.5
"66","2008-01-11",12.5
"67","2008-01-14",12.5
"68","2008-01-15",11
"69","2008-01-16",11
"70","2008-01-17",11
"71","2008-01-18",11
"72","2008-01-22",11
"73","2008-01-23",10.5
"74","2008-01-24",10.5
"75","2008-01-25",10.5
"76","2008-01-28",10.5
"77","2008-01-29",10.5
"78","2008-01-30",10.5
"79","2008-01-31",10.5
"80","2008-02-01",10.5
"81","2008-02-04",10.5
"82","2008-02-05",10.5
"83","2008-02-06",10.5
"84","2008-02-07",10.5
"85","2008-02-08",10.5
"86","2008-02-11",10.5
"87","2008-02-12",10.5
"88","2008-02-13",10.5
"89","2008-02-14",10.5
"90","2008-02-15",10.5
"91","2008-02-19",10.5
"92","2008-02-20",10.5
"93","2008-02-21",10.5
"94","2008-02-22",13
"95","2008-02-25",10.01
"96","2008-02-26",10.01
"97","2008-02-27",10.01
"98","2008-02-28",10.01
"99","2008-02-29",10.01
"100","2008-03-03",10.01
"101","2008-03-04",10.01
"102","2008-03-05",10.01
"103","2008-03-06",10.01
"104","2008-03-07",10.01
"105","2008-03-10",10.01
"106","2008-03-11",13.49
"107","2008-03-12",13.49
"108","2008-03-13",13.49
"109","2008-03-14",13.49
"110","2008-03-17",13.49
"111","2008-03-18",13.49
"112","2008-03-19",13.49
"113","2008-03-20",13.49
"114","2008-03-24",13.49
"115","2008-03-25",13.5
"116","2008-03-26",13.5
"117","2008-03-27",13.5
"118","2008-03-28",13.5
"119","2008-03-31",13.5
"120","2008-04-01",13.5
"121","2008-04-02",11
"122","2008-04-03",11
"123","2008-04-04",11
"124","2008-04-07",11
"125","2008-04-08",11
"126","2008-04-09",11
"127","2008-04-10",11
"128","2008-04-11",11
"129","2008-04-14",11
"130","2008-04-15",11
"131","2008-04-16",11
"132","2008-04-17",11
"133","2008-04-18",11
"134","2008-04-21",11
"135","2008-04-22",11.6
"136","2008-04-23",13
"137","2008-04-24",13
"138","2008-04-25",13
"139","2008-04-28",11.5
"140","2008-04-29",11.5
"141","2008-04-30",11.5
"142","2008-05-01",11.5
"143","2008-05-02",11.5
"144","2008-05-05",11.5
"145","2008-05-06",11.5
"146","2008-05-07",11.5
"147","2008-05-08",11.5
"148","2008-05-09",11.5
"149","2008-05-12",11.5
"150","2008-05-13",11.5
"151","2008-05-14",11.5
"152","2008-05-15",11.5
"153","2008-05-16",11.5
"154","2008-05-19",11.5
"155","2008-05-20",11.5
"156","2008-05-21",11.5
"157","2008-05-22",11.5
"158","2008-05-23",10.75
"159","2008-05-27",10.75
"160","2008-05-28",10.75
"161","2008-05-29",10.75
"162","2008-05-30",10.75
"163","2008-06-02",10.2
"164","2008-06-03",10.2
"165","2008-06-04",10.2
"166","2008-06-05",10.2
"167","2008-06-06",10.25
"168","2008-06-09",10.25
"169","2008-06-10",10.25
"170","2008-06-11",10.25
"171","2008-06-12",10.25
"172","2008-06-13",10.25
"173","2008-06-16",10.25
"174","2008-06-17",10.25
"175","2008-06-18",10
"176","2008-06-19",10
"177","2008-06-20",10
"178","2008-06-23",11.5
"179","2008-06-24",11.5
"180","2008-06-25",11.5
"181","2008-06-26",11.5
"182","2008-06-27",11.5
"183","2008-06-30",11.5
"184","2008-07-01",11.5
"185","2008-07-02",11.5
"186","2008-07-03",11.5
"187","2008-07-07",11.5
"188","2008-07-08",11.5
"189","2008-07-09",11.5
"190","2008-07-10",11.5
"191","2008-07-11",11.5
"192","2008-07-14",11.5
"193","2008-07-15",11.5
"194","2008-07-16",11.5
"195","2008-07-17",11.5
"196","2008-07-18",11.5
"197","2008-07-21",11.5
"198","2008-07-22",11.5
"199","2008-07-23",11.5
"200","2008-07-24",11.5
"201","2008-07-25",10.75
"202","2008-07-28",10.75
"203","2008-07-29",10.75
"204","2008-07-30",10.75
"205","2008-07-31",10.75
"206","2008-08-01",10.75
"207","2008-08-04",10.75
"208","2008-08-05",10.75
"209","2008-08-06",8.8
"210","2008-08-07",10.15
"211","2008-08-08",10.15
"212","2008-08-11",10.15
"213","2008-08-12",10.2
"214","2008-08-13",10.2
"215","2008-08-14",10.2
"216","2008-08-15",10.2
"217","2008-08-18",10.2
"218","2008-08-19",10.2
"219","2008-08-20",10.2
"220","2008-08-21",10.2
"221","2008-08-22",10.2
"222","2008-08-25",10.15
"223","2008-08-26",10.25
"224","2008-08-27",10.25
"225","2008-08-28",10.25
"226","2008-08-29",10.25
"227","2008-09-02",10.3
"228","2008-09-03",10.3
"229","2008-09-04",10.3
"230","2008-09-05",10.3
"231","2008-09-08",10.3
"232","2008-09-09",10.3
"233","2008-09-10",10.1
"234","2008-09-11",9.75
"235","2008-09-12",9.75
"236","2008-09-15",9.75
