"","date","BFRA"
"1","2018-02-14",12.18
"2","2018-02-15",12.6
"3","2018-02-16",14.23
"4","2018-02-20",15.25
"5","2018-02-21",15.28
"6","2018-02-22",14.45
"7","2018-02-23",14.33
"8","2018-02-26",14.8
"9","2018-02-27",14.03
"10","2018-02-28",14.1
"11","2018-03-01",13.54
"12","2018-03-02",13.388
"13","2018-03-05",13.74
"14","2018-03-06",14.87
"15","2018-03-07",14.62
"16","2018-03-08",15.15
"17","2018-03-09",15.88
"18","2018-03-12",16.620001
"19","2018-03-13",17.870001
"20","2018-03-14",16.73
"21","2018-03-15",17.16
"22","2018-03-16",17.200001
"23","2018-03-19",16.924999
"24","2018-03-20",17
"25","2018-03-21",17
"26","2018-03-22",15.573
"27","2018-03-23",14.875
"28","2018-03-26",15.077
"29","2018-03-27",15.13
"30","2018-03-28",14.32
"31","2018-03-29",16.52
"32","2018-04-02",15.7
"33","2018-04-03",14.32
"34","2018-04-04",15.3
"35","2018-04-05",13.8
"36","2018-04-06",13.7
"37","2018-04-09",13.76
"38","2018-04-10",13.76
"39","2018-04-11",13.6
"40","2018-04-12",14.2
"41","2018-04-13",14.327
"42","2018-04-16",13.9
"43","2018-04-17",14.08
"44","2018-04-18",14.08
"45","2018-04-19",14
"46","2018-04-20",14
"47","2018-04-23",14.105
"48","2018-04-24",14.105
"49","2018-04-25",13.92
"50","2018-04-26",13.7
"51","2018-04-27",13.59
"52","2018-04-30",13.1
"53","2018-05-01",12.898
"54","2018-05-02",12.898
"55","2018-05-03",13.19
"56","2018-05-04",13.19
"57","2018-05-07",14.33
"58","2018-05-08",13.72
"59","2018-05-09",13.81
"60","2018-05-10",13.622
"61","2018-05-11",14.07
"62","2018-05-14",13.51
"63","2018-05-15",13.61
"64","2018-05-16",13.67
"65","2018-05-17",13.94
"66","2018-05-18",13.61
"67","2018-05-21",13.738
"68","2018-05-22",13.43
"69","2018-05-23",13.29
"70","2018-05-24",13
"71","2018-05-25",12.72
"72","2018-05-29",12.72
"73","2018-05-30",14.26
"74","2018-05-31",13.16
"75","2018-06-01",12.9
"76","2018-06-04",13.04
"77","2018-06-05",13.04
"78","2018-06-06",13.04
"79","2018-06-07",13.117
"80","2018-06-08",13.942
"81","2018-06-11",13.75
"82","2018-06-12",13.22
"83","2018-06-13",13.25
"84","2018-06-14",13.492
"85","2018-06-15",13.07
"86","2018-06-18",13.255
"87","2018-06-19",13.35
"88","2018-06-20",13.201
"89","2018-06-21",13.25
"90","2018-06-22",13.023
"91","2018-06-25",12.97
"92","2018-06-26",12.95
"93","2018-06-27",12.43
"94","2018-06-28",11.679
"95","2018-06-29",12.15
