"","date","STEP"
"1","2020-09-16",25
"2","2020-09-17",24.75
"3","2020-09-18",25
"4","2020-09-21",24.42
"5","2020-09-22",26.780001
"6","2020-09-23",25.879999
"7","2020-09-24",25.16
"8","2020-09-25",25
"9","2020-09-28",26.49
"10","2020-09-29",25.559999
"11","2020-09-30",26.610001
"12","2020-10-01",25.809999
"13","2020-10-02",25.41
"14","2020-10-05",25.58
"15","2020-10-06",25.370001
"16","2020-10-07",25.540001
"17","2020-10-08",26.5
"18","2020-10-09",27.07
"19","2020-10-12",26.209999
"20","2020-10-13",25.18
"21","2020-10-14",25.33
"22","2020-10-15",25.790001
"23","2020-10-16",26.25
"24","2020-10-19",26.780001
"25","2020-10-20",26.879999
"26","2020-10-21",26.620001
"27","2020-10-22",27
"28","2020-10-23",26.549999
"29","2020-10-26",26.030001
"30","2020-10-27",25.92
"31","2020-10-28",25.4
"32","2020-10-29",25.1
"33","2020-10-30",25.709999
"34","2020-11-02",26.049999
"35","2020-11-03",27.08
"36","2020-11-04",28.120001
"37","2020-11-05",28.110001
"38","2020-11-06",27.68
"39","2020-11-09",28.299999
"40","2020-11-10",28.5
"41","2020-11-11",28.73
"42","2020-11-12",29.01
"43","2020-11-13",29.33
"44","2020-11-16",28.879999
"45","2020-11-17",27.6
"46","2020-11-18",27.290001
"47","2020-11-19",26.059999
"48","2020-11-20",25.42
"49","2020-11-23",25.530001
"50","2020-11-24",25.809999
"51","2020-11-25",26.41
"52","2020-11-27",26.299999
