"","date","KBNT"
"1","2020-08-12",4.15
"2","2020-08-13",4.5
"3","2020-08-14",4.32
"4","2020-08-17",4.46
"5","2020-08-18",4.41
"6","2020-08-19",4.25
"7","2020-08-20",4.32
"8","2020-08-21",4.23
"9","2020-08-24",4.13
"10","2020-08-25",4.15
"11","2020-08-26",3.98
"12","2020-08-27",3.89
"13","2020-08-28",3.69
"14","2020-08-31",3.73
"15","2020-09-01",4.14
"16","2020-09-02",4.39
"17","2020-09-03",4.07
"18","2020-09-04",4.08
"19","2020-09-08",4
"20","2020-09-09",4.02
"21","2020-09-10",3.94
"22","2020-09-11",3.8
"23","2020-09-14",3.88
"24","2020-09-15",3.97
"25","2020-09-16",4.1
"26","2020-09-17",4.12
"27","2020-09-18",4
"28","2020-09-21",4.1
"29","2020-09-22",3.8
"30","2020-09-23",3.91
"31","2020-09-24",2.92
"32","2020-09-25",2.66
"33","2020-09-28",2.29
"34","2020-09-29",2.35
"35","2020-09-30",2.23
"36","2020-10-01",2.25
"37","2020-10-02",2.305
"38","2020-10-05",2.41
"39","2020-10-06",2.57
"40","2020-10-07",2.6
"41","2020-10-08",2.64
"42","2020-10-09",2.73
"43","2020-10-12",2.8
"44","2020-10-13",2.75
"45","2020-10-14",3.02
"46","2020-10-15",2.94
"47","2020-10-16",3.03
"48","2020-10-19",3
"49","2020-10-20",3.11
"50","2020-10-21",3.05
"51","2020-10-22",3.13
"52","2020-10-23",3.39
"53","2020-10-26",3.18
"54","2020-10-27",3.25
"55","2020-10-28",2.97
"56","2020-10-29",3
"57","2020-10-30",2.89
"58","2020-11-02",2.73
"59","2020-11-03",2.76
"60","2020-11-04",2.95
"61","2020-11-05",3
"62","2020-11-06",3.05
"63","2020-11-09",2.81
"64","2020-11-10",2.92
"65","2020-11-11",2.86
"66","2020-11-12",2.96
"67","2020-11-13",2.77
"68","2020-11-16",2.73
"69","2020-11-17",2.64
"70","2020-11-18",2.6
"71","2020-11-19",2.7
"72","2020-11-20",2.81
"73","2020-11-23",3.04
"74","2020-11-24",2.97
"75","2020-11-25",3.32
"76","2020-11-27",3.98
