"","date","MTRX"
"1","2007-01-03",15.1
"2","2007-01-04",16.700001
"3","2007-01-05",16.200001
"4","2007-01-08",16.940001
"5","2007-01-09",16.969999
"6","2007-01-10",16.940001
"7","2007-01-11",17.15
"8","2007-01-12",17.030001
"9","2007-01-16",16.959999
"10","2007-01-17",16.91
"11","2007-01-18",16.68
"12","2007-01-19",17.110001
"13","2007-01-22",17.16
"14","2007-01-23",18.049999
"15","2007-01-24",17.82
"16","2007-01-25",17.59
"17","2007-01-26",17.65
"18","2007-01-29",17.82
"19","2007-01-30",18.129999
"20","2007-01-31",18.42
"21","2007-02-01",18.99
"22","2007-02-02",19
"23","2007-02-05",19.040001
"24","2007-02-06",19.379999
"25","2007-02-07",19.6
"26","2007-02-08",19.530001
"27","2007-02-09",19.450001
"28","2007-02-12",18.639999
"29","2007-02-13",18.59
"30","2007-02-14",18.77
"31","2007-02-15",18.74
"32","2007-02-16",18.629999
"33","2007-02-20",18.83
"34","2007-02-21",18.790001
"35","2007-02-22",19.059999
"36","2007-02-23",18.85
"37","2007-02-26",19.1
"38","2007-02-27",18.02
"39","2007-02-28",17.93
"40","2007-03-01",17.780001
"41","2007-03-02",16.5
"42","2007-03-05",16.52
"43","2007-03-06",17.58
"44","2007-03-07",17.969999
"45","2007-03-08",17.879999
"46","2007-03-09",18.02
"47","2007-03-12",18.5
"48","2007-03-13",17.700001
"49","2007-03-14",18.379999
"50","2007-03-15",18.35
"51","2007-03-16",18.02
"52","2007-03-19",18.75
"53","2007-03-20",18.950001
"54","2007-03-21",19.59
"55","2007-03-22",19.66
"56","2007-03-23",20.059999
"57","2007-03-26",20.26
"58","2007-03-27",20
"59","2007-03-28",20.35
"60","2007-03-29",20.07
"61","2007-03-30",20.23
"62","2007-04-02",20.68
"63","2007-04-03",20.799999
"64","2007-04-04",21.41
"65","2007-04-05",24.57
"66","2007-04-09",25.639999
"67","2007-04-10",25.52
"68","2007-04-11",25.059999
"69","2007-04-12",25.85
"70","2007-04-13",26.299999
"71","2007-04-16",26.68
"72","2007-04-17",26.530001
"73","2007-04-18",26.16
"74","2007-04-19",25.780001
"75","2007-04-20",25.719999
"76","2007-04-23",25.940001
"77","2007-04-24",24.99
"78","2007-04-25",25.459999
"79","2007-04-26",24.82
"80","2007-04-27",24.309999
"81","2007-04-30",24.4
