"","date","AVGO"
"1","2009-08-06",16.18
"2","2009-08-07",16.43
"3","2009-08-10",15.97
"4","2009-08-11",15.67
"5","2009-08-12",16
"6","2009-08-13",16.549999
"7","2009-08-14",16.6
"8","2009-08-17",16.219999
"9","2009-08-18",17.07
"10","2009-08-19",17.889999
"11","2009-08-20",17.76
"12","2009-08-21",17.82
"13","2009-08-24",17.5
"14","2009-08-25",17.85
"15","2009-08-26",17.85
"16","2009-08-27",18.16
"17","2009-08-28",18.469999
"18","2009-08-31",18.200001
"19","2009-09-01",17.85
"20","2009-09-02",17.68
"21","2009-09-03",17.450001
"22","2009-09-04",17.76
"23","2009-09-08",17.700001
"24","2009-09-09",17.26
"25","2009-09-10",17.049999
"26","2009-09-11",16.879999
"27","2009-09-14",16.65
"28","2009-09-15",17.18
"29","2009-09-16",17.58
"30","2009-09-17",16.639999
"31","2009-09-18",16.200001
"32","2009-09-21",16.610001
"33","2009-09-22",17.25
"34","2009-09-23",17.4
"35","2009-09-24",17.49
"36","2009-09-25",17.129999
"37","2009-09-28",17.65
"38","2009-09-29",17.030001
"39","2009-09-30",17.07
"40","2009-10-01",16.309999
"41","2009-10-02",16.09
"42","2009-10-05",16.49
"43","2009-10-06",16.469999
"44","2009-10-07",16.129999
"45","2009-10-08",16.01
"46","2009-10-09",16.25
"47","2009-10-12",16.34
"48","2009-10-13",16.530001
"49","2009-10-14",16.860001
"50","2009-10-15",17.16
"51","2009-10-16",16.43
"52","2009-10-19",16.24
"53","2009-10-20",16.530001
"54","2009-10-21",16.49
"55","2009-10-22",16.280001
"56","2009-10-23",16.049999
"57","2009-10-26",15.84
"58","2009-10-27",15.45
"59","2009-10-28",14.93
"60","2009-10-29",15.04
"61","2009-10-30",15
"62","2009-11-02",14.87
"63","2009-11-03",14.49
"64","2009-11-04",14.78
"65","2009-11-05",15.32
"66","2009-11-06",15.29
"67","2009-11-09",15.66
"68","2009-11-10",15.45
"69","2009-11-11",15.36
"70","2009-11-12",15.6
"71","2009-11-13",15.58
"72","2009-11-16",16.01
"73","2009-11-17",16.07
"74","2009-11-18",16.030001
"75","2009-11-19",15.57
"76","2009-11-20",15.44
"77","2009-11-23",15.19
"78","2009-11-24",15.26
"79","2009-11-25",15.5
"80","2009-11-27",15.86
"81","2009-11-30",15.86
"82","2009-12-01",15.96
"83","2009-12-02",15.61
"84","2009-12-03",15.93
"85","2009-12-04",16.52
"86","2009-12-07",16.870001
"87","2009-12-08",16.75
"88","2009-12-09",16.809999
"89","2009-12-10",16.77
"90","2009-12-11",16.58
"91","2009-12-14",16.85
"92","2009-12-15",16.74
"93","2009-12-16",17
"94","2009-12-17",16.309999
"95","2009-12-18",16.389999
"96","2009-12-21",16.49
"97","2009-12-22",16.73
"98","2009-12-23",16.780001
"99","2009-12-24",16.780001
"100","2009-12-28",17.379999
"101","2009-12-29",17.530001
"102","2009-12-30",17.690001
"103","2009-12-31",18.290001
"104","2010-01-04",18.860001
"105","2010-01-05",19
"106","2010-01-06",19.15
"107","2010-01-07",19.030001
"108","2010-01-08",19.17
"109","2010-01-11",19.290001
"110","2010-01-12",19
"111","2010-01-13",18.42
"112","2010-01-14",18.43
"113","2010-01-15",18.24
