"","date","CHTR"
"110","2010-06-11",34.5
"111","2010-06-14",34.099998
"112","2010-06-15",34.5
"113","2010-06-16",34.700001
"114","2010-06-17",34.75
"115","2010-06-18",35.25
"116","2010-06-21",35.25
"117","2010-06-22",35.5
"118","2010-06-23",35.650002
"119","2010-06-24",35.599998
"120","2010-06-25",35.599998
"121","2010-06-28",35.349998
"122","2010-06-29",35.5
"123","2010-06-30",35.299999
"124","2010-07-01",35.5
"125","2010-07-02",35.5
"126","2010-07-06",36.5
"127","2010-07-07",36.5
"128","2010-07-08",36
"129","2010-07-09",36.200001
"130","2010-07-12",36.25
"131","2010-07-13",36.049999
"132","2010-07-14",35.549999
"133","2010-07-15",35.450001
"134","2010-07-16",35.400002
"135","2010-07-19",35
"136","2010-07-20",35.5
"137","2010-07-21",35.25
"138","2010-07-22",35.049999
"139","2010-07-23",35
"140","2010-07-26",35
"141","2010-07-27",35.5
"142","2010-07-28",35.5
"143","2010-07-29",36.25
"144","2010-07-30",36.5
"145","2010-08-02",36.5
"146","2010-08-03",36.25
"147","2010-08-04",36.5
"148","2010-08-05",36.25
"149","2010-08-06",36.25
"150","2010-08-09",36.150002
"151","2010-08-10",36.200001
"152","2010-08-11",36.200001
"153","2010-08-12",36.200001
"154","2010-08-13",36.150002
"155","2010-08-16",35.549999
"156","2010-08-17",35.049999
"157","2010-08-18",35.049999
"158","2010-08-19",35.099998
"159","2010-08-20",35
"160","2010-08-23",35
"161","2010-08-24",34.75
"162","2010-08-25",34.5
"163","2010-08-26",34.25
"164","2010-08-27",33.75
"165","2010-08-30",33.75
"166","2010-08-31",33.75
"167","2010-09-01",34
"168","2010-09-02",33.799999
"169","2010-09-03",34
"170","2010-09-07",34
"171","2010-09-08",34
"172","2010-09-09",34.200001
"173","2010-09-10",34
"174","2010-09-13",35
"175","2010-09-14",35.5
"176","2010-09-15",34.75
"177","2010-09-16",34.110001
"178","2010-09-17",34.5
"179","2010-09-20",34.5
"180","2010-09-21",33.84
"181","2010-09-22",33.5
"182","2010-09-23",33.299999
"183","2010-09-24",33.799999
"184","2010-09-27",33.049999
"185","2010-09-28",33.490002
"186","2010-09-29",33.34
"187","2010-09-30",32.5
"188","2010-10-01",33.099998
"189","2010-10-04",32.98
"190","2010-10-05",32.900002
"191","2010-10-06",32.419998
"192","2010-10-07",32.169998
"193","2010-10-08",32
"194","2010-10-11",32.849998
"195","2010-10-12",32.900002
"196","2010-10-13",32.5
"197","2010-10-14",33
"198","2010-10-15",33.290001
"199","2010-10-18",32.900002
"200","2010-10-19",33.09
"201","2010-10-20",32.98
"202","2010-10-21",32.93
"203","2010-10-22",33.119999
"204","2010-10-25",32.5
"205","2010-10-26",32.66
"206","2010-10-27",32.459999
"207","2010-10-28",32.470001
"208","2010-10-29",32.48
"209","2010-11-01",32.549999
"210","2010-11-02",32.509998
"211","2010-11-03",33.349998
"212","2010-11-04",35.75
"213","2010-11-05",35.720001
"214","2010-11-08",35.790001
"215","2010-11-09",35.799999
"216","2010-11-10",35.900002
"217","2010-11-11",36
"218","2010-11-12",35.830002
"219","2010-11-15",35.869999
"220","2010-11-16",35.869999
"221","2010-11-17",35.790001
"222","2010-11-18",35.810001
"223","2010-11-19",35.689999
"224","2010-11-22",35.310001
"225","2010-11-23",35.049999
"226","2010-11-24",34.990002
"227","2010-11-26",34.900002
"228","2010-11-29",34.09
"229","2010-11-30",33.52
"230","2010-12-01",34.380001
"231","2010-12-02",34.5
"232","2010-12-03",35.07
"233","2010-12-06",35.439999
"234","2010-12-07",35.740002
"235","2010-12-08",35.919998
"236","2010-12-09",35.700001
"237","2010-12-10",36
"238","2010-12-13",36.810001
"239","2010-12-14",37.009998
"240","2010-12-15",38
"241","2010-12-16",37.73
"242","2010-12-17",38.669998
"243","2010-12-20",38.040001
"244","2010-12-21",38.220001
"245","2010-12-22",38.5
"246","2010-12-23",38.110001
"247","2010-12-27",38.169998
"248","2010-12-28",38.310001
"249","2010-12-29",38.5
"250","2010-12-30",38.509998
"251","2010-12-31",38.939999
"252","2011-01-03",38.459999
"253","2011-01-04",39.599998
"254","2011-01-05",39.57
"255","2011-01-06",39.220001
"256","2011-01-07",39.18
"257","2011-01-10",39.150002
"258","2011-01-11",39.040001
"259","2011-01-12",39.869999
"260","2011-01-13",40.02
"261","2011-01-14",40.93
"262","2011-01-18",40.990002
"263","2011-01-19",41.5
"264","2011-01-20",41.099998
"265","2011-01-21",41.130001
"266","2011-01-24",41.290001
"267","2011-01-25",41.66
"268","2011-01-26",42.259998
"269","2011-01-27",42.119999
"270","2011-01-28",42.040001
"271","2011-01-31",42
"272","2011-02-01",41.639999
