"","date","OCSL"
"1","2008-06-12",12.12
"2","2008-06-13",12.25
"3","2008-06-16",12.4
"4","2008-06-17",12.45
"5","2008-06-18",11.7
"6","2008-06-19",11.27
"7","2008-06-20",10.9
"8","2008-06-23",10.91
"9","2008-06-24",10.9
"10","2008-06-25",10.7
"11","2008-06-26",10.28
"12","2008-06-27",10.26
"13","2008-06-30",10.29
"14","2008-07-01",10.25
"15","2008-07-02",10.15
"16","2008-07-03",9.8
"17","2008-07-07",9.94
"18","2008-07-08",9.59
"19","2008-07-09",9
"20","2008-07-10",9.1
"21","2008-07-11",9.26
"22","2008-07-14",8.85
"23","2008-07-15",8.12
"24","2008-07-16",8.49
"25","2008-07-17",8.51
"26","2008-07-18",8.78
"27","2008-07-21",9.11
"28","2008-07-22",9.16
"29","2008-07-23",9.25
"30","2008-07-24",9.26
"31","2008-07-25",9.25
"32","2008-07-28",9.12
"33","2008-07-29",9.03
"34","2008-07-30",9.15
"35","2008-07-31",9.64
"36","2008-08-01",9.88
"37","2008-08-04",9.71
"38","2008-08-05",9.83
"39","2008-08-06",9.75
"40","2008-08-07",9.77
"41","2008-08-08",9.5
"42","2008-08-11",9.78
"43","2008-08-12",9.94
"44","2008-08-13",9.88
"45","2008-08-14",10.21
"46","2008-08-15",10.61
"47","2008-08-18",10.47
"48","2008-08-19",10.9
"49","2008-08-20",10.68
"50","2008-08-21",10.74
"51","2008-08-22",10.61
"52","2008-08-25",10.5
"53","2008-08-26",10.1
"54","2008-08-27",10.45
"55","2008-08-28",11.11
"56","2008-08-29",11.15
"57","2008-09-02",11
"58","2008-09-03",11.2
"59","2008-09-04",10.92
"60","2008-09-05",11.09
"61","2008-09-08",10.75
"62","2008-09-09",10.3
"63","2008-09-10",10.13
"64","2008-09-11",10.15
"65","2008-09-12",9.75
"66","2008-09-15",9.6
"67","2008-09-16",9.5
"68","2008-09-17",8.98
"69","2008-09-18",8.38
"70","2008-09-19",9
"71","2008-09-22",9.14
"72","2008-09-23",9
"73","2008-09-24",8.97
"74","2008-09-25",8.85
"75","2008-09-26",9.23
"76","2008-09-29",9.5
"77","2008-09-30",10.05
"78","2008-10-01",9.69
"79","2008-10-02",8.5
"80","2008-10-03",7.9
"81","2008-10-06",7.55
"82","2008-10-07",7.16
"83","2008-10-08",6.82
"84","2008-10-09",6
"85","2008-10-10",5.59
"86","2008-10-13",7.39
"87","2008-10-14",7.96
"88","2008-10-15",7.18
"89","2008-10-16",8.15
"90","2008-10-17",7.77
"91","2008-10-20",7.97
"92","2008-10-21",7.76
"93","2008-10-22",7.27
"94","2008-10-23",6.81
"95","2008-10-24",6.06
"96","2008-10-27",5.83
"97","2008-10-28",5.85
"98","2008-10-29",6.09
"99","2008-10-30",6.33
"100","2008-10-31",6.8
"101","2008-11-03",7.02
"102","2008-11-04",7.62
"103","2008-11-05",7.36
"104","2008-11-06",6.83
"105","2008-11-07",6.73
"106","2008-11-10",6.6
"107","2008-11-11",6.35
"108","2008-11-12",6.08
"109","2008-11-13",6.72
"110","2008-11-14",6.61
"111","2008-11-17",6.43
"112","2008-11-18",6.4
"113","2008-11-19",5.98
"114","2008-11-20",6.6
"115","2008-11-21",6.87
"116","2008-11-24",6.96
"117","2008-11-25",6.6
"118","2008-11-26",7
"119","2008-11-28",7.33
"120","2008-12-01",6.77
"121","2008-12-02",6.86
"122","2008-12-03",6.89
"123","2008-12-04",6.63
"124","2008-12-05",6.84
"125","2008-12-08",6.88
"126","2008-12-09",6.75
"127","2008-12-10",6.81
"128","2008-12-11",7.25
"129","2008-12-12",7.68
"130","2008-12-15",7.75
"131","2008-12-16",8.29
"132","2008-12-17",8.14
"133","2008-12-18",8.19
"134","2008-12-19",8.48
"135","2008-12-22",8.19
"136","2008-12-23",7.75
"137","2008-12-24",7.88
"138","2008-12-26",7.54
"139","2008-12-29",7.24
"140","2008-12-30",7.38
"141","2008-12-31",7.55
"142","2009-01-02",7.5
"143","2009-01-05",7.5
"144","2009-01-06",7.34
