"","date","PFMT"
"1","2012-08-10",10.6
"2","2012-08-13",10.16
"3","2012-08-14",10.21
"4","2012-08-15",10.52
"5","2012-08-16",10.44
"6","2012-08-17",10.95
"7","2012-08-20",10.6
"8","2012-08-21",10.55
"9","2012-08-22",10.22
"10","2012-08-23",10.12
"11","2012-08-24",10.32
"12","2012-08-27",10.4
"13","2012-08-28",10.95
"14","2012-08-29",10.78
"15","2012-08-30",10.97
"16","2012-08-31",10.85
"17","2012-09-04",10.92
"18","2012-09-05",11.13
"19","2012-09-06",11.28
"20","2012-09-07",11.22
"21","2012-09-10",11.02
"22","2012-09-11",11.28
"23","2012-09-12",11.54
"24","2012-09-13",11.88
"25","2012-09-14",11.72
"26","2012-09-17",11.66
"27","2012-09-18",11.89
"28","2012-09-19",11.45
"29","2012-09-20",10.84
"30","2012-09-21",10.76
"31","2012-09-24",9.87
"32","2012-09-25",10.06
"33","2012-09-26",10.45
"34","2012-09-27",10.37
"35","2012-09-28",10.73
"36","2012-10-01",10.95
"37","2012-10-02",10.86
"38","2012-10-03",10.87
"39","2012-10-04",10.84
"40","2012-10-05",10.78
"41","2012-10-08",10.7
"42","2012-10-09",10.72
"43","2012-10-10",10.61
"44","2012-10-11",10.6
"45","2012-10-12",10.88
"46","2012-10-15",11.03
"47","2012-10-16",11.65
"48","2012-10-17",11.75
"49","2012-10-18",11.62
"50","2012-10-19",11.37
"51","2012-10-22",11.07
"52","2012-10-23",10.44
"53","2012-10-24",9.94
"54","2012-10-25",10.14
"55","2012-10-26",9.96
"56","2012-10-31",9.87
"57","2012-11-01",9.93
"58","2012-11-02",9.66
"59","2012-11-05",9.5
"60","2012-11-06",10.3
"61","2012-11-07",10.2
"62","2012-11-08",9.57
"63","2012-11-09",9.66
"64","2012-11-12",8.87
"65","2012-11-13",8.45
"66","2012-11-14",7.96
"67","2012-11-15",8.32
"68","2012-11-16",8.68
"69","2012-11-19",8.55
"70","2012-11-20",8.15
"71","2012-11-21",8.14
"72","2012-11-23",7.84
"73","2012-11-26",7.92
"74","2012-11-27",7.87
"75","2012-11-28",8.84
"76","2012-11-29",9.64
"77","2012-11-30",9.66
"78","2012-12-03",9.74
"79","2012-12-04",9.48
"80","2012-12-05",9.05
"81","2012-12-06",8.79
"82","2012-12-07",8.49
"83","2012-12-10",8.39
"84","2012-12-11",8.69
"85","2012-12-12",8.67
"86","2012-12-13",8.64
"87","2012-12-14",8.95
"88","2012-12-17",9.05
"89","2012-12-18",9.2
"90","2012-12-19",9.26
"91","2012-12-20",9.5
"92","2012-12-21",9.95
"93","2012-12-24",9.88
"94","2012-12-26",10.3
"95","2012-12-27",9.89
"96","2012-12-28",10
"97","2012-12-31",10.1
"98","2013-01-02",10.46
"99","2013-01-03",10.46
"100","2013-01-04",10.28
"101","2013-01-07",10.69
"102","2013-01-08",10.77
"103","2013-01-09",11.08
"104","2013-01-10",10.98
"105","2013-01-11",11.01
"106","2013-01-14",11.09
"107","2013-01-15",11.13
"108","2013-01-16",11.16
"109","2013-01-17",11.31
"110","2013-01-18",11.32
"111","2013-01-22",10.91
"112","2013-01-23",11.06
"113","2013-01-24",11.39
"114","2013-01-25",11.34
"115","2013-01-28",11.17
"116","2013-01-29",11.06
"117","2013-01-30",11.02
"118","2013-01-31",12.7
"119","2013-02-01",12.9
"120","2013-02-04",12.61
"121","2013-02-05",12.6
"122","2013-02-06",12.95
"123","2013-02-07",13.24
"124","2013-02-08",13.28
"125","2013-02-11",12.99
"126","2013-02-12",13
"127","2013-02-13",13.04
"128","2013-02-14",12.88
"129","2013-02-15",12.81
"130","2013-02-19",12.9
"131","2013-02-20",12.78
"132","2013-02-21",12.95
"133","2013-02-22",13.02
"134","2013-02-25",13.06
"135","2013-02-26",12.96
"136","2013-02-27",13.25
"137","2013-02-28",13.25
"138","2013-03-01",13.37
"139","2013-03-04",14.02
"140","2013-03-05",13.45
"141","2013-03-06",13.59
"142","2013-03-07",13.55
"143","2013-03-08",13.46
"144","2013-03-11",13.47
"145","2013-03-12",13.83
"146","2013-03-13",13.63
"147","2013-03-14",13.39
"148","2013-03-15",13.33
"149","2013-03-18",13.24
"150","2013-03-19",12.76
"151","2013-03-20",13
"152","2013-03-21",12.71
"153","2013-03-22",12.78
"154","2013-03-25",12.85
"155","2013-03-26",12.88
"156","2013-03-27",12.46
"157","2013-03-28",12.28
"158","2013-04-01",12.04
"159","2013-04-02",12.6
"160","2013-04-03",12.45
"161","2013-04-04",12.31
"162","2013-04-05",12.3
"163","2013-04-08",12.55
"164","2013-04-09",12.89
"165","2013-04-10",13.15
"166","2013-04-11",12.7
"167","2013-04-12",12.6
"168","2013-04-15",12.25
"169","2013-04-16",12.47
"170","2013-04-17",12.32
"171","2013-04-18",12.2
"172","2013-04-19",11.2
"173","2013-04-22",11.58
"174","2013-04-23",11.62
"175","2013-04-24",11.38
"176","2013-04-25",11.01
"177","2013-04-26",10.56
"178","2013-04-29",10.53
"179","2013-04-30",9.73
"180","2013-05-01",9.8
"181","2013-05-02",9.92
"182","2013-05-03",10.24
"183","2013-05-06",10.3
"184","2013-05-07",10.21
"185","2013-05-08",10.16
"186","2013-05-09",9.55
"187","2013-05-10",9.78
"188","2013-05-13",9.35
"189","2013-05-14",9.63
"190","2013-05-15",9.44
"191","2013-05-16",9.75
"192","2013-05-17",9.8
"193","2013-05-20",9.93
"194","2013-05-21",10.1
"195","2013-05-22",10.3
"196","2013-05-23",10.27
"197","2013-05-24",10.5
"198","2013-05-28",10.9
"199","2013-05-29",10.82
"200","2013-05-30",10.9
"201","2013-05-31",11.03
"202","2013-06-03",11.04
"203","2013-06-04",11.05
"204","2013-06-05",11.07
"205","2013-06-06",11.18
"206","2013-06-07",11.14
"207","2013-06-10",11.28
"208","2013-06-11",11.3
"209","2013-06-12",11.27
"210","2013-06-13",11.29
"211","2013-06-14",11.37
"212","2013-06-17",11.26
"213","2013-06-18",11.22
"214","2013-06-19",11.07
"215","2013-06-20",11.01
"216","2013-06-21",11.39
"217","2013-06-24",11.43
"218","2013-06-25",11.79
"219","2013-06-26",11.91
"220","2013-06-27",12.4
"221","2013-06-28",11.59
"222","2013-07-01",11.1
"223","2013-07-02",11.09
"224","2013-07-03",11.16
"225","2013-07-05",11.06
"226","2013-07-08",11.06
"227","2013-07-09",10.96
"228","2013-07-10",11.2
"229","2013-07-11",11.2
"230","2013-07-12",10.98
"231","2013-07-15",11.05
"232","2013-07-16",10.82
"233","2013-07-17",10.52
"234","2013-07-18",10.47
"235","2013-07-19",10.69
"236","2013-07-22",10.47
"237","2013-07-23",10.5
"238","2013-07-24",10.5
"239","2013-07-25",10.79
"240","2013-07-26",10.65
"241","2013-07-29",10.57
"242","2013-07-30",10.46
"243","2013-07-31",10.57
"244","2013-08-01",10.74
"245","2013-08-02",10.78
"246","2013-08-05",10.87
"247","2013-08-06",10.75
"248","2013-08-07",10.8
"249","2013-08-08",11.07
"250","2013-08-09",11.84
"251","2013-08-12",11.88
"252","2013-08-13",11.46
"253","2013-08-14",11.23
"254","2013-08-15",11.1
"255","2013-08-16",11.04
"256","2013-08-19",11
"257","2013-08-20",10.99
"258","2013-08-21",10.71
"259","2013-08-22",11.01
"260","2013-08-23",10.91
"261","2013-08-26",11.06
"262","2013-08-27",10.67
"263","2013-08-28",10.94
"264","2013-08-29",10.92
"265","2013-08-30",10.83
"266","2013-09-03",11.01
"267","2013-09-04",10.9
"268","2013-09-05",10.9
"269","2013-09-06",10.69
"270","2013-09-09",10.78
"271","2013-09-10",10.82
"272","2013-09-11",10.73
"273","2013-09-12",10.62
"274","2013-09-13",10.97
"275","2013-09-16",10.81
"276","2013-09-17",10.83
"277","2013-09-18",10.9
"278","2013-09-19",11
"279","2013-09-20",11.01
"280","2013-09-23",11.02
"281","2013-09-24",10.9
"282","2013-09-25",11.02
"283","2013-09-26",11.25
"284","2013-09-27",11.19
"285","2013-09-30",10.9
"286","2013-10-01",9.75
"287","2013-10-02",9.53
"288","2013-10-03",9.61
"289","2013-10-04",9.88
"290","2013-10-07",9.91
"291","2013-10-08",9.55
"292","2013-10-09",9.36
"293","2013-10-10",9.57
"294","2013-10-11",9.79
"295","2013-10-14",9.69
"296","2013-10-15",9.33
"297","2013-10-16",9.33
"298","2013-10-17",9.46
"299","2013-10-18",9.88
"300","2013-10-21",9.7
"301","2013-10-22",9.67
"302","2013-10-23",9.83
"303","2013-10-24",9.9
"304","2013-10-25",9.93
"305","2013-10-28",10
"306","2013-10-29",10.27
"307","2013-10-30",9.89
"308","2013-10-31",9.97
"309","2013-11-01",10.24
"310","2013-11-04",10.68
"311","2013-11-05",10.46
"312","2013-11-06",10.23
"313","2013-11-07",9.56
"314","2013-11-08",9.5
"315","2013-11-11",9.49
"316","2013-11-12",9.5
"317","2013-11-13",9.55
"318","2013-11-14",9.7
"319","2013-11-15",10.01
"320","2013-11-18",10.93
"321","2013-11-19",10.75
"322","2013-11-20",10.51
"323","2013-11-21",10.58
"324","2013-11-22",10.59
"325","2013-11-25",10.58
"326","2013-11-26",10.37
"327","2013-11-27",10.41
"328","2013-11-29",10.49
"329","2013-12-02",10.2
"330","2013-12-03",10.58
"331","2013-12-04",10.6
"332","2013-12-05",10.4
"333","2013-12-06",10.23
"334","2013-12-09",10.47
"335","2013-12-10",10.59
"336","2013-12-11",10.66
"337","2013-12-12",10.27
"338","2013-12-13",9.97
"339","2013-12-16",9.95
"340","2013-12-17",9.98
"341","2013-12-18",10.24
"342","2013-12-19",10.16
"343","2013-12-20",10.49
"344","2013-12-23",10.4
"345","2013-12-24",10.26
"346","2013-12-26",10.48
"347","2013-12-27",10.59
"348","2013-12-30",10.51
"349","2013-12-31",10.3
"350","2014-01-02",10.65
"351","2014-01-03",10.95
"352","2014-01-06",11.2
"353","2014-01-07",11.29
"354","2014-01-08",11.26
"355","2014-01-09",11.25
"356","2014-01-10",11.04
"357","2014-01-13",10.6
"358","2014-01-14",10.95
"359","2014-01-15",10.65
"360","2014-01-16",10.58
"361","2014-01-17",9
"362","2014-01-21",9.25
"363","2014-01-22",9.55
"364","2014-01-23",8.8
"365","2014-01-24",8.92
"366","2014-01-27",9
"367","2014-01-28",8.94
"368","2014-01-29",8.66
"369","2014-01-30",8.73
"370","2014-01-31",8.53
"371","2014-02-03",7.84
"372","2014-02-04",7.41
"373","2014-02-05",7.73
"374","2014-02-06",7.74
"375","2014-02-07",7.76
"376","2014-02-10",7.74
"377","2014-02-11",7.86
"378","2014-02-12",7.76
"379","2014-02-13",7.7
"380","2014-02-14",8.02
"381","2014-02-18",8.04
"382","2014-02-19",7.96
"383","2014-02-20",7.94
"384","2014-02-21",7.31
"385","2014-02-24",7.3
"386","2014-02-25",7.25
"387","2014-02-26",7.26
"388","2014-02-27",7.23
"389","2014-02-28",7.91
"390","2014-03-03",7.62
"391","2014-03-04",8
"392","2014-03-05",7.98
"393","2014-03-06",8.11
"394","2014-03-07",8
"395","2014-03-10",8
"396","2014-03-11",7.95
"397","2014-03-12",7.86
"398","2014-03-13",7.79
"399","2014-03-14",7.78
"400","2014-03-17",7.9
"401","2014-03-18",8.1
"402","2014-03-19",8.26
"403","2014-03-20",8.56
"404","2014-03-21",8.67
"405","2014-03-24",8.76
"406","2014-03-25",8.97
"407","2014-03-26",9.05
"408","2014-03-27",8.9
"409","2014-03-28",9.21
"410","2014-03-31",9.05
"411","2014-04-01",8.89
"412","2014-04-02",9.12
"413","2014-04-03",9.12
"414","2014-04-04",8.83
"415","2014-04-07",8.65
"416","2014-04-08",8.78
"417","2014-04-09",8.67
"418","2014-04-10",8.52
"419","2014-04-11",8.41
"420","2014-04-14",8.41
"421","2014-04-15",8.36
"422","2014-04-16",8.4
"423","2014-04-17",8.66
"424","2014-04-21",8.65
"425","2014-04-22",8.46
"426","2014-04-23",8.72
"427","2014-04-24",8.64
"428","2014-04-25",8.55
"429","2014-04-28",8.65
"430","2014-04-29",8.64
"431","2014-04-30",8.71
"432","2014-05-01",8.35
"433","2014-05-02",8.6
"434","2014-05-05",8.91
"435","2014-05-06",8.62
"436","2014-05-07",8.75
"437","2014-05-08",8.82
"438","2014-05-09",8.67
"439","2014-05-12",9.31
"440","2014-05-13",9.09
"441","2014-05-14",8.75
"442","2014-05-15",8.64
"443","2014-05-16",8.73
"444","2014-05-19",8.6
"445","2014-05-20",8.66
"446","2014-05-21",8.77
"447","2014-05-22",8.95
"448","2014-05-23",8.97
"449","2014-05-27",9.31
"450","2014-05-28",9.51
"451","2014-05-29",9.47
"452","2014-05-30",9.49
"453","2014-06-02",9.39
"454","2014-06-03",9.47
"455","2014-06-04",9.58
"456","2014-06-05",9.9
"457","2014-06-06",9.92
