"","date","PPBI"
"1","2007-01-03",12.1
"2","2007-01-04",12.25
"3","2007-01-05",12.35
"4","2007-01-08",12.25
"5","2007-01-09",12.07
"6","2007-01-10",12.27
"7","2007-01-11",12.35
"8","2007-01-12",12.33
"9","2007-01-16",12.17
"10","2007-01-17",12.25
"11","2007-01-18",12.19
"12","2007-01-19",11.76
"13","2007-01-22",11.89
"14","2007-01-23",11.8
"15","2007-01-24",11.8
"16","2007-01-25",12.23
"17","2007-01-26",11.88
"18","2007-01-29",11.88
"19","2007-01-30",12.06
"20","2007-01-31",11.96
"21","2007-02-01",12.14
"22","2007-02-02",12
"23","2007-02-05",12.05
"24","2007-02-06",11.82
"25","2007-02-07",11.64
"26","2007-02-08",11.49
"27","2007-02-09",11.29
"28","2007-02-12",11.3
"29","2007-02-13",11.32
"30","2007-02-14",11.39
"31","2007-02-15",11.68
"32","2007-02-16",11.97
"33","2007-02-20",11.65
"34","2007-02-21",11.7
"35","2007-02-22",11.87
"36","2007-02-23",11.74
"37","2007-02-26",11.78
"38","2007-02-27",11.47
"39","2007-02-28",11.45
"40","2007-03-01",11.35
"41","2007-03-02",11.48
"42","2007-03-05",11.34
"43","2007-03-06",11.44
"44","2007-03-07",11.55
"45","2007-03-08",11.52
"46","2007-03-09",11.49
"47","2007-03-12",11.25
"48","2007-03-13",11.39
"49","2007-03-14",11.24
"50","2007-03-15",11.43
"51","2007-03-16",11.49
"52","2007-03-19",11.29
"53","2007-03-20",11.41
"54","2007-03-21",11.47
"55","2007-03-22",11.26
"56","2007-03-23",11.2
"57","2007-03-26",11.24
"58","2007-03-27",11.05
"59","2007-03-28",10.95
"60","2007-03-29",11
"61","2007-03-30",10.8
"62","2007-04-02",10.67
"63","2007-04-03",10.66
"64","2007-04-04",10.66
"65","2007-04-05",10.83
"66","2007-04-09",10.86
"67","2007-04-10",10.67
"68","2007-04-11",10.45
"69","2007-04-12",10.4
"70","2007-04-13",10.4
"71","2007-04-16",10.4
